#{"t_start": 1685855917.7721028, "env_id": null}
r,l,t
-100489.961641,100,0.403736
-82145.387329,25,0.510894
-82145.387329,25,0.95578
-82145.387329,25,1.357007
-82145.387329,25,1.780963
-82145.387329,25,2.178391
-82145.387329,25,2.572357
-82145.387329,25,2.950516
-82145.387329,25,3.325713
-82145.387329,25,3.701702
-82145.387329,25,4.067389
-82145.387329,25,4.438289
-82145.387329,25,4.806161
-82145.387329,25,5.280171
-82145.387329,25,5.650387
-82145.387329,25,6.037208
-82145.387329,25,6.425572
-82145.387329,25,6.808289
-82145.387329,25,7.18184
-82145.387329,25,7.56797
-82145.387329,25,7.937789
-82145.387329,25,8.302497
-82145.387329,25,8.669979
-82145.387329,25,9.048024
-82145.387329,25,9.432518
-82145.387329,25,9.810842
-82145.387329,25,10.189934
-82145.387329,25,10.568738
-82145.387329,25,10.95283
-82145.387329,25,11.339296
-82145.387329,25,11.716267
-82145.387329,25,12.100597
-82145.387329,25,12.484183
-82145.387329,25,12.863322
-82145.387329,25,13.245022
-82145.387329,25,13.641443
-82145.387329,25,14.04251
-82145.387329,25,14.433442
-82145.387329,25,14.821311
-82145.387329,25,15.21266
-82145.387329,25,15.645981
-82145.387329,25,16.133329
-82145.387329,25,17.573616
-82145.387329,25,18.280498
-82145.387329,25,19.571654
-82145.387329,25,20.8289
-82145.387329,25,22.31683
-82145.387329,25,23.373898
-82145.387329,25,24.998153
-82145.387329,25,25.761418
-82145.387329,25,26.452404
-82145.387329,25,27.040572
-82145.387329,25,27.490561
-82145.387329,25,27.897616
-82145.387329,25,28.338027
-82145.387329,25,28.734046
-82145.387329,25,29.302255
-82145.387329,25,30.362509
-82145.387329,25,30.832041
-82145.387329,25,31.55509
-82145.387329,25,32.119326
-82145.387329,25,32.60757
-82145.387329,25,33.078778
-82145.387329,25,33.493523
-82145.387329,25,33.916482
-82145.387329,25,34.323625
-82145.387329,25,34.73666
-82145.387329,25,35.174295
-82145.387329,25,35.591879
-82145.387329,25,36.020861
-82145.387329,25,36.450623
-82145.387329,25,36.878494
-82145.387329,25,37.422823
-82145.387329,25,38.004404
-82145.387329,25,38.485873
-82145.387329,25,38.942159
-82145.387329,25,39.34773
-82145.387329,25,39.734807
-82145.387329,25,40.13498
-82145.387329,25,40.543942
-82145.387329,25,40.950477
-82145.387329,25,41.361212
-82145.387329,25,41.755667
-82145.387329,25,42.14975
-82145.387329,25,42.615666
-82145.387329,25,43.028852
-82145.387329,25,43.431629
-82145.387329,25,43.829429
-82145.387329,25,44.23034
-82145.387329,25,44.628749
