#{"t_start": 1685059101.8909996, "env_id": null}
r,l,t
-500000.0,29,10.186475
-500000.0,80,18.166062
-500000.0,36,21.705839
-500000.0,31,24.826159
-500000.0,120,36.785822
-500000.0,35,40.225923
-500000.0,36,43.805634
-500000.0,339,77.686409
-500000.0,70,84.705938
-500000.0,31,87.765874
-500000.0,89,96.625788
-500000.0,33,99.885673
-500000.0,47,104.525639
-500000.0,55,110.04661
-500000.0,130,123.066215
-500000.0,43,127.345877
-500000.0,176,144.885898
-500000.0,29,147.806052
-500000.0,197,167.485718
-500000.0,62,173.626111
-500000.0,33,176.866005
-500000.0,39,180.705502
-500000.0,21,182.805659
-500000.0,37,186.466407
-500000.0,49,191.345705
-500000.0,21,193.425922
-500000.0,52,198.566203
-500000.0,66,205.125829
-500000.0,51,210.165682
-500000.0,32,213.917011
-500000.0,98,223.677143
-500000.0,30,226.677549
-500000.0,26,229.2778
-500000.0,299,259.177502
-500000.0,165,275.617074
-500000.0,52,280.817533
-500000.0,865,367.29773
-500000.0,29,370.217671
-500000.0,81,378.25711
-500000.0,37,381.977493
-500000.0,44,386.337137
-500000.0,56,391.876859
-500000.0,36,395.437604
-500000.0,76,402.997588
-500000.0,35,406.517893
-500000.0,26,409.077195
-500000.0,170,426.62866
-500000.0,35,430.088732
-500000.0,51,435.188868
-500000.0,99,445.089452
-500000.0,79,452.929284
-500000.0,63,459.209338
-500000.0,134,472.548961
-500000.0,40,476.548636
-500000.0,50,481.509321
-500000.0,38,485.249101
-500000.0,66,491.808714
-500000.0,31,494.929157
-500000.0,69,501.788588
-500000.0,240,525.748966
-500000.0,28,528.569361
-500000.0,53,533.828798
-500000.0,169,550.688962
-500000.0,668,617.428583
-500000.0,125,630.512761
-500000.0,211,651.571871
-500000.0,119,663.412678
-500000.0,65,669.852327
-500000.0,74,677.232309
-500000.0,33,680.532803
