#{"t_start": 1685880754.1548002, "env_id": null}
r,l,t
-6006547.0,2413,10.017225
-5652116.0,2285,20.02248
-5906693.0,2402,30.027955
-5273959.0,2302,40.031922
-5838124.0,2361,50.034426
-5662590.0,2284,60.053916
-5782121.0,2338,70.400936
-5904601.0,2383,80.404466
-5602121.0,2266,90.407437
-5892116.0,2381,100.410879
-5651108.0,2283,110.4149
-6026123.0,2436,120.418265
-5676108.0,2293,130.422433
-5800604.0,2342,140.724501
-5999117.0,2424,150.729139
-5402610.0,2184,160.795967
-5939716.0,2420,170.799825
-5844203.0,2379,180.802451
-5881622.0,2378,190.807221
-6076107.0,2452,200.8096
-5751777.0,2357,210.812733
