Episode: 0, Total Reward: 49858.0, Total Length: 29.0 
Episode: 1, Total Reward: -685629.0, Total Length: 301.0 
Episode: 2, Total Reward: -692117.0, Total Length: 301.0 
Episode: 3, Total Reward: -701098.0, Total Length: 301.0 
Episode: 4, Total Reward: -683135.0, Total Length: 301.0 
Episode: 5, Total Reward: -561877.0, Total Length: 301.0 
Episode: 6, Total Reward: -681638.0, Total Length: 301.0 
Episode: 7, Total Reward: -689621.0, Total Length: 301.0 
Episode: 8, Total Reward: -698604.0, Total Length: 301.0 
Episode: 9, Total Reward: -692116.0, Total Length: 301.0 
Episode: 10, Total Reward: -680640.0, Total Length: 301.0 
Episode: 11, Total Reward: -401698.0, Total Length: 301.0 
Episode: 12, Total Reward: -683135.0, Total Length: 301.0 
Episode: 13, Total Reward: -668164.0, Total Length: 301.0 
Episode: 14, Total Reward: -547906.0, Total Length: 301.0 
Episode: 15, Total Reward: -673653.0, Total Length: 301.0 
Episode: 16, Total Reward: -695609.0, Total Length: 301.0 
Episode: 17, Total Reward: -678643.0, Total Length: 301.0 
Episode: 18, Total Reward: -696108.0, Total Length: 301.0 
Episode: 19, Total Reward: -680140.0, Total Length: 301.0 
Episode: 20, Total Reward: -661179.0, Total Length: 301.0 
Episode: 21, Total Reward: -702096.0, Total Length: 301.0 
Episode: 22, Total Reward: -690620.0, Total Length: 301.0 
Episode: 23, Total Reward: -699601.0, Total Length: 301.0 
Episode: 24, Total Reward: -700600.0, Total Length: 301.0 
Episode: 25, Total Reward: -692116.0, Total Length: 301.0 
Episode: 26, Total Reward: -683634.0, Total Length: 301.0 
Episode: 27, Total Reward: -689122.0, Total Length: 301.0 
Episode: 28, Total Reward: -714073.0, Total Length: 301.0 
Episode: 29, Total Reward: -694611.0, Total Length: 301.0 
Episode: 30, Total Reward: -687127.0, Total Length: 301.0 
Episode: 31, Total Reward: -686617.0, Total Length: 299.0 
Episode: 32, Total Reward: -703611.0, Total Length: 304.0 
Episode: 33, Total Reward: -695111.0, Total Length: 301.0 
Episode: 34, Total Reward: -703094.0, Total Length: 301.0 
Episode: 35, Total Reward: -672157.0, Total Length: 301.0 
Episode: 36, Total Reward: -688623.0, Total Length: 301.0 
Episode: 37, Total Reward: -668663.0, Total Length: 301.0 
Episode: 38, Total Reward: -664172.0, Total Length: 301.0 
Episode: 39, Total Reward: -378744.0, Total Length: 301.0 
Episode: 40, Total Reward: -652695.0, Total Length: 301.0 
Episode: 41, Total Reward: -695610.0, Total Length: 301.0 
Episode: 42, Total Reward: -679142.0, Total Length: 301.0 
Episode: 43, Total Reward: -674153.0, Total Length: 301.0 
Episode: 44, Total Reward: -703094.0, Total Length: 301.0 
Episode: 45, Total Reward: -671159.0, Total Length: 301.0 
Episode: 46, Total Reward: -695604.0, Total Length: 300.0 
Episode: 47, Total Reward: -696610.0, Total Length: 301.0 
Episode: 48, Total Reward: -697106.0, Total Length: 301.0 
Episode: 49, Total Reward: -696607.0, Total Length: 301.0 
Episode: 50, Total Reward: -694112.0, Total Length: 301.0 
Episode: 51, Total Reward: -695609.0, Total Length: 301.0 
Episode: 52, Total Reward: -686123.0, Total Length: 300.0 
Episode: 53, Total Reward: -703601.0, Total Length: 302.0 
Episode: 54, Total Reward: -691618.0, Total Length: 301.0 
Episode: 55, Total Reward: -712076.0, Total Length: 301.0 
Episode: 56, Total Reward: -700101.0, Total Length: 301.0 
Episode: 57, Total Reward: -658683.0, Total Length: 301.0 
Episode: 58, Total Reward: -677146.0, Total Length: 301.0 
Episode: 59, Total Reward: -698104.0, Total Length: 301.0 
Episode: 60, Total Reward: -699601.0, Total Length: 301.0 
Episode: 61, Total Reward: -696607.0, Total Length: 301.0 
Episode: 62, Total Reward: -702097.0, Total Length: 301.0 
Episode: 63, Total Reward: -714571.0, Total Length: 301.0 
Episode: 64, Total Reward: -702097.0, Total Length: 301.0 
Episode: 65, Total Reward: -703593.0, Total Length: 301.0 
Episode: 66, Total Reward: -694113.0, Total Length: 301.0 
Episode: 67, Total Reward: -690619.0, Total Length: 301.0 
Episode: 68, Total Reward: -688125.0, Total Length: 301.0 
Episode: 69, Total Reward: -699102.0, Total Length: 301.0 
Episode: 70, Total Reward: -709582.0, Total Length: 301.0 
Episode: 71, Total Reward: -702595.0, Total Length: 301.0 
Episode: 72, Total Reward: -670660.0, Total Length: 301.0 
Episode: 73, Total Reward: -669162.0, Total Length: 301.0 
Episode: 74, Total Reward: -654192.0, Total Length: 301.0 
Episode: 75, Total Reward: -695609.0, Total Length: 301.0 
Episode: 76, Total Reward: -683633.0, Total Length: 301.0 
Episode: 77, Total Reward: -691617.0, Total Length: 301.0 
Episode: 78, Total Reward: -703593.0, Total Length: 301.0 
Episode: 79, Total Reward: -693115.0, Total Length: 301.0 
Episode: 80, Total Reward: -692116.0, Total Length: 301.0 
Episode: 81, Total Reward: -707585.0, Total Length: 301.0 
Episode: 82, Total Reward: -476549.0, Total Length: 301.0 
Episode: 83, Total Reward: -671158.0, Total Length: 301.0 
Episode: 84, Total Reward: -671657.0, Total Length: 301.0 
Episode: 85, Total Reward: -532935.0, Total Length: 301.0 
Episode: 86, Total Reward: -711078.0, Total Length: 301.0 
Episode: 87, Total Reward: -603295.0, Total Length: 301.0 
Episode: 88, Total Reward: -249004.0, Total Length: 301.0 
Episode: 89, Total Reward: -470561.0, Total Length: 301.0 
Episode: 90, Total Reward: -380241.0, Total Length: 301.0 
Episode: 91, Total Reward: -173157.0, Total Length: 301.0 
Episode: 92, Total Reward: -700100.0, Total Length: 301.0 
Episode: 93, Total Reward: -719063.0, Total Length: 301.0 
Episode: 94, Total Reward: -701597.0, Total Length: 301.0 
Episode: 95, Total Reward: -680140.0, Total Length: 301.0 
Episode: 96, Total Reward: -599302.0, Total Length: 301.0 
Episode: 97, Total Reward: -680639.0, Total Length: 301.0 
Episode: 98, Total Reward: -690120.0, Total Length: 301.0 
Episode: 99, Total Reward: [-711578.], Total Length: 301.0 
