Episode: 0, Total Reward: -18974.0, Total Length: 103.0 
Episode: 1, Total Reward: -188124.0, Total Length: 101.0 
Episode: 2, Total Reward: -170659.0, Total Length: 101.0 
Episode: 3, Total Reward: -196108.0, Total Length: 101.0 
Episode: 4, Total Reward: -211078.0, Total Length: 101.0 
Episode: 5, Total Reward: -181138.0, Total Length: 101.0 
Episode: 6, Total Reward: -199102.0, Total Length: 101.0 
Episode: 7, Total Reward: -170659.0, Total Length: 101.0 
Episode: 8, Total Reward: -198603.0, Total Length: 101.0 
Episode: 9, Total Reward: -199102.0, Total Length: 101.0 
Episode: 10, Total Reward: -194611.0, Total Length: 101.0 
Episode: 11, Total Reward: -200100.0, Total Length: 101.0 
Episode: 12, Total Reward: -201098.0, Total Length: 101.0 
Episode: 13, Total Reward: -196606.0, Total Length: 100.0 
Episode: 14, Total Reward: -189122.0, Total Length: 101.0 
Episode: 15, Total Reward: -192615.0, Total Length: 101.0 
Episode: 16, Total Reward: -201098.0, Total Length: 101.0 
Episode: 17, Total Reward: -199601.0, Total Length: 101.0 
Episode: 18, Total Reward: -196607.0, Total Length: 101.0 
Episode: 19, Total Reward: -193114.0, Total Length: 101.0 
Episode: 20, Total Reward: -199102.0, Total Length: 101.0 
Episode: 21, Total Reward: -167595.0, Total Length: 87.0 
Episode: 22, Total Reward: -214586.0, Total Length: 104.0 
Episode: 23, Total Reward: -147671.0, Total Length: 94.0 
Episode: 24, Total Reward: -120758.0, Total Length: 100.0 
Episode: 25, Total Reward: -194611.0, Total Length: 101.0 
