#{"t_start": 1685871099.263969, "env_id": null}
r,l,t
-62199.345581,15,0.169127
-82473.553955,28,0.289476
-76838.291748,21,0.368215
-79217.051392,23,0.448349
-78177.109619,22,0.52869
-80234.77356,24,0.615819
-77055.854614,23,0.695942
-82541.889526,26,0.787273
-82240.747437,25,0.887573
-184907.654175,155,1.529364
-85592.72876,29,1.658218
-92778.535767,39,1.826346
-80195.435303,24,1.918388
-102774.501465,45,2.077389
-75230.071289,22,2.486474
-79712.264893,24,2.572964
-69667.478516,16,2.639459
-83154.025757,26,2.732181
-84036.849365,27,2.828859
-65699.143555,14,2.879765
-76612.318726,21,2.957433
-72487.569336,18,3.027834
-72606.039185,18,3.092737
-72671.638184,19,3.16684
-73099.393433,19,3.240451
-93633.551514,59,3.454665
-176032.872742,128,3.922511
-81683.212402,25,4.014873
-76951.652954,22,4.091622
-62402.819824,12,4.135177
-2157693.486183,801,7.564763
-76019.824951,21,7.638565
-75892.619629,22,7.718706
-71839.255005,17,7.779856
-81463.450562,25,7.870608
-113508.876831,54,8.062285
-82630.52124,26,8.153387
-77825.080078,22,8.232993
-72456.564575,19,8.301131
-76454.468018,21,8.378957
-79345.458984,23,8.47649
-79945.141846,24,8.578552
-86447.211426,30,9.020486
-82543.394165,26,9.130048
-79156.722168,23,9.219213
-79369.567749,23,9.30019
-74490.614868,19,9.369943
-138202.520264,96,9.710985
-122226.500793,105,10.081096
-213588.144791,171,10.689209
-84800.121826,29,11.145251
-74225.161621,20,11.218969
-156247.568054,149,11.775688
-78167.335327,23,11.867624
-77328.298584,22,11.950364
-74854.749023,21,12.024598
-134106.716614,89,12.338068
-83460.969849,27,12.48298
-84273.266113,27,12.591436
-97179.720093,38,12.735569
-66124.42688,14,12.78456
-76975.665039,22,12.860429
-80129.167114,25,12.944768
-71432.613525,18,13.020416
-81832.472656,26,13.38762
-203019.65438,222,14.177172
-74657.86853,20,14.246407
-111666.649292,57,14.445826
-186927.05249,205,15.925222
-74271.737183,20,16.000144
-76633.505493,22,16.085601
-70213.561035,17,16.149166
-75733.121948,23,16.233466
-84899.744629,28,16.330447
-128884.683105,72,16.593856
-129318.857544,77,16.867545
-74103.345093,20,16.939082
-84778.59375,28,17.035809
-78349.304565,23,17.117194
-78426.258423,23,17.198401
-75246.33313,22,17.279311
-80583.489502,25,17.372513
-80019.281982,25,17.460668
-80837.69812,26,17.547739
-93643.919067,37,17.6838
-184952.774376,230,18.7641
-100541.807739,40,18.893508
-78500.440918,23,18.971352
-85453.017212,28,19.063411
-93991.046936,40,19.20062
-74653.771118,20,19.276701
-81984.44751,25,19.371513
-80640.187622,24,19.464136
-76693.592407,21,19.53968
-78209.757935,23,19.625822
-108386.288818,48,19.799134
-679204.338867,539,22.840033
-83571.855469,27,23.032389
-64235.361206,12,23.077045
-109437.062134,63,23.31796
-79541.792847,23,23.496145
-78806.703125,23,23.588401
-115535.269409,58,23.792381
-79361.036987,23,23.879628
-83499.538208,27,23.990668
-82814.943726,26,24.0906
-127924.822388,75,24.370353
-274323.946411,316,25.747677
-113485.85556,82,26.02873
-71088.025879,17,26.085077
-80269.532715,24,26.16801
-81283.15271,26,26.258287
-79029.260376,23,26.337423
-81707.52356,26,26.424926
-80315.621704,24,26.511632
