#{"t_start": 1686077374.544132, "env_id": null}
r,l,t
4.008835,34,0.217432
3.812389,23,0.302564
4.67446,27,0.397762
4.558003,26,0.485845
4.419347,26,0.574844
23.19399,238,1.511666
133.95526,470,3.480418
2.558581,18,3.553009
11.98308,83,3.893187
3.839553,23,3.971835
4.077621,24,4.062191
4.627512,27,4.191715
4.700073,29,4.319261
6.049978,37,4.464897
4.524199,26,4.563425
4.24879,25,4.648993
3.21245,20,4.71871
4.66736,27,4.818177
5.82116,38,5.044744
3.577153,22,5.137215
6.185842,36,5.284737
3.904537,23,5.380055
4.535551,29,5.477501
4.133638,25,5.565398
5.619224,34,5.684719
5.951215,35,5.834598
3.724496,22,5.945462
3.323491,22,6.029796
4.179649,25,6.118559
3.756512,23,6.196799
4.334981,26,6.288313
13.422647,85,6.589678
96.8526,425,8.96824
4.780746,40,9.124281
4.189036,25,9.214921
51.136976,345,10.460402
6.640847,43,10.614566
4.118761,24,10.701235
5.482234,33,10.830063
3.671193,24,10.919255
1.752871,15,10.993432
3.252304,21,11.072779
3.819586,23,11.154432
12.936092,137,11.640694
7.457335,58,11.839454
3.703582,23,11.920781
4.307585,26,12.018353
4.764256,28,12.12301
3.639325,22,12.203287
22.538085,219,12.985601
7.12624,41,13.123202
3.93863,24,13.202152
6.854405,41,13.342268
5.257402,30,13.447219
5.882506,33,13.574485
6.381067,35,13.694317
4.283386,25,13.778212
5.593799,32,13.883465
3.981636,24,13.96386
4.008355,24,14.047038
4.456139,26,14.138102
14.03139,195,14.799994
1.983236,15,14.851846
5.025623,45,15.015752
3.364418,21,15.086809
14.797904,331,16.441065
4.454919,28,16.535666
14.617035,221,17.291768
5.138155,30,17.405115
3.684515,22,17.485686
8.317325,63,17.706948
4.47535,26,17.798247
4.461194,26,17.89006
5.748684,33,18.004143
249.878625,612,20.129804
8.251769,56,20.341595
6.987974,43,20.504493
4.779216,28,20.614952
6.813534,41,20.756086
9.424433,59,20.955585
13.351734,128,21.40404
3.2545,22,21.477376
183.480655,471,23.063471
122.897122,319,24.418552
1.625064,13,24.467129
69.458482,335,25.716203
16.191035,104,26.175806
3.273806,21,26.251182
4.630383,27,26.346793
5.506199,31,26.451048
82.066553,524,28.345891
5.029829,29,28.457074
21.27073,282,29.461621
22.633921,176,30.056547
20.550619,148,30.557415
8.345781,49,30.717426
2.597501,18,30.779331
12.022437,68,31.01486
45.19234,316,32.366361
29.492895,221,33.158664
8.343824,48,33.324879
