#{"t_start": 1686084807.455819, "env_id": null}
r,l,t
-1.251759,13,0.155749
-1.673913,36,0.346414
-1.619565,24,0.443845
-1.434303,17,0.516713
-1.5383,22,0.618776
-1.733062,29,0.754302
-1.622261,25,0.861315
-1.619424,24,0.960576
-1.516798,20,1.048873
-1.625565,24,1.15259
-2.503104,90,1.59208
-1.727704,29,1.730323
-1.597571,23,1.834117
-1.678645,26,1.937261
-1.565283,22,2.037778
-1.653069,26,2.14643
-1.716555,28,2.254883
-1.570426,22,2.353601
-1.510447,20,2.441459
-2.616634,77,2.782505
-1.870084,34,2.960908
-1.599633,23,3.068427
-1.56623,22,3.169273
-1.570422,22,3.320506
-1.48204,19,3.426699
-1.381092,15,3.508272
-2.032429,54,3.766945
-1.588749,23,3.867612
-1.566324,22,3.946835
-1.576792,23,4.038588
-1.593426,23,4.14619
-1.51296,20,4.241772
-1.961041,47,4.42305
-1.601675,24,4.504541
-1.487577,19,4.567042
-2.155956,45,4.713156
-1.627257,24,4.791186
-1.4545,18,4.850839
-1.570384,22,4.924767
-1.533055,21,5.000365
-1.732211,28,5.094635
-1.698703,28,5.185757
-1.610649,24,5.266035
-1.596833,23,5.345011
-1.719723,28,5.437927
-1.61694,24,5.522572
-1.528536,21,5.602425
-1.594703,23,5.677056
-1.570286,22,5.756163
-1.659524,26,5.857636
-1.722356,28,5.953704
-1.729254,28,6.045973
-1.616554,24,6.126954
-1.794679,31,6.232741
-2.559199,72,6.470958
-1.611739,24,6.557666
-1.648554,25,6.643834
-1.667051,37,6.776212
-1.703356,35,6.897678
-1.788633,33,7.009373
-1.548232,22,7.111002
-3.957251,168,7.729833
-1.579365,23,7.811055
-1.486578,20,7.878425
-1.559622,22,7.952624
-1.886392,34,8.067632
-1.769058,31,8.167645
-2.283597,53,8.588637
-1.493533,20,8.655265
-1.612791,24,8.899832
-1.61544,24,9.014649
-1.456748,18,9.085812
-1.721007,28,9.212858
-1.650335,25,9.300255
-1.933997,36,9.430537
-1.554621,22,9.507566
-1.536551,21,9.57628
-4.348074,226,10.362494
-2.710491,101,10.765056
-2.217375,49,10.948208
-2.808334,76,11.195688
-2.275238,54,11.384839
-2.599476,67,11.598598
-1.59853,23,11.675517
-1.642805,25,11.756854
-1.678535,26,11.851458
-1.716214,28,11.951907
-1.557245,22,12.052623
-1.481175,19,12.114797
-2.428024,76,12.367649
-2.987725,84,12.647533
-1.646196,26,12.732325
-1.623444,24,12.819356
-1.753679,29,12.946313
-1.63754,25,13.026881
-1.598021,23,13.106201
-1.579523,23,13.181836
-1.610119,25,13.267632
-1.760401,29,13.36523
-2.190719,48,13.525703
-1.611687,24,13.60237
-1.650581,25,13.686778
-1.564668,22,13.767353
-1.779823,31,13.868049
-1.600239,23,13.946411
-1.568392,22,14.029326
