Episode: 0, Total Reward: -5001019.0, Total Length: 204.0 
Episode: 1, Total Reward: -5000136.0, Total Length: 28.0 
Episode: 2, Total Reward: -5000135.0, Total Length: 28.0 
Episode: 3, Total Reward: -5000151.0, Total Length: 31.0 
Episode: 4, Total Reward: -5001804.0, Total Length: 361.0 
Episode: 5, Total Reward: -5000099.0, Total Length: 20.0 
Episode: 6, Total Reward: -5000099.0, Total Length: 20.0 
Episode: 7, Total Reward: -5000502.0, Total Length: 101.0 
Episode: 8, Total Reward: -5000222.0, Total Length: 45.0 
Episode: 9, Total Reward: -5000422.0, Total Length: 85.0 
Episode: 10, Total Reward: -5000817.0, Total Length: 164.0 
Episode: 11, Total Reward: -5003667.0, Total Length: 734.0 
Episode: 12, Total Reward: -5000275.0, Total Length: 56.0 
Episode: 13, Total Reward: -5000126.0, Total Length: 26.0 
Episode: 14, Total Reward: -5000320.0, Total Length: 65.0 
Episode: 15, Total Reward: -5000151.0, Total Length: 31.0 
Episode: 16, Total Reward: -5000147.0, Total Length: 30.0 
Episode: 17, Total Reward: -5000099.0, Total Length: 20.0 
Episode: 18, Total Reward: -5000095.0, Total Length: 20.0 
Episode: 19, Total Reward: -5000143.0, Total Length: 29.0 
Episode: 20, Total Reward: -5000075.0, Total Length: 16.0 
Episode: 21, Total Reward: -5000529.0, Total Length: 106.0 
Episode: 22, Total Reward: -5000116.0, Total Length: 24.0 
Episode: 23, Total Reward: -5000126.0, Total Length: 26.0 
Episode: 24, Total Reward: -5000117.0, Total Length: 24.0 
Episode: 25, Total Reward: -5000185.0, Total Length: 38.0 
Episode: 26, Total Reward: -5000136.0, Total Length: 28.0 
Episode: 27, Total Reward: -5000118.0, Total Length: 24.0 
Episode: 28, Total Reward: -5000246.0, Total Length: 50.0 
Episode: 29, Total Reward: -5000109.0, Total Length: 22.0 
Episode: 30, Total Reward: -5001510.0, Total Length: 303.0 
Episode: 31, Total Reward: -5000753.0, Total Length: 151.0 
Episode: 32, Total Reward: -5000116.0, Total Length: 24.0 
Episode: 33, Total Reward: -5000125.0, Total Length: 26.0 
Episode: 34, Total Reward: -5000108.0, Total Length: 22.0 
Episode: 35, Total Reward: -5005766.0, Total Length: 1154.0 
Episode: 36, Total Reward: -5000776.0, Total Length: 156.0 
Episode: 37, Total Reward: -5000121.0, Total Length: 25.0 
Episode: 38, Total Reward: -5000130.0, Total Length: 27.0 
Episode: 39, Total Reward: -5000106.0, Total Length: 22.0 
