Episode: 0, Total Reward: -67715.76257324219, Total Length: 21.0 
Episode: 1, Total Reward: -137906.4912109375, Total Length: 73.0 
Episode: 2, Total Reward: -200431.11669921875, Total Length: 132.0 
Episode: 3, Total Reward: -402845.8703613281, Total Length: 277.0 
Episode: 4, Total Reward: -170912.54565429688, Total Length: 104.0 
Episode: 5, Total Reward: -605969.3869628906, Total Length: 482.0 
Episode: 6, Total Reward: -281535.27685546875, Total Length: 242.0 
Episode: 7, Total Reward: -208407.3370361328, Total Length: 134.0 
Episode: 8, Total Reward: -92952.09375, Total Length: 35.0 
Episode: 9, Total Reward: -137136.4574584961, Total Length: 79.0 
Episode: 10, Total Reward: -111021.4185180664, Total Length: 52.0 
Episode: 11, Total Reward: -142078.93908691406, Total Length: 74.0 
Episode: 12, Total Reward: -144081.57067871094, Total Length: 87.0 
Episode: 13, Total Reward: -149374.43603515625, Total Length: 88.0 
Episode: 14, Total Reward: -94624.93383789062, Total Length: 36.0 
Episode: 15, Total Reward: -176229.19793701172, Total Length: 141.0 
Episode: 16, Total Reward: -179750.4521484375, Total Length: 119.0 
Episode: 17, Total Reward: -153850.6845703125, Total Length: 109.0 
Episode: 18, Total Reward: -226468.9077758789, Total Length: 163.0 
Episode: 19, Total Reward: -260523.2498779297, Total Length: 166.0 
Episode: 20, Total Reward: -94436.9345703125, Total Length: 37.0 
Episode: 21, Total Reward: -128090.63403320312, Total Length: 66.0 
Episode: 22, Total Reward: -278181.5481567383, Total Length: 207.0 
Episode: 23, Total Reward: -166912.26904296875, Total Length: 100.0 
Episode: 24, Total Reward: -87870.14001464844, Total Length: 33.0 
Episode: 25, Total Reward: -375256.6242675781, Total Length: 297.0 
Episode: 26, Total Reward: -170997.64294433594, Total Length: 99.0 
Episode: 27, Total Reward: -179497.11975097656, Total Length: 119.0 
Episode: 28, Total Reward: -88100.91748046875, Total Length: 30.0 
Episode: 29, Total Reward: -140904.54376220703, Total Length: 82.0 
Episode: 30, Total Reward: -283209.62243652344, Total Length: 268.0 
Episode: 31, Total Reward: -680503.2249755859, Total Length: 501.0 
Episode: 32, Total Reward: -288441.1495361328, Total Length: 220.0 
