#{"t_start": 1685892632.000461, "env_id": null}
r,l,t
-65145.256714,25,0.175851
-76552.115845,21,0.252478
-85472.398804,28,0.357322
-84651.24353,28,0.483442
-77478.549438,22,0.564111
-80423.366821,24,0.663475
-80081.36731,24,0.751167
-93361.8302,35,0.866939
-82824.009888,26,0.953783
-81398.753906,25,1.051109
-117904.196777,64,1.272146
-82619.769897,26,1.363419
-81011.40979,25,1.448336
-79418.083252,24,1.557164
-122912.569824,64,1.815883
-947550.403748,587,4.370042
-80993.10791,25,4.450773
-359411.291824,400,5.728789
-4864113.784622,1615,12.058829
-80875.26062,26,12.14119
-69631.475342,16,12.194261
-92546.585571,34,12.306539
-76891.335571,22,12.378616
-142486.166443,82,12.70081
-104500.037048,50,12.893171
-226310.893616,180,13.459919
-85066.347046,28,13.550165
-106317.942383,45,13.693931
-255186.195618,212,14.643194
-458977.303101,333,15.998869
-89012.896851,31,16.098932
-95066.229736,36,16.210855
-89260.388184,31,16.359521
-170567.370605,149,16.900962
-84047.340454,27,16.988229
-76535.773315,21,17.055527
-80726.547485,25,17.135528
-84610.347656,27,17.222474
-94702.532227,36,17.335621
-248677.212463,191,18.221233
-138535.009033,126,18.660187
-166792.644989,134,19.081494
-231812.967102,179,19.924862
-299874.091919,213,20.623902
-88826.747925,31,20.735165
-5224538.846558,2295,29.771135
-108953.673584,57,30.233621
-143204.339966,83,30.496199
-85867.025635,29,30.60449
-281800.305542,193,31.298754
-680221.5979,415,33.184425
-62788.166626,11,33.234241
-77962.342896,25,33.341718
-160471.29303,125,34.371426
-99246.684998,46,34.536404
-86404.441406,29,34.645427
-95237.919312,37,35.065816
-97239.156982,37,35.197937
-105018.274292,44,35.361753
-130784.908081,69,35.61095
-133787.749817,95,35.954985
-1130520.184357,1063,40.468199
-218291.894226,149,41.092007
-222103.782043,160,41.966291
-167396.766418,106,42.324334
-259082.051147,198,43.084312
-105864.936218,69,43.321114
-173959.375305,124,44.059228
-378591.988831,322,45.217489
-324554.561157,193,46.248855
-372898.945007,280,47.316482
-602645.372253,464,49.224829
-186684.719116,116,49.628696
-717892.200256,570,51.791719
-179593.437317,109,52.441537
-120332.082764,65,52.645994
-157062.220398,95,52.949151
-123569.522095,64,53.157562
-109296.017822,51,53.318793
-106815.080078,48,53.475138
-125613.685669,89,53.762491
-176345.893555,115,54.427978
-158675.191772,127,54.843882
-1178271.099426,616,57.136625
-823220.678345,720,60.085501
-112839.610962,52,60.344036
-157096.437439,133,60.922128
-724504.851135,493,62.861517
-207227.056702,125,63.265175
-638562.659546,370,64.832308
-187588.669861,113,65.221344
-156952.356567,93,65.549595
-697920.354492,497,67.759782
-2390680.222961,1063,73.20901
-173752.496399,125,74.957844
-206721.129028,122,75.640087
-188345.130981,111,76.129745
-485644.692688,408,78.182169
-194676.664032,131,78.667035
-366314.004761,467,80.820027
-1693891.116943,538,84.923632
-172756.343506,137,85.625907
-237552.259521,142,86.808692
-168234.234863,107,87.430954
-232106.72522,140,88.14744
-188699.117554,107,88.657872
-248505.797729,165,89.787143
-248818.96167,165,90.485334
-159606.253906,89,90.828148
-263679.824097,169,91.487089
-158853.407471,102,92.199965
-164516.557007,108,92.619238
-113425.779053,57,92.844298
-138000.923828,74,93.144392
-249392.481873,231,94.344366
-189376.345642,123,94.829924
-165434.692017,95,95.211346
-1460882.327454,676,98.180107
-214594.588623,130,99.48955
-484424.959961,318,104.537814
-220340.259277,120,105.136658
-190349.174683,123,106.015377
-6082348.402283,1704,113.755824
-5293658.263351,1768,121.974331
-149991.01178,94,122.61869
-303835.527954,203,123.64699
-2965051.040039,843,128.517769
-111058.897583,60,128.757052
-102844.728516,50,128.957053
-116210.370667,62,129.208157
-105930.493774,57,129.440601
-4141823.74469,929,133.577491
-107281.580444,50,133.743786
-97214.243774,41,133.885155
-95182.183624,57,134.156515
-88945.808105,36,134.314324
-86529.460663,49,134.542607
-371971.241943,163,135.531793
-117210.167664,70,135.803073
-104449.882202,44,135.963032
-203309.373291,155,136.604744
-166928.841187,128,137.533835
-86604.292969,30,137.703504
-91942.119385,56,138.337284
-110467.670166,53,138.586896
-328845.53186,217,139.505672
-150835.086052,139,140.074016
-75345.675934,40,140.237081
-150096.817932,139,141.394191
-122497.129639,69,141.705388
-122380.515015,73,142.219344
-108561.522705,51,142.993909
-117774.44928,70,143.421805
-92436.009521,44,143.628005
-135045.377655,87,144.458002
-96119.411133,50,144.72456
-108368.950439,55,145.006279
-1167754.888977,492,147.961544
-215057.677429,137,148.524417
-86116.534668,29,148.653905
-120695.051453,76,148.983402
-878950.580017,402,150.936297
-92698.677612,39,151.078442
-981312.898254,468,153.068409
-1833343.409119,660,155.735656
-132911.559021,73,156.166683
-123638.146973,69,156.706558
-106732.502808,50,157.578365
-191674.135193,141,158.204944
-153645.550171,113,158.945693
-101611.148193,52,159.136205
-131699.739868,79,159.634985
-108221.482788,49,159.85302
-86378.550659,72,160.611604
-549871.743408,262,161.631227
-2704288.412476,959,166.949978
-138758.756042,75,167.25289
-126441.119385,69,167.655347
-1536067.741943,823,172.340346
-11021672.891479,1869,182.653438
