#{"t_start": 1686127089.0164318, "env_id": null}
r,l,t
0.748748,11,1.804931
0.753166,10,1.833824
0.780842,9,1.852773
-1.856831,23,1.895632
-1.81403,23,1.938517
0.77479,10,1.956959
0.762765,10,1.974914
0.780582,9,1.991874
0.798964,9,2.007831
-1.754024,19,2.041741
-1.808991,21,2.079639
0.782988,9,2.096594
0.76872,9,2.113549
-1.833808,19,2.14778
0.829691,8,2.161743
0.800838,8,2.177244
0.814249,8,2.191207
0.810245,8,2.206167
0.856014,7,2.218948
0.834088,7,2.231914
0.850865,7,2.244881
0.83441,7,2.25683
0.839879,7,2.271106
0.856788,7,2.285067
0.865582,6,2.296039
0.834502,7,2.309003
0.866725,6,2.319973
0.876109,6,2.330946
0.839294,7,2.345105
0.853034,7,2.35807
0.846948,7,2.370038
0.846233,7,2.383003
0.865136,6,2.394972
0.837696,7,2.407937
0.841797,7,2.420902
0.841149,7,2.432898
0.867243,6,2.44435
0.861828,6,2.45532
0.873518,6,2.46629
0.871915,6,2.477261
0.869279,6,2.488232
-1.776228,15,2.51516
0.872828,6,2.526129
0.857915,6,2.537102
-1.69252,15,2.564494
0.874447,6,2.576017
0.844811,7,2.587958
0.875053,6,2.599925
0.88314,6,2.610895
0.848856,6,2.622864
-1.719071,15,2.650789
-1.776347,16,2.680711
-1.782282,17,2.713621
0.841041,7,2.729578
0.833754,7,2.745534
0.84295,7,2.759795
0.826488,7,2.776745
0.832474,7,2.792703
0.858159,7,2.806667
0.86461,6,2.819633
0.864345,6,2.833594
-1.782369,16,2.867414
0.870591,6,2.879383
0.87014,6,2.892349
0.872969,6,2.908305
0.838269,7,2.925261
0.866848,6,2.939222
0.869027,6,2.954206
-1.801259,16,2.987122
0.843252,7,3.003079
0.840142,7,3.018039
0.872808,6,3.031006
0.878054,6,3.04397
0.87623,6,3.055965
0.851222,6,3.067911
0.862811,6,3.078882
0.85699,6,3.090849
0.880785,6,3.105809
0.854126,6,3.120769
0.883126,6,3.133762
0.853597,6,3.146701
0.867923,6,3.159186
0.866706,6,3.170937
0.837257,7,3.186631
0.85518,6,3.1981
0.863028,6,3.211523
0.838909,7,3.223911
0.86865,6,3.235946
0.873587,6,3.247675
0.870904,6,3.260479
0.876094,6,3.272122
0.863595,6,3.284442
0.871406,6,3.29641
0.879349,6,3.309375
0.857872,6,3.320345
0.865473,6,3.333311
0.878115,6,3.34528
0.852559,6,3.356251
0.869137,6,3.368762
0.861886,6,3.380729
0.868647,6,3.392699
0.854813,6,3.404665
0.847475,6,3.416634
-1.694355,15,3.444558
0.842651,7,3.459519
0.846193,7,3.472484
0.837516,7,3.487445
0.862772,7,3.501407
0.851264,7,3.515369
0.858705,7,3.528335
0.856983,7,3.542298
0.82697,7,3.555264
0.853445,7,3.569707
0.867582,6,3.581672
0.840686,7,3.594636
0.839969,7,3.608056
0.85209,6,3.620023
0.841602,7,3.633986
0.879242,6,3.645955
0.852572,6,3.657922
0.857314,6,3.66989
0.878122,6,3.681857
0.845892,7,3.694823
0.845037,7,3.708786
0.874066,6,3.719756
0.876989,6,3.731726
0.859608,6,3.743692
0.858405,6,3.754663
0.880526,6,3.76602
0.888762,6,3.778337
0.853958,6,3.791303
0.862163,6,3.80327
0.86125,6,3.81424
0.857814,6,3.826209
0.875531,6,3.837179
0.871329,6,3.847152
0.861065,6,3.859121
-1.775719,15,3.887351
0.87874,6,3.898321
0.887732,6,3.911287
-1.772792,15,3.941207
0.840678,7,3.953175
0.867992,6,3.965349
0.872659,6,3.976322
0.874238,6,3.987495
0.87789,6,3.999466
