#{"t_start": 1686127510.971749, "env_id": null}
r,l,t
0.723671,12,1.802479
-1.926766,30,1.847503
-1.89924,24,1.881964
-1.853749,22,1.91398
-1.780402,21,1.998757
-1.543908,22,2.247534
-1.824585,22,2.513659
-1.828172,19,2.771267
0.843463,7,3.043785
0.840824,7,3.134597
0.872775,6,3.224921
0.864891,6,3.302752
0.847147,6,3.416451
0.857316,6,3.490758
0.880397,6,3.569577
-1.789435,15,3.676826
-1.786517,15,3.901748
0.861457,6,4.077279
0.894622,5,4.152405
-1.797046,15,4.236315
0.882469,6,4.451102
0.868178,6,4.525929
0.870514,6,4.598736
0.881831,6,4.676526
-1.802485,15,4.80218
0.856357,6,4.984385
0.880514,6,5.073972
0.887958,6,5.163732
0.862091,6,5.276936
0.875401,6,5.351231
0.86815,6,5.42554
0.86563,6,5.508203
0.877463,6,5.624298
0.860037,6,5.696396
-1.795827,15,5.79912
0.85902,6,5.967824
0.877731,6,6.083023
0.868484,6,6.153216
0.877513,6,6.236209
-1.798358,15,6.332922
0.872623,6,6.735709
-1.801857,15,6.829962
0.881033,6,7.004496
0.867297,6,7.08528
0.873047,6,7.194987
0.886412,6,7.268789
0.862159,6,7.35378
0.884384,6,7.434248
0.8966,5,7.53249
-1.784217,15,7.623249
0.858287,6,7.819926
0.888124,6,7.904699
0.885434,6,8.027371
-1.803008,15,8.163009
0.872945,6,8.37245
-1.806061,15,8.491131
0.856795,6,8.73106
-1.791289,15,8.849972
-1.804488,15,9.074376
0.877544,6,9.27484
0.877083,6,9.400282
0.86574,6,9.490037
0.885626,6,9.577801
0.884262,6,9.667566
0.885858,6,9.787851
-1.783729,15,9.886532
0.880167,6,10.064043
-1.809877,15,10.164773
0.885211,6,10.400147
0.861685,6,10.493896
0.856754,6,10.581543
0.882651,6,10.668314
0.887986,6,10.785509
0.886013,6,10.872587
0.861022,6,10.959468
0.869868,6,11.04485
0.864881,6,11.175505
0.889253,6,11.272002
-1.796502,15,11.398664
0.887459,6,11.615592
0.859884,6,11.743757
0.87872,6,11.838503
-1.802625,15,11.961175
0.85644,6,12.175602
0.86715,6,12.300269
-1.805633,15,12.418501
-1.786026,15,12.653444
0.87704,6,12.860916
0.882214,6,12.977604
0.878371,6,13.064372
0.880736,6,13.150648
0.871289,6,13.237417
-1.806366,15,13.378042
0.894294,5,13.576511
0.864782,6,13.652308
-1.797327,15,13.761975
-1.803971,15,14.024356
0.856227,6,14.247761
0.873133,6,14.344503
0.863237,6,14.430273
-1.799482,15,14.572892
-1.789836,15,14.773918
0.85513,6,14.967698
-1.806813,15,15.070927
-1.80402,15,15.328831
0.876782,6,15.52531
0.866306,6,15.614072
0.887318,6,15.70084
0.878743,6,15.814537
0.884669,6,15.89333
0.885803,6,15.985103
0.856468,6,16.069455
0.874233,6,16.18914
0.879429,6,16.267932
-1.790276,15,16.37216
0.856805,6,16.565456
0.862759,6,16.68816
-1.791023,15,16.806842
-1.807825,15,17.035795
0.856214,6,17.22281
0.86001,6,17.356364
0.88558,6,17.445127
-1.790318,15,17.550353
0.864094,6,17.744342
0.886709,6,17.863532
0.888762,6,17.950804
0.87189,6,18.036086
0.867503,6,18.122852
0.885642,6,18.230564
0.891802,6,18.315845
0.856461,6,18.401615
-1.796609,15,18.505343
0.865255,6,18.733746
-1.788307,15,18.838433
-1.804535,15,19.044945
0.87253,6,19.241375
0.864303,6,19.374771
0.860166,6,19.466527
0.8868,6,19.55779
0.896977,5,19.639571
0.895548,5,19.740301
-1.783606,15,19.834055
0.875539,6,20.023049
0.882251,6,20.112809
0.887699,6,20.231493
0.894819,5,20.320254
0.874406,6,20.391065
0.854836,6,20.477833
0.869023,6,20.596515
0.858542,6,20.67431
0.855118,6,20.758594
0.861598,6,20.838877
0.890412,6,20.957968
0.858859,6,21.04274
0.876943,6,21.119046
0.862977,6,21.201796
0.885888,6,21.316994
0.879169,6,21.397905
0.886912,6,21.482887
0.861384,6,21.567172
0.865247,6,21.680867
0.882076,6,21.761651
0.864242,6,21.846424
0.872258,6,21.927209
0.886629,6,22.042899
0.872251,6,22.12867
0.86432,6,22.208303
-1.657642,14,22.306041
0.873786,6,22.5157
0.862681,6,22.596989
0.877987,6,22.678771
0.897663,5,22.755572
0.872678,6,22.852047
0.884781,6,22.932258
0.874239,6,23.012761
0.877782,6,23.09155
0.868326,6,23.21123
0.867216,6,23.292219
0.886251,6,23.371041
-1.793283,15,23.462276
-1.797443,15,23.699645
0.855438,6,23.888034
0.864749,6,23.972808
0.875322,6,24.051599
0.866895,6,24.166296
0.882645,6,24.252066
-1.809192,15,24.3518
0.896608,5,24.528327
-1.805511,15,24.657544
-1.791328,15,24.906655
0.870292,6,25.124618
-1.79337,15,25.23595
0.885796,6,25.476553
-1.811238,15,25.588695
0.885361,6,25.79078
0.853444,6,25.88054
0.860635,6,26.006114
-1.787353,15,26.117619
0.885756,6,26.329053
0.896031,5,26.415553
0.89233,5,26.536231
0.872263,6,26.612033
0.858045,6,26.697802
0.866818,6,26.790765
0.872479,6,26.915435
0.881105,6,27.002203
0.861724,6,27.09296
0.880098,6,27.181723
-1.789425,15,27.359318
0.873635,6,27.575623
-1.658807,14,27.698295
0.888823,6,27.879809
0.872541,6,28.004476
0.883659,6,28.097293
0.864505,6,28.185059
0.88022,6,28.272824
0.863911,6,28.377544
-1.799484,15,28.468314
-1.796847,15,28.652515
0.854882,6,28.833538
0.866554,6,28.956246
0.895563,5,29.036032
-1.790272,15,29.125792
0.893132,5,29.303823
-1.796867,15,29.425005
0.883683,6,29.606538
-1.660508,14,29.69929
0.861015,6,29.866841
0.862572,6,29.976064
-1.796222,15,30.081002
0.887827,6,30.261518
0.879172,6,30.347288
0.880892,6,30.462981
0.87268,6,30.543763
0.853998,6,30.626616
0.862345,6,30.704412
0.892098,5,30.814736
0.867017,6,30.884782
0.860497,6,30.96963
-1.802563,15,31.070315
0.883057,6,31.291723
0.86782,6,31.367521
-1.799498,15,31.466766
-1.803243,15,31.653285
-1.780284,15,31.901105
0.881009,6,32.101584
-1.794846,15,32.200832
0.877841,6,32.410635
0.867559,6,32.523335
-1.796446,15,32.640186
0.895473,5,32.862595
0.86703,6,32.93939
0.881389,6,33.062076
0.86457,6,33.142861
-1.786796,15,33.24359
0.864942,6,33.431978
0.874121,6,33.555647
-1.812252,15,33.661369
0.854443,6,33.848417
-1.786792,15,33.941732
0.883816,6,34.171654
0.863615,6,34.251442
-1.806899,15,34.355166
0.868378,6,34.531295
-1.811804,15,34.662449
-1.803741,15,34.882369
-1.803193,15,35.086331
0.88548,6,35.26451
0.882044,6,35.390985
0.880726,6,35.494708
0.860089,6,35.589961
0.859937,6,35.675376
0.886307,6,35.78155
