#{"t_start": 1684959432.288511, "env_id": null}
r,l,t
-2547.750305,82,8.162341
-1247.294392,27,10.852414
-6850.084133,159,26.852519
-5538.895985,137,40.573668
-1589.023579,35,44.091079
-2156.359657,48,48.850026
-1313.666203,28,51.579052
-1475.019966,34,54.939096
-2150.19421,48,59.759979
-7841.547955,213,81.063117
-7950.626694,205,101.52495
-2336.99102,56,107.152356
-3722.895191,87,115.806052
-2337.075512,53,121.108886
-1572.267784,34,124.465968
-2357.898018,52,129.632756
-990.936943,21,131.732383
-1428.707279,31,134.823174
-2398.853756,53,140.064125
-2291.2999,51,145.164059
-1759.926659,38,148.933298
-6226.206051,142,163.143576
-1756.357475,38,166.977146
-1613.125431,35,170.414974
-3002.98214,70,177.375079
-4530.957081,107,188.002001
-3481.274574,79,195.845892
-2308.138527,51,200.888155
-2753.548431,61,211.093188
-1713.491497,37,214.759707
-3333.987755,77,222.430592
-4206.580524,102,232.602031
-4043.080891,96,242.180368
-3651.762981,85,250.670576
-5563.55093,136,264.295683
-2373.174927,52,269.489136
-1481.437103,32,272.672377
-1730.742683,38,276.502519
-1692.89098,37,280.255054
-17732.345979,836,363.891016
-5590.453835,130,376.895334
-3767.321308,85,385.342269
-1320.545181,29,388.236729
-3062.932327,70,395.209583
-2156.77026,47,399.88939
-4890.481274,122,412.045441
-5132.785149,129,424.920688
-2541.282913,57,430.64848
-2698.892933,60,436.666025
-1515.366631,33,439.967442
-3594.524746,93,449.255792
-2729.153847,62,455.428758
-857.707161,18,457.275877
-2238.186897,50,462.293477
-3545.131332,88,471.109716
-1846.289089,40,475.063666
-2310.258667,51,480.206967
-3099.316124,70,487.175004
-5213.072357,127,499.920835
-1927.144112,42,504.15271
-1578.46323,34,507.634978
-857.993248,18,509.43172
-3749.120262,89,518.360338
-2066.100113,46,522.932087
-2468.129295,56,528.541149
-2724.28965,61,534.681393
-3736.343977,98,544.461361
