#{"t_start": 1685849540.4305255, "env_id": null}
r,l,t
-61739.556458,11,1.930582
-60260.492798,9,1.950952
-135960.254333,141,3.073322
-70570.623291,17,3.240439
-89335.486694,34,3.587667
-80532.369141,24,3.823252
-95758.108643,36,4.187762
-77819.592407,22,4.403966
-153039.10321,98,5.37297
-73845.207275,19,5.557083
-112288.344482,51,6.073272
-71307.575439,17,6.239966
-66794.410522,13,6.371725
-88510.02771,31,6.778162
-76516.880127,21,6.889864
-77640.306396,23,7.10872
-291701.949768,298,10.090063
-80894.84082,24,10.337448
-102408.22229,44,10.773197
-85580.265259,29,11.056877
-96314.474792,47,11.74907
-108342.458618,52,12.039841
-82451.950439,25,12.288125
-79023.489746,23,12.520257
-76800.58313,21,12.723445
-81982.297729,25,12.972669
-77429.789307,21,13.18806
-87533.676758,30,13.486786
-83649.025635,27,13.753949
-80871.302612,24,13.990682
-81395.783569,25,14.239935
-94785.289062,35,14.587911
-91993.919189,33,14.908707
-86113.218018,28,15.191263
-78702.876343,22,15.40665
-77820.387085,22,15.624948
-183464.213898,176,17.389705
-74655.594116,20,17.574339
-197520.054749,166,19.237973
-82677.140137,26,19.504591
-80683.637329,24,19.740519
-183726.244598,168,21.706028
-76369.72937,21,21.791933
-445798.564697,394,25.557183
-96809.16333,37,25.922625
-65618.263672,13,26.0544
-73071.180786,18,26.237219
-80070.557251,24,26.699151
-73271.916504,18,26.745028
-79356.553101,23,26.906847
-81390.328979,25,27.12313
-86045.528076,29,27.406456
-101548.465698,41,27.822489
-85514.698608,28,28.103751
-88302.67395,30,28.403606
-107886.552734,49,28.889567
-78717.093384,23,29.120772
-77458.021729,22,29.337231
-82428.755737,26,29.589703
-1147157.864197,553,35.121236
-81902.892578,25,35.370376
-116908.129089,66,36.02358
-82686.154663,26,36.273398
-74715.910278,20,36.689364
-82832.160034,26,36.7502
-249118.983032,211,38.83729
-75132.894653,21,39.039847
-91125.540283,35,39.389197
-72764.752441,18,39.570395
-81266.199829,25,39.808564
-83780.690552,26,40.073516
-79357.142944,23,40.306086
-86812.995728,29,40.590004
-73121.078857,18,40.77157
-792680.865356,426,45.037244
-96681.261108,37,45.40393
-92644.150513,37,45.77322
-71300.381836,17,45.940103
-133660.684814,77,46.739855
-1345735.786865,753,54.239077
-78918.606323,23,54.470574
-75233.172363,20,54.656912
-116234.306519,56,55.219632
-83120.476807,27,55.47442
-499417.525757,354,59.021303
-87596.082153,29,59.320021
-78043.995117,22,59.537119
-86571.463745,29,59.822665
-69472.938843,16,59.973044
-145054.191956,109,61.069829
-92595.945557,35,61.651644
-1139144.503418,627,67.686529
-79765.735596,24,67.921995
-161238.335968,139,69.305292
-79446.112061,23,69.537264
-71596.161377,17,69.705472
-65417.589478,13,69.837349
-204427.223969,204,71.872323
-80029.353333,27,72.153274
-75860.371216,21,72.355504
-123718.497009,81,73.169818
-105757.618935,126,74.421969
-363523.264465,291,77.336577
-336786.580521,258,79.920559
-87189.940796,30,80.207108
-235807.738907,229,82.490751
-72522.076538,18,82.672007
-403563.115875,301,85.686929
-88186.951172,30,85.987209
-262783.652405,224,88.222721
-818228.980652,379,92.006833
-95241.83374,47,92.472145
-111017.896851,49,92.956934
-79914.493774,25,93.205364
-1044491.372925,554,98.739901
-99006.551331,43,99.171861
