#{"t_start": 1685849070.0014656, "env_id": null}
r,l,t
-19191.045044,14,1.791324
-15084.252441,9,1.808345
-23948.905518,17,1.838261
-33455.434082,22,1.974659
-35930.750244,25,2.190877
-33311.089233,23,2.40833
-36201.810791,24,2.65706
-1162286.408051,749,10.141048
-30327.615967,20,10.341455
-28058.915405,19,10.538584
-28672.903564,19,10.722573
-30127.107422,20,10.922226
-32115.969849,21,11.124785
-32193.221313,21,11.592417
-28095.264648,18,11.658241
-26022.654907,18,11.722643
-29036.510498,19,11.892342
-56709.647705,42,12.308219
-53562.116455,40,12.707834
-58476.896851,45,13.158448
-34162.609253,23,13.390955
-28004.38562,18,13.571998
-22670.369629,14,13.708279
-30438.424805,20,13.906382
-36084.990723,24,14.143328
-35460.518433,25,14.391151
-29730.651611,19,14.588763
-32072.070068,21,14.791375
-30876.49353,21,15.005378
-34624.329346,24,15.240514
-54607.084595,41,15.655728
-33816.99231,23,15.88843
-24903.874146,16,16.040634
-31534.463745,21,16.255631
-32196.251099,22,16.614673
-34173.969116,23,16.72737
-36310.557739,25,16.955773
-36122.181396,24,17.189209
-28382.542603,19,17.374214
-26873.039917,17,17.540819
-31859.127808,21,17.757602
-21330.379639,13,17.889048
-22874.238281,14,18.024319
-21361.116089,14,18.159126
-35395.510986,24,18.40567
-32179.727539,21,18.662572
-34836.157471,23,18.842638
-34315.632812,23,19.072919
-34280.962158,23,19.306083
-32653.538818,22,19.522061
-35357.942261,24,19.758096
-34824.852051,23,20.008534
-31019.263672,21,20.191138
-36514.339722,25,20.438951
-31677.680176,21,20.641357
-29920.249634,20,20.841294
-18545.343506,11,20.955271
-34288.637085,24,21.190922
-20310.891113,13,21.555167
-25153.015259,16,21.591073
-32475.153687,22,21.724507
-27090.46875,17,21.871897
-24283.436523,16,22.025093
-45000.146851,32,22.342419
-33020.620117,22,22.558211
-29332.472778,19,22.755749
-25894.120117,17,22.921808
-33912.839111,24,23.157309
-28205.660645,19,23.340129
-27149.084106,18,23.507904
-30769.475952,20,23.709307
-26802.654541,17,23.874139
-23246.317017,15,24.024661
-28935.590332,20,24.224058
-29230.902954,19,24.409302
-33593.726196,22,24.624727
-36215.361572,24,24.872794
-26969.73999,17,25.041781
-28834.736328,19,25.226042
-28181.528564,18,25.408212
-28419.638306,19,25.59293
-30042.782593,20,25.791174
-31945.71167,21,26.005833
-20646.02002,13,26.124698
-36159.565308,24,26.526757
-27476.115234,18,26.565652
-33306.599365,23,26.7744
-26718.560425,17,26.941425
-24697.175781,16,27.105586
-23108.031982,15,27.240997
-23078.049316,15,27.390661
-30090.360474,20,27.589133
-30595.062134,20,27.788657
-23593.521851,15,27.939286
-25727.610962,16,28.104928
-27523.173706,18,28.273677
-30594.330444,21,28.475464
-23461.860229,15,28.624704
-19145.238525,12,28.742893
-34065.491211,23,28.974377
-17147.320435,10,29.074457
-26184.385559,19,29.257466
-31423.19165,21,29.471699
-20752.126953,13,29.591305
-30911.818359,21,29.805044
-24041.095581,15,29.955215
-26250.786743,17,30.121805
-24933.081665,16,30.274736
-31565.664551,22,30.490501
-24650.907715,16,30.654941
-23482.613037,15,30.804855
-28391.871094,19,30.988853
-17448.095215,10,31.089659
