#{"t_start": 1685844974.1887908, "env_id": null}
r,l,t
-47824.222168,13,2.58805
-116580.112305,30,5.587293
-134072.424805,31,8.704534
-97345.755371,22,10.920859
-93839.074707,21,13.054184
-118928.2854,27,15.754011
-82542.361816,19,17.587275
-99212.20459,23,19.854719
-106204.768799,25,22.287928
-227363.607727,101,32.320938
-120472.210449,28,35.070396
-165288.546387,39,38.903889
-98521.387695,22,41.08711
-107308.530273,24,43.503833
-106583.771973,24,45.904418
-120016.03833,28,48.653779
-230548.89502,58,54.404033
-316567.637451,82,62.570774
-103186.384277,23,64.887324
-259008.600952,101,74.937182
-147057.361084,34,78.3534
-103897.633789,23,80.670937
-122065.099121,27,83.386445
-102728.43457,23,85.6704
-115662.888184,26,88.25383
-121117.134766,27,90.953881
-202193.769775,49,95.803469
-104704.241211,23,98.119876
-122587.350586,28,101.138914
-102014.799316,23,103.119301
-82412.924072,19,105.003357
-89819.640869,20,107.003503
-87620.180908,20,108.969832
-179163.754395,43,113.269809
-96423.008789,22,115.40307
-86796.012695,20,117.353276
-103586.568359,23,119.653165
-92982.362793,21,121.753505
-113255.668945,26,124.286235
-108440.459961,24,126.686528
-125995.066895,28,129.502891
-119485.873535,27,132.186662
-75760.588867,17,133.869262
-110654.633301,25,136.319781
-98579.652832,22,138.502986
-90359.090332,21,140.552658
-107132.634766,24,142.969561
-134893.57666,30,145.985569
-150133.334961,34,149.402617
-310047.737061,101,159.452558
-118850.580566,27,162.101914
-155561.103271,36,165.702592
-122668.830078,28,168.468857
-108462.855957,24,170.869327
-93287.51416,21,172.919396
-86252.332031,19,174.819064
-272576.89978,101,184.868861
-91269.576172,20,186.885315
-111197.976074,25,189.385286
-115771.754395,26,191.985069
-109541.24292,27,194.68571
-163769.095703,38,198.485266
-60856.336182,14,199.868479
-89708.072266,20,201.851632
-103189.567871,23,204.152207
-115763.240967,27,206.78482
-103062.806152,24,209.118465
-92599.575195,21,211.202811
-139582.488281,33,214.501337
-118961.654785,27,217.168342
-150514.768555,35,220.651627
-214425.888916,58,226.401629
-99999.172363,23,228.651996
-113229.867188,25,231.168537
-105878.775391,24,233.551879
