#{"t_start": 1685079400.5063918, "env_id": null}
r,l,t
-440323.91272,35,4.885362
-760883.645096,281,32.984221
-1063367.438721,121,45.064276
-851895.269531,34,48.404989
-895725.330566,39,52.26504
-734107.013672,26,54.984364
-705381.515137,21,57.024178
-1307358.793457,110,68.043928
-693312.888184,21,70.143908
-828304.394043,31,73.244197
-960811.933105,44,77.584454
-883231.458008,38,81.384188
-1778977.703125,130,94.364244
-1914990.856445,121,106.403601
-967382.814453,44,110.763885
-986129.803223,50,115.704149
5937569.998077,358,151.444622
-1021549.881348,54,156.844507
-1667194.739258,99,166.704607
-965489.696289,45,171.144425
-808839.006348,30,174.08463
-782811.699707,29,176.923776
-729324.490723,24,179.303761
-930578.333984,44,183.664343
-786436.560547,28,186.464375
-699513.268066,24,188.823894
-927759.30127,70,195.784188
-2018648.792969,134,209.775385
-1468529.655273,79,217.635619
-1021408.268555,48,222.41569
-1387337.449707,85,230.895998
-1157062.497559,78,238.63612
-874856.582031,38,242.376119
-977738.961914,44,246.716063
-1897816.265625,155,262.195541
-859069.081543,35,265.655478
-984252.671875,49,270.495381
-916175.888184,38,274.275435
-762420.006348,26,276.835685
2765771.867428,257,302.495447
-879231.496338,62,308.655984
-751225.94873,24,311.075838
-837961.304688,33,314.355503
-2243312.664551,146,328.97567
-922447.274902,39,332.87606
-1025023.928223,88,341.655827
-781849.340332,27,344.2958
-911960.791016,43,348.615905
-1034049.064453,62,354.776173
-729296.529785,24,357.135882
-1254742.899902,79,364.97584
-863140.91748,37,368.655833
-1218282.086426,64,374.996184
-1729147.612305,121,387.035446
-978310.515869,68,393.855805
-1089809.162109,75,401.296103
-1789076.890137,127,414.611015
-1455460.867676,78,422.43136
-1002575.089355,48,427.251975
-855810.405762,37,430.911383
-2031409.26416,192,450.051513
-942387.405273,47,454.751385
-1176559.184082,83,463.011427
-967201.464806,116,474.631839
-1361730.316895,93,483.891147
-1904566.589355,150,498.911237
-988037.559082,55,504.411707
-704258.306152,21,506.490994
-1078476.33252,55,512.011765
1228690.092789,290,540.991112
-832168.151855,33,544.251741
-915462.046387,42,548.451877
-834559.604492,34,551.871399
-846258.840332,35,555.391745
-775401.769043,26,557.950862
-913771.404785,41,562.051933
-993721.796875,49,566.950984
-814802.668457,31,570.051872
-718134.243164,24,572.411411
-628382.49855,89,581.251353
-606620.508789,13,582.551498
-786254.822754,31,585.651062
-803863.708496,37,589.371558
-947117.027344,42,593.591674
19347069.961761,445,638.593951
-967392.217285,68,645.333635
-1236666.118164,78,653.133396
-879286.228516,40,657.153422
-857533.339844,33,660.433453
-1106581.725098,58,666.193867
-1036672.705078,48,670.953469
-1076472.435059,53,676.274105
-992223.070312,47,680.933442
-914574.308105,39,1030.278801
-1802195.201172,114,1041.718584
-984588.574219,47,1046.438844
-893909.09375,39,1050.358979
-733995.28418,23,1052.698812
46078.341797,349,1087.61842
-726933.608887,24,1090.01827
-964761.447266,49,1094.918494
-607888.220215,13,1096.258799
-913827.756348,40,1100.238343
-695341.708008,20,1102.278901
-810252.213867,30,1105.238266
-820115.887695,30,1108.198859
-815762.867188,31,1111.279014
-909172.227539,41,1115.358356
-736920.958496,23,1117.618088
-938120.316895,44,1122.038985
-846811.664551,35,1125.578649
-1169991.661621,79,1133.518688
-805073.53125,32,1136.718659
-1138490.758789,95,1146.258422
-1217162.750977,128,1159.038743
-614607.086349,126,1171.638831
-1183858.236816,72,1178.798398
-1233672.890625,88,1187.598683
-632418.003418,15,1189.118584
-942492.827148,56,1194.738385
10721753.165894,499,1244.638523
-1060568.850098,50,1249.659252
-1070249.162109,49,1254.57858
-43853.345856,216,1276.159062
-798282.941895,30,1279.178967
-1045698.94043,57,1284.858116
-984296.037598,49,1289.758747
-822834.515625,31,1292.899365
-1433759.174316,140,1306.898478
441673.246101,155,1322.439165
-914297.771973,39,1326.378376
-750982.050293,25,1328.838701
-1378182.575684,78,1336.598203
-1013202.969238,50,1341.578884
-724516.526367,26,1344.158875
-1243401.335449,85,1352.679815
