#{"t_start": 1685850054.955903, "env_id": null}
r,l,t
-422213.909058,343,5.01005
-390985.946014,501,10.022863
-514143.955139,501,15.024183
-377099.456329,501,20.039452
-355946.564468,499,25.041673
-454952.93692,502,30.054962
-600155.763855,501,35.057532
-610502.414307,502,40.07409
-806620.538147,502,45.088091
-545609.756592,501,50.091479
-411829.103531,502,55.10704
-395730.589523,502,60.111389
-517510.931458,501,65.128174
-1190058.621521,502,70.138313
-1005646.666718,501,75.140753
-852298.646301,501,80.154921
-921666.185181,501,85.156931
-778165.753357,502,90.17273
-527330.723724,502,95.187764
-478994.735626,501,100.190015
-800306.48407,502,105.206412
-652498.860352,502,110.209157
-594882.484573,501,115.222487
-502805.494019,502,120.237856
-725286.503418,501,125.239516
-707542.75795,502,130.255971
-437684.363739,502,135.270102
