#{"t_start": 1686080952.3982356, "env_id": null}
r,l,t
0.021,21,1.884891
0.026,26,1.932763
0.022,23,1.973654
0.024,24,2.015542
0.02,20,2.051446
0.016,16,2.080372
0.019,19,2.114283
0.022,22,2.153177
0.018,18,2.18553
0.023,23,2.227417
0.019,20,2.26288
0.023,23,2.303771
0.019,19,2.337031
0.018,18,2.369943
0.032,32,2.427788
0.013,14,2.451724
0.029,29,2.503591
0.028,28,2.552461
0.017,17,2.582696
0.027,27,2.630126
0.023,24,2.674037
0.028,28,2.723874
0.052,52,2.813731
0.015,15,2.84043
0.035,35,2.90188
0.023,23,2.942427
0.025,26,2.988535
0.019,19,3.028426
0.08,80,3.171194
0.016,16,3.201827
0.019,19,3.236191
0.02,20,3.272846
0.027,27,3.31998
0.026,27,3.370658
0.03,30,3.427259
0.017,18,3.459128
0.017,18,3.492828
0.027,27,3.541487
0.033,34,3.602327
0.023,23,3.6454
0.062,63,3.757
0.034,34,3.817709
0.021,21,3.855608
0.02,20,3.892133
0.024,24,3.935019
0.017,17,3.965906
0.092,92,4.127948
0.048,49,4.214051
0.102,102,4.392922
0.022,22,4.431818
0.078,78,4.567244
0.02,21,4.605853
0.024,24,4.64674
0.022,22,4.686494
0.026,26,4.731374
0.025,25,4.776306
0.07,70,4.899447
0.019,19,4.934356
0.019,19,4.968326
0.023,23,5.009053
0.036,36,5.071725
0.02,20,5.106631
0.02,20,5.141646
0.017,17,5.17106
0.023,23,5.212946
0.054,54,5.312812
0.026,27,5.365394
0.027,28,5.421077
0.027,28,5.475146
0.023,23,5.518032
0.026,26,6.638425
0.029,30,6.713225
0.021,21,6.764089
0.022,22,6.806974
0.051,51,6.897789
0.03,30,6.953637
0.025,25,7.000736
0.022,22,7.05858
0.028,29,7.123407
0.023,24,7.168287
0.024,25,7.214874
0.02,21,7.252773
0.029,29,7.308624
0.025,25,7.3545
0.016,16,7.387413
0.035,35,7.451241
0.062,62,7.565461
0.019,19,7.601365
0.026,26,7.650234
0.02,20,7.687136
0.022,22,7.728026
0.026,26,7.776799
0.022,22,7.826625
0.025,25,7.881478
0.024,24,7.93162
0.027,28,7.992043
0.023,23,8.042905
0.02,20,8.085791
0.025,26,8.14962
0.021,22,8.202017
0.021,21,8.250885
0.026,26,8.311232
0.03,30,8.384037
0.031,31,8.458517
0.024,24,8.517959
0.022,22,8.584426
0.018,19,8.629297
0.022,23,8.681672
0.032,32,8.749492
0.017,17,8.785394
0.02,21,8.833808
0.029,30,8.89891
0.022,22,8.952765
0.023,23,9.006622
0.024,24,9.057112
0.02,20,9.104269
0.019,20,9.153294
