#{"t_start": 1686101618.3978941, "env_id": null}
r,l,t
-0.964,361,2.43931
-0.9973,28,2.489176
-0.9976,25,2.534866
-0.9974,27,2.584731
-0.9981,20,2.622961
-0.9895,106,2.812531
-0.9977,24,2.855416
-0.998,21,2.892693
-0.997,31,2.951541
-0.9976,25,3.00042
-0.9977,24,3.045614
-0.9978,23,3.086332
-0.9977,24,3.131838
-0.9948,53,3.227783
-0.9976,25,3.274932
-0.9977,24,3.319913
-0.9976,25,3.367832
-0.9898,103,3.560635
-0.9962,39,3.635089
-0.9971,30,3.691585
-0.9975,26,3.739473
-0.9965,36,3.805278
-0.9975,26,3.853676
-0.9981,20,3.891105
-0.9836,165,4.189677
-0.9988,13,4.213023
-0.9987,14,4.238954
-0.9978,23,4.279844
-0.9984,17,4.309764
-0.9977,24,4.354645
-0.9948,53,4.450319
-0.9977,24,4.494281
-0.9975,26,4.540764
-0.9981,20,4.578636
-0.9983,18,4.610549
-0.9981,20,4.646454
-0.9979,22,4.68535
-0.9977,24,4.729122
-0.9974,27,4.777237
-0.9978,23,4.819125
-0.9976,25,4.864259
-0.9978,23,4.90515
-0.9974,27,4.954989
-0.9959,42,5.036494
-0.9981,20,5.074799
-0.998,21,5.113164
-0.9981,20,5.148071
-0.9981,20,5.184482
-0.9847,154,5.459339
-0.9979,22,5.499232
-0.9972,29,6.530772
-0.9979,22,6.576361
-0.9975,26,6.64817
-0.9984,17,6.683622
-0.9975,26,6.733488
-0.9764,237,7.156384
-0.9965,36,7.220214
-0.9853,148,7.485185
-0.9976,25,7.53107
-0.9978,23,7.572185
-0.998,21,7.611081
-0.9908,93,7.779325
-0.9984,17,7.810242
-0.9907,94,7.993285
-0.9977,24,8.037437
-0.9973,28,8.089298
-0.9976,25,8.134885
-0.9864,137,8.382265
-0.9986,15,8.410648
-0.9974,27,8.461567
-0.9933,68,8.583946
-0.9969,32,8.645345
-0.9976,25,8.693251
-0.9978,23,8.734141
-0.9977,24,8.779052
-0.9961,40,8.850873
-0.9967,34,8.913987
-0.9982,19,8.948893
