#{"t_start": 1686081766.938324, "env_id": null}
r,l,t
1.004,5,1.921003
1.004,5,1.933967
1.004,5,1.945935
1.004,5,1.967056
1.006,7,1.982015
1.01,11,2.001712
1.014,15,2.028641
1.007,8,2.046592
1.006,7,2.069533
1.009,10,2.104438
1.008,9,2.129371
1.014,15,2.164279
-0.704,297,2.730895
1.015,16,2.760817
1.014,15,2.788742
1.009,10,2.808689
-0.486,515,3.781312
1.025,26,3.831435
1.018,19,3.867339
1.016,17,3.900759
1.022,23,3.946636
1.007,8,3.961595
1.007,8,3.977554
1.007,8,3.992513
1.014,15,4.020439
1.016,17,4.050358
-0.928,73,4.185723
1.01,11,4.207664
1.027,28,4.261203
-0.697,304,4.800024
1.021,22,4.844934
1.008,9,4.862886
1.01,11,4.883342
1.008,9,4.901294
1.006,7,4.917813
1.008,9,4.936024
1.007,8,4.950984
1.008,9,4.967939
-0.593,408,5.711599
-0.44,561,7.777423
1.019,20,7.815325
1.017,18,7.84921
1.009,10,7.867337
1.008,9,7.885288
1.008,9,7.902243
1.016,17,7.933159
1.014,15,7.961119
1.009,10,7.979042
1.007,8,7.994023
1.008,9,8.010957
1.008,9,8.027911
1.007,8,8.043867
1.007,8,8.058827
1.008,9,8.074814
1.009,10,8.092764
1.011,12,8.11368
1.035,36,8.177539
1.023,24,8.220423
1.022,23,8.261876
1.015,16,8.289801
1.014,15,8.316729
1.006,7,8.329696
1.006,7,8.343689
1.008,9,8.359257
1.007,8,8.374217
1.008,9,8.390174
1.012,13,8.413666
1.022,23,8.45356
1.021,22,8.493012
1.009,10,8.510504
1.007,8,8.525461
1.007,8,8.540422
1.009,10,8.557407
1.006,7,8.570759
1.006,7,8.583726
1.008,9,8.599706
1.022,23,8.64157
1.011,12,8.662527
1.016,17,8.693444
1.014,15,8.719375
1.01,11,8.739322
1.033,34,8.800755
1.01,11,8.847144
1.018,19,8.89701
1.009,10,8.916203
1.036,37,8.984022
1.019,20,9.023948
1.025,26,9.072818
1.026,27,9.123712
1.022,23,9.177567
1.01,11,9.203499
1.015,16,9.239403
1.016,17,9.275306
1.011,12,9.30024
1.011,12,9.323179
1.018,19,9.362079
1.007,8,9.378037
1.009,10,9.396985
1.01,11,9.416932
1.008,9,9.433397
1.009,10,9.451713
1.009,10,9.469687
1.009,10,9.489638
1.012,13,9.515568
1.007,8,9.530501
-0.698,303,10.090392
1.009,10,10.110027
1.01,11,10.130975
1.02,21,10.169445
1.013,14,10.195374
1.011,12,10.217608
1.02,21,10.255515
1.015,16,10.285434
1.025,26,10.33291
1.022,23,10.375775
1.011,12,10.398713
1.029,30,10.453919
1.011,12,10.476365
1.024,25,10.523992
1.014,15,10.550921
1.015,16,10.582352
1.008,9,10.6013
1.007,8,10.620105
1.01,11,10.640054
1.024,25,11.733021
1.009,10,11.755544
1.006,7,11.773495
1.011,12,11.802417
1.017,18,11.844872
1.014,15,11.876784
1.013,14,11.905709
1.015,16,11.93862
1.008,9,11.955575
1.006,7,11.967953
1.007,8,11.982913
1.005,6,11.995879
-0.584,417,12.780822
-0.38,621,13.910469
-0.909,92,14.073244
1.019,20,14.109738
1.011,12,14.131679
1.01,11,14.151649
1.022,23,14.193514
1.015,16,14.22446
1.012,13,14.247393
1.013,14,14.282277
1.009,10,14.30422
-0.961,40,14.386544
1.012,13,14.411478
1.008,9,14.428829
1.009,10,14.448776
1.015,16,14.479692
1.008,9,14.49565
1.008,9,14.511607
-0.364,637,16.637462
1.012,13,16.664391
1.007,8,16.680347
1.007,8,16.6983
1.014,15,16.72467
1.008,9,16.741625
1.007,8,16.756584
1.007,8,16.770547
1.008,9,16.787503
1.01,11,16.807815
1.008,9,16.82479
1.008,9,16.841719
1.013,14,16.866653
1.018,19,16.902581
1.008,9,16.91954
1.013,14,16.944968
1.007,8,16.959747
1.007,8,16.976701
1.008,9,16.992658
1.006,7,17.005625
1.006,7,17.019273
1.016,17,17.049622
1.013,14,17.075525
1.008,9,17.09248
1.009,10,17.111433
-0.226,775,18.530457
1.025,26,18.577331
-0.872,129,18.806422
1.014,15,18.835344
1.008,9,18.851606
1.008,9,18.86856
1.007,8,18.883521
1.007,8,18.898487
1.007,8,18.913471
1.007,8,18.928404
1.006,7,18.94137
1.005,6,18.952341
1.005,6,18.964309
1.005,6,18.97528
1.005,6,18.98625
1.005,6,18.998218
1.005,6,19.009189
1.006,7,19.022153
1.014,15,19.049081
1.015,16,19.078004
1.009,10,19.094959
-0.625,376,19.782828
-0.74,261,20.249843
1.022,23,21.324614
1.019,20,21.369493
1.025,26,21.425348
1.032,33,21.495791
1.009,10,21.514325
1.009,10,21.533275
1.011,12,21.556214
1.007,8,21.572171
1.007,8,21.587131
1.009,10,21.606084
1.008,9,21.622384
1.006,7,21.63535
1.007,8,21.650309
1.007,8,21.664272
1.008,9,21.681227
1.012,13,21.706972
1.009,10,21.724932
1.017,18,21.756847
1.011,12,21.779785
1.009,10,21.797266
1.013,14,21.824983
1.014,15,21.852441
1.006,7,21.866404
1.005,6,21.878047
1.007,8,21.892517
1.006,7,21.905483
1.005,6,21.91804
1.005,6,21.930033
1.005,6,21.940979
1.01,11,21.960973
1.029,30,22.017025
1.007,8,22.031983
1.007,8,22.046944
1.006,7,22.060885
1.005,6,22.071856
1.007,8,22.086846
1.01,11,22.106768
1.007,8,22.12124
1.015,16,22.151164
1.009,10,22.169116
1.007,8,22.185073
1.009,10,22.20454
1.023,24,22.247322
1.009,10,22.265281
1.007,8,22.281209
1.008,9,22.298166
1.009,10,22.318325
1.022,23,22.36121
1.012,13,22.386143
1.01,11,22.406488
1.011,12,22.428458
1.008,9,22.445383
1.007,8,22.460344
1.011,12,22.482285
1.008,9,22.49924
1.009,10,22.518825
1.018,19,22.555728
1.013,14,22.583652
-0.929,72,22.719125
1.012,13,22.743061
1.008,9,22.759019
1.007,8,22.773978
1.007,8,22.788937
1.015,16,22.819095
1.009,10,22.838044
1.008,9,22.854999
1.006,7,22.867963
1.007,8,22.883921
1.015,16,22.914865
1.011,12,22.937804
1.021,22,22.978722
1.025,26,23.024575
1.008,9,23.040533
1.007,8,23.05552
1.016,17,23.085414
-0.86,141,23.348749
1.01,11,23.368696
1.01,11,23.388643
1.024,25,23.43851
1.014,15,23.465462
1.01,11,23.485384
1.007,8,23.50037
1.006,7,23.513525
1.007,8,23.528438
1.011,12,23.549382
1.007,8,23.564342
1.017,18,23.597965
1.026,27,23.646399
1.008,9,23.661359
1.008,9,23.678289
1.007,8,23.692268
1.009,10,23.711261
1.009,10,23.729244
1.007,8,23.744203
1.012,13,23.767143
1.02,21,23.805294
1.01,11,23.826239
1.01,11,23.846186
