#{"t_start": 1686111609.514703, "env_id": null}
r,l,t
0.999888,3,1.847251
0.99978,4,1.858902
0.999878,3,1.865392
0.999756,4,1.872686
-3.55982,781,3.448853
0.999522,9,3.467
-1.379741,207,3.859351
0.999727,5,3.868865
0.999811,4,3.876844
-5.33695,1032,6.736356
-1.429482,137,7.014992
0.999881,3,7.029954
-6.41607,1229,9.225392
0.999078,12,9.24833
-5.157616,1231,12.439535
-8.641848,1247,14.603312
-1.886094,480,16.417026
0.999679,5,16.426587
1.0,1,16.428587
-7.321748,1598,19.222407
-5.151037,1137,22.167326
0.999347,10,22.18428
0.999655,6,22.195252
-4.013393,1181,25.172686
-3.994763,880,26.713778
0.999663,5,26.723751
0.999817,4,26.73173
0.999946,2,26.735719
0.999692,5,26.744695
0.999809,4,26.752702
0.999723,5,26.76165
0.999853,3,26.767634
0.999942,2,26.771624
0.999692,5,26.780599
0.99976,4,26.789139
0.99968,5,26.798109
0.999943,2,26.802098
0.99986,3,26.808082
-4.63376,1070,29.611284
0.999173,14,29.641197
-1.029427,55,29.753466
-3.161047,474,30.577806
-4.75675,1198,32.682622
0.999532,7,32.69858
-2.098596,372,34.326791
1.0,1,34.328787
-2.732437,634,35.438786
-3.198033,545,36.380875
-2.328204,520,37.289643
-1.654665,246,38.751827
-3.864807,925,40.405747
-1.803872,257,40.851992
-1.589953,251,41.287289
0.999459,9,41.304243
0.99961,7,41.317208
-1.239009,132,41.546721
0.998819,14,41.571655
-2.86491,584,43.595827
0.999629,7,43.608766
0.999816,4,43.616735
0.999633,6,43.627706
0.999949,2,43.631696
0.999945,2,43.636682
-1.943095,303,44.172675
-1.034318,51,44.263917
0.999827,4,44.270899
-4.64784,883,45.79776
-2.357838,607,46.887083
0.999326,9,46.903043
0.999593,6,46.914014
-5.231528,1220,50.042107
0.999277,10,50.06006
0.999729,5,50.070033
-1.067275,54,50.164778
-5.495265,1046,52.926812
0.999898,3,52.932797
0.999488,7,52.945762
-5.914725,1415,55.421428
0.999635,7,55.434394
-5.186223,1580,59.137807
-4.151006,855,61.607227
0.999948,2,61.611748
0.999751,4,61.620725
0.999764,4,61.6297
-10.812686,2294,66.674098
0.998984,13,66.697883
0.999946,2,66.701872
-4.614097,1144,68.691485
0.999639,7,68.704452
-2.24764,574,69.739514
0.999307,10,69.757466
-3.072043,984,72.458568
0.999744,5,72.468541
0.999488,7,72.480509
0.999876,3,72.487491
0.999671,5,72.496466
0.999868,3,72.503448
0.999761,4,72.511427
-8.966016,2135,77.22488
-2.823434,875,78.736974
0.999749,4,78.744953
-6.534005,1518,82.386488
0.999292,11,82.405438
0.999739,5,82.415411
-4.193954,1178,85.528525
-3.380677,922,87.121444
0.999546,8,87.136403
0.999893,3,87.142388
0.999768,5,87.151363
-3.928869,811,89.549721
-3.714416,1093,91.458394
0.999885,3,91.464378
-5.481082,1514,95.094523
0.998955,12,95.115467
0.999535,7,95.128432
-8.406106,2210,99.95924
-1.016882,45,100.045537
0.99949,7,100.059069
0.999673,5,100.068045
0.999603,6,100.080394
0.999731,5,100.090756
0.999689,5,100.099731
-4.894805,1299,103.38285
0.999897,3,103.388833
-1.938263,568,104.377899
0.999839,4,104.38488
0.999784,5,104.394978
0.99898,12,104.415924
