#{"t_start": 1686080417.7040164, "env_id": null}
r,l,t
-1.850146,10,1.797475
0.491079,7,1.812047
-8.818451,64,1.935137
-2.853854,22,1.974033
-3.312849,25,2.018943
-2.860933,23,2.060831
-3.487712,24,2.102731
-3.119163,42,2.177065
-3.316051,23,2.218465
-3.382206,23,2.258358
-4.078789,34,2.321191
-3.732149,29,2.372054
-3.667633,27,2.419777
-2.857795,20,2.454708
-3.810131,33,2.512554
-3.427552,24,2.556412
-3.494846,28,2.606391
-3.804237,30,2.659252
-3.426871,25,2.704132
-3.194984,21,2.741042
-2.210767,14,2.765975
-2.725833,22,2.804871
-1.169985,24,2.847343
-0.724767,19,2.881224
-3.589933,26,2.927293
-2.908307,48,3.011069
-3.110096,24,3.053973
-3.552022,24,3.097855
-2.75985,19,3.132412
-3.214426,22,3.17029
-4.111339,38,3.237136
-4.44477,34,3.298947
-2.864517,20,3.33639
-3.389375,23,3.379276
-0.704034,19,3.413185
-3.509387,24,3.456095
-3.107647,23,3.496985
-3.583355,26,3.54755
-4.133945,35,3.615803
-3.375158,23,3.658635
-3.312827,23,3.701998
-7.352429,49,3.78911
-2.991225,20,3.825395
-3.068917,23,3.867838
-3.531505,24,3.912864
-3.320852,22,3.952339
-3.241599,22,3.993229
-0.02778,13,4.016163
-3.748134,30,4.072149
-3.74318,26,4.118404
-3.49119,25,4.166301
-2.632015,17,4.197194
-3.597386,29,4.249585
-3.162002,26,4.297433
-3.391633,24,4.341316
-3.341813,23,4.382206
-3.585456,25,4.428702
-3.010195,24,4.47059
-64.379577,195,4.815223
-3.304525,23,4.856133
-3.39836,25,4.899992
-3.198056,21,4.936423
-2.578289,19,4.970333
-3.306098,24,5.012221
-4.037405,33,5.071626
-4.204036,37,5.135455
-10.790983,71,5.260157
-3.17405,23,5.302042
-3.776288,29,5.355154
-3.77124,27,5.403025
-3.568906,27,5.4499
-3.532961,25,6.466567
-3.445552,27,6.52142
-2.434025,15,6.552363
-3.672687,25,6.602636
-3.793788,27,6.653996
-3.587287,25,6.698875
-2.683792,17,6.729793
-2.715177,21,6.767005
-2.741835,18,6.798948
-3.657136,27,6.847792
-2.968195,23,6.888708
-0.176027,16,6.918601
-3.714748,29,6.972949
-3.435551,24,7.014838
-2.729162,20,7.052383
-2.980246,24,7.094247
-3.57805,33,7.154086
-3.511648,26,7.203953
-4.146016,40,7.274111
-3.730301,27,7.32298
-3.720001,28,7.372846
-4.02033,31,7.428698
-3.080505,21,7.465823
-2.89592,20,7.500733
-3.759312,26,7.54634
-3.03466,21,7.586206
-2.736024,18,7.618145
-3.09083,21,7.655644
-3.685568,26,7.701522
-3.418297,25,7.745236
-3.678831,26,7.790115
-3.633781,25,7.833999
-2.688264,20,7.87041
-3.343607,22,7.908308
-3.194093,24,7.951193
-23.274439,106,8.137021
-2.863007,20,8.173898
-2.536196,20,8.209309
-3.431919,23,8.250235
-3.725764,30,8.303092
-3.136458,22,8.340955
-0.024853,13,8.363918
-3.038275,23,8.405965
-3.108565,24,8.451381
-2.820684,24,8.49478
-2.971169,20,8.531707
-20.295162,66,8.648999
-3.072708,22,8.688111
-7.025362,62,8.79887
-4.072409,38,8.866038
-3.607941,25,8.911915
-2.900547,19,8.946638
-3.011688,22,8.985533
-0.620937,18,9.017448
-3.672243,27,9.066889
-3.682264,25,9.111573
-3.733579,27,9.160436
-2.357976,17,9.190355
-2.776432,20,9.22726
-3.361038,30,9.279211
-2.546478,19,9.31312
-2.840373,21,9.35105
-3.40378,23,9.39194
-14.558249,80,9.532372
-4.260876,34,9.592213
-3.184954,22,9.632105
-2.147754,16,9.661772
-3.241612,23,9.702405
-3.835575,39,9.773775
0.115083,11,9.793993
-89.830594,137,10.041311
-2.838047,19,10.076702
-3.206444,25,10.121583
-2.451598,20,11.077242
-10.386516,95,11.265769
-3.060301,20,11.301674
-2.755241,21,11.338783
-3.778764,36,11.402613
-3.258882,22,11.444431
-2.626104,18,11.476345
-3.226464,22,11.517236
-2.870764,20,11.553142
-3.784189,35,11.615371
-3.512645,29,11.666931
-2.967759,21,11.703832
-4.887964,47,11.787231
-3.229861,22,11.82549
-3.495266,24,11.869371
-3.773851,26,11.915276
-3.050517,21,11.952178
-2.90926,21,11.99008
-3.28013,22,12.028982
-3.204407,25,12.074938
-2.864421,25,12.120816
-6.09484,64,12.233517
-2.526088,19,12.267529
-3.166661,22,12.307423
-3.35706,23,12.346948
-3.031454,21,12.384822
-3.153708,22,12.422721
-3.413898,26,12.468676
-3.606879,25,12.513556
-3.347751,23,12.554422
-2.928044,20,12.589836
-2.686689,17,12.619756
-3.386976,25,12.664669
-3.279539,28,12.714507
-2.725892,22,12.753403
-3.075596,20,12.787587
-3.606182,25,12.831495
-3.592693,27,12.879343
-3.441351,23,12.920259
-3.763694,29,12.971097
-3.258855,23,13.011987
-3.381702,23,13.053875
-3.633338,28,13.103743
-3.638739,28,13.152617
-4.237472,31,13.20741
-3.122712,22,13.246306
-3.538819,25,13.291186
-3.117466,22,13.331079
-3.354762,25,13.374962
-3.437148,23,13.415366
-2.920159,20,13.450274
-3.120471,22,13.48917
-3.10743,22,13.52807
-3.377593,23,13.570958
-2.983215,21,13.609855
-3.263119,22,13.650099
-2.914496,19,13.685005
-2.484221,18,13.717918
-3.333362,23,13.758431
-3.014968,27,13.805541
-3.166456,29,13.857825
-3.559149,26,13.905237
-3.434903,27,13.952194
-3.781012,32,14.008045
-3.223486,22,14.048111
-3.134243,25,14.09299
-3.46731,28,14.141864
-2.521367,17,14.171349
-3.274035,22,14.211218
-3.27885,23,14.250784
-3.480115,23,14.291676
-3.417233,23,14.33359
-3.181129,22,14.372496
-2.786872,19,14.405435
-3.754908,27,14.453279
-3.388497,25,14.501174
-3.243725,24,14.543547
-2.576161,17,14.575462
-2.072741,36,14.650772
-3.397293,26,14.698471
-3.562592,25,15.997037
-3.330379,26,16.069286
-2.633829,18,16.111174
-3.041348,22,16.157053
-3.603103,25,16.20692
-3.063524,23,16.251801
-3.223667,22,16.298566
-2.951802,21,16.342448
-2.802732,19,16.390321
-3.136911,22,16.457692
-2.448004,19,16.501575
-2.240151,15,16.532492
-2.861013,20,16.575378
-3.062871,20,16.614272
-3.794775,33,16.681609
-2.494546,15,16.710532
-60.720479,186,17.070928
-3.524029,27,17.121394
-2.750205,18,17.16129
-7.390461,62,17.281996
-2.750988,18,17.315934
-2.516529,18,17.351294
-2.72453,18,17.386165
-3.146582,24,17.441164
-2.630604,22,17.483053
-3.185859,22,17.52494
-3.310004,34,17.588635
-3.322035,25,17.635227
-2.820184,18,17.677116
0.173403,11,17.699082
-2.895425,19,17.733964
-3.115208,28,17.787821
-5.376074,58,17.895104
-3.591384,26,17.951955
-3.660997,33,18.01359
-3.135428,21,18.053483
-2.949022,19,18.089476
-3.634555,33,18.150316
-3.402222,23,18.202207
-3.554789,24,18.248084
-3.883107,30,18.303943
-3.621448,25,18.351815
-3.187322,25,18.399687
-3.027937,26,18.456535
-3.154695,22,18.498928
-3.142283,21,18.538417
-3.039487,23,18.581302
-2.579565,17,18.612578
-3.607832,31,18.671451
-3.08502,30,18.728271
-3.37541,25,18.778137
-3.664505,29,18.837003
-2.333173,15,18.867895
-0.902606,21,18.908813
-3.434107,27,18.967251
-2.536055,22,19.007146
-3.389148,25,19.056039
-2.905039,19,19.091919
-2.645444,21,19.13281
-2.389026,15,19.161733
-3.977072,34,19.23155
-2.933487,19,19.267477
-2.652857,19,19.302361
-2.837514,18,19.336272
-3.277061,29,19.39013
0.003951,13,19.414566
-2.262319,15,19.448438
-1.904937,12,19.47038
-2.857679,23,19.513265
-3.200967,22,19.554262
-2.696016,17,19.586173
-2.661307,20,19.625359
-3.213963,22,19.665486
-2.967233,22,19.716396
-2.344249,16,19.746316
-2.885138,21,19.787206
-2.380335,15,19.815247
-3.036176,22,19.858132
-3.513123,26,19.904502
-2.955374,26,19.959386
-2.574606,16,19.98831
-3.5578,27,20.039723
-2.34441,17,21.058046
-2.935682,23,21.103923
-2.930732,19,21.145811
-3.284591,27,21.208644
-2.863428,20,21.256027
-2.747704,19,21.291932
-2.517542,16,21.32584
-3.038784,22,21.366731
-2.605782,19,21.40366
-2.748505,18,21.451355
-3.066531,20,21.492245
-2.529614,16,21.523164
-2.456824,20,21.56206
-2.964114,19,21.596966
-2.756242,24,21.639852
-2.928989,22,21.686725
-3.329227,22,21.725622
-2.773618,20,21.763112
-3.370508,24,21.805999
-3.312929,22,21.846888
-2.73845,19,21.882793
-2.830293,18,21.915704
-3.455135,23,21.964575
-2.711481,18,21.997038
-2.645718,17,22.027933
-2.77005,18,22.064835
-3.226525,22,22.106722
-2.998163,21,22.144901
-4.117874,34,22.219042
-3.400753,23,22.263921
-3.806305,30,22.318774
-2.923979,19,22.354678
-2.801263,19,22.38974
-3.438558,25,22.443598
-2.835885,19,22.478829
-3.061264,21,22.518722
-9.271646,83,22.667698
-2.495045,18,22.711216
-3.075437,20,22.748117
-3.849686,32,22.805503
-3.146012,21,22.842403
-3.536673,24,22.885377
-3.667861,26,22.939231
-2.707649,17,22.969925
-2.511972,17,23.001529
-2.703389,19,23.034893
-2.885327,21,23.073789
-2.724769,17,23.111073
-2.146383,15,23.14598
-3.524761,25,23.200834
-2.740052,20,23.237737
-2.471599,15,23.26669
-2.992395,24,23.312567
-3.166824,22,23.353458
-3.196871,24,23.399138
-3.038948,22,23.448008
-2.610429,16,23.477932
-3.358129,24,23.521814
-3.232045,27,23.571219
-3.42551,24,23.616131
-3.401112,25,23.659981
-2.964349,22,23.70885
-3.144683,22,23.747776
-3.134684,21,23.785674
-2.09538,14,23.811815
-2.461991,21,23.848692
-2.922988,20,23.884106
-3.322313,22,23.932899
-3.023291,21,23.975789
-3.171996,21,24.016679
-2.160782,14,24.042637
-2.940178,23,24.08597
-2.960558,22,24.124866
-3.649048,25,24.169745
-2.80478,18,24.207645
-2.370161,18,24.239558
-3.483154,26,24.285437
-2.609247,16,24.31539
-2.652613,22,24.354287
-3.192131,23,24.395347
-3.22541,21,24.44116
-3.053933,20,24.479058
-3.129561,24,24.521944
-2.841263,18,24.554855
-2.717552,18,24.586771
-3.552088,32,24.645613
-2.81901,20,24.690497
-2.869029,19,24.728397
-3.032186,22,24.770284
-2.941368,21,24.811168
-3.276773,25,24.857045
-3.22162,21,24.894944
-3.207109,25,24.946805
-2.83847,18,24.979717
-2.879726,22,26.098782
-3.203869,22,26.159059
-2.718488,17,26.211916
-2.626674,19,26.263778
-2.964103,20,26.31307
-3.49824,34,26.392862
-2.916884,19,26.431757
-2.619765,19,26.469656
-2.743196,23,26.520042
-2.635104,17,26.552953
-3.992836,41,26.637969
-2.71902,23,26.690827
-2.507833,15,26.724735
-2.01003,13,26.757648
-2.97058,19,26.80107
-2.767843,18,26.841962
-2.289916,16,26.87787
-2.080454,14,26.914771
-2.108859,15,26.949677
-2.551505,16,26.993212
-2.318652,18,27.029116
-2.830259,20,27.069009
