#{"t_start": 1686116571.4762125, "env_id": null}
r,l,t
-0.9964,37,5.117108
-0.9984,17,5.147028
-0.9978,23,5.187424
-0.9982,19,5.221333
-0.9986,15,5.248207
-0.9674,327,5.856322
-0.9976,25,5.899235
-0.9978,23,5.941096
-0.9976,25,5.984189
-0.9968,33,6.042012
-0.9982,19,6.076113
-0.9977,24,6.118
-0.9981,20,6.153934
-0.9984,17,6.184061
-0.9983,18,6.21597
-0.9975,26,6.26159
-0.9972,29,6.313896
-0.9968,33,6.370806
-0.9975,26,6.416662
-0.9978,23,6.460545
-0.9986,15,6.48847
-0.9943,58,6.594963
-0.9977,24,6.63785
-0.9965,36,6.70068
-0.9978,23,6.740573
-0.9978,23,6.780237
-0.9978,23,6.822126
-0.9978,23,6.862019
-0.9979,22,6.901913
-0.9985,16,6.929837
-0.998,21,6.967492
-0.9985,16,6.995418
-0.9981,20,7.030325
-0.998,21,7.068255
-0.9976,25,7.113135
-0.9971,30,7.168518
-0.9976,25,7.213398
-0.9922,79,7.350033
-0.998,21,7.385936
-0.9978,23,7.42583
-0.9981,20,7.461332
-0.9917,84,7.608279
-0.9976,25,7.652186
-0.9972,29,7.702193
-0.9969,32,7.758241
-0.9843,158,8.030672
-0.9975,26,8.077549
-0.9978,23,8.117441
-0.9968,33,8.175798
-0.9962,39,8.245581
-0.9954,47,8.32636
-0.9973,28,8.375758
-0.9977,24,8.417646
-0.9984,17,8.447603
-0.9951,50,8.53437
-0.9976,25,8.580218
-0.998,21,8.617119
-0.998,21,8.65402
-0.9961,40,8.91587
-0.9981,20,8.958754
-0.997,31,9.021588
-0.9966,35,9.08933
-0.9976,25,9.133212
-0.998,21,9.175101
-0.998,21,9.21502
-0.9968,33,9.271871
-0.9903,98,9.44541
-0.9951,50,9.535548
-0.989,111,9.726493
-0.9982,19,9.76024
-0.9979,22,9.799135
-0.9978,23,9.839032
-0.9974,27,9.885732
-0.9976,25,9.931609
-0.9974,27,9.978485
-0.9977,24,10.021369
-0.998,21,10.057866
-0.9932,69,10.180837
-0.9982,19,10.216367
-0.9979,22,10.255265
-0.9962,39,10.322617
-0.9976,25,10.366903
-0.9975,26,10.411879
-0.9973,28,10.460907
-0.9973,28,10.509807
-0.9975,26,10.558701
-0.9943,58,10.664397
-0.9972,29,10.718453
-0.9975,26,10.765333
-0.9975,26,10.813092
-0.9741,260,11.291892
-0.9974,27,11.340762
-0.9978,23,11.384645
-0.998,21,11.423541
-0.998,21,11.460865
-0.9973,28,11.510732
-0.9981,20,11.545639
-0.9972,29,11.5975
-0.9974,27,11.645708
-0.9963,38,11.714046
-0.9951,50,11.886108
-0.9678,323,12.620476
-0.9983,18,12.654364
-0.9981,20,12.691266
-0.9979,22,12.735167
-0.9986,15,12.766191
-0.9974,27,12.820653
-0.9969,32,13.086818
-0.9977,24,13.13868
-0.9973,28,13.200515
-0.9975,26,13.255164
-0.9977,24,13.303036
-0.9976,25,13.347505
-0.9249,752,14.738575
-0.9988,13,14.762511
-0.9983,18,14.794537
-0.9545,456,15.590113
-0.9654,347,16.189881
-0.9982,19,16.222792
-0.9981,20,16.257699
-0.9972,29,16.307565
-0.9692,309,17.051864
-0.9983,18,17.088115
-0.9823,178,17.407456
-0.9976,25,17.451845
-0.9977,24,17.493764
-0.997,31,17.548439
-0.9979,22,17.587338
-0.9965,36,17.649172
-0.9981,20,17.685076
-0.9708,293,18.193101
-0.9313,688,19.382497
-0.9975,26,19.428345
-0.9202,799,21.01885
-0.9647,354,21.635051
-0.8964,1037,23.691472
-0.9574,427,24.46984
-0.9978,23,24.510731
-0.9962,39,24.774538
-0.9762,239,25.252143
-0.9981,20,25.287168
-0.9888,113,25.485086
-0.9968,33,25.543929
-0.9847,154,25.823896
-0.9969,32,25.88274
-0.9933,68,26.003617
-0.9982,19,26.036529
-0.9793,208,26.427358
-0.911,891,28.297307
-0.9952,49,28.392058
-0.9073,928,30.252014
-0.9963,38,30.317362
-0.991,91,30.476631
-0.9639,362,31.11962
-0.8814,1187,33.452866
-0.9803,198,33.796354
-0.9675,326,34.362491
-0.9975,26,34.407634
-0.9888,113,34.602667
-0.9767,234,35.024504
-0.9929,72,35.155103
-0.9843,158,35.445266
-0.9816,185,35.783346
-0.9975,26,35.832187
-0.9881,120,36.056082
-0.9406,595,37.338318
-0.978,221,37.721267
-0.964,361,38.378334
-0.9685,316,38.966256
-0.8555,1446,41.778431
-0.9949,52,41.869407
-0.9982,19,41.903317
-0.9435,566,42.916018
-0.998,21,42.956336
-0.9881,120,43.171077
-0.9953,48,43.253467
-0.9327,674,44.695632
-0.9208,793,46.110736
-0.9805,196,46.460413
-0.9774,227,46.856235
-0.9404,597,47.90931
-0.9436,565,49.148352
-0.942,581,50.17204
-0.9457,544,51.134546
-0.902,981,53.280381
-0.9921,80,53.447217
-0.9638,363,54.207946
-0.9588,413,55.053553
-0.9844,157,55.37016
-0.977,231,55.863206
-0.9941,60,55.988875
-0.8571,1430,59.095558
-0.9896,105,59.321877
-0.9571,430,60.166187
-0.9079,922,61.973192
-0.97,301,62.49333
-0.9771,230,62.891917
-0.9804,197,63.230672
-0.8942,1059,65.281315
-0.9028,973,67.001578
-0.9695,306,67.533535
-0.9794,207,67.89457
-0.9718,283,68.60452
-0.9974,27,68.657377
-0.9639,362,69.289584
-0.9922,79,69.428899
-0.9981,20,69.464829
-0.9147,854,70.958618
-0.958,421,71.683029
-0.978,221,72.067063
-0.9842,159,72.550927
-0.9941,60,72.65564
-0.9394,607,73.709568
-0.9162,839,75.170108
-0.9651,350,75.776212
-0.9538,463,76.794046
-0.9892,109,76.983542
-0.9544,457,77.774515
-0.9922,79,77.912923
-0.9348,653,79.038399
-0.9917,84,79.183053
-0.9336,665,80.548993
-0.9711,290,81.096574
-0.9885,116,81.298641
-0.9083,918,82.94289
-0.9988,13,82.967851
-0.9453,548,84.162387
-0.8733,1268,86.572151
-0.9754,247,87.07899
-0.9904,97,87.289426
-0.9896,105,87.509531
-0.9126,875,89.586074
-0.9671,330,90.302866
-0.9708,293,90.920528
-0.9351,650,92.46882
-0.8427,1574,95.934391
-0.9335,666,97.545945
-0.9045,956,99.543611
-0.9853,148,99.854156
-0.952,481,100.890698
-0.9293,708,102.727288
-0.9932,69,102.87241
-0.8924,1077,104.885619
-0.9249,752,106.50754
