#{"t_start": 1686126813.4896927, "env_id": null}
r,l,t
0.766075,10,1.79324
0.766495,9,1.81219
0.805319,8,1.828243
-1.740059,19,1.862152
-1.810052,19,1.89558
0.816442,8,1.91054
0.809632,8,1.925048
0.809866,8,1.93901
0.831104,7,1.951976
0.822724,8,1.966936
-1.739978,17,1.995859
0.824182,8,2.010818
0.801062,8,2.025803
0.813937,8,2.040739
0.843797,7,2.052706
0.805955,8,2.067667
0.816154,8,2.082627
0.831563,7,2.095593
0.871908,6,2.108585
0.844543,7,2.121551
-1.797791,17,2.157427
0.827505,7,2.170061
0.836363,7,2.183022
0.851971,7,2.195986
0.854625,7,2.208951
0.82755,7,2.221917
0.857167,7,2.233885
0.873498,6,2.245852
0.838161,7,2.258817
0.861382,6,2.270401
0.84993,7,2.282368
0.842214,7,2.295334
0.854625,7,2.308299
0.836961,7,2.321265
0.836642,7,2.333233
0.836331,7,2.346199
0.861346,6,2.35919
0.854529,6,2.370133
0.857038,7,2.383123
0.861928,6,2.394635
0.862119,6,2.406604
-1.703663,15,2.432534
0.872246,6,2.443504
0.84973,7,2.45647
0.861449,6,2.468439
0.87741,6,2.479749
0.852091,6,2.49072
0.874305,6,2.50169
0.884058,6,2.512692
0.850699,6,2.524628
0.839704,7,2.537595
0.877544,6,2.548565
0.878332,6,2.559536
0.872568,6,2.570507
0.863767,6,2.581477
-1.688566,15,2.608405
0.836254,7,2.621371
0.838783,7,2.634336
0.864723,6,2.646303
0.862795,6,2.658272
0.863963,6,2.67024
0.843987,7,2.682208
0.869742,6,2.693235
0.859752,7,2.706201
-1.738949,16,2.734127
0.834689,7,2.74709
0.867571,6,2.758062
0.868028,6,2.769033
-1.81801,16,2.79898
0.837853,7,2.81095
0.838695,7,2.823885
0.871889,6,2.834857
0.877426,6,2.845827
0.876078,6,2.856798
0.853773,6,2.868766
0.860831,6,2.879736
0.857327,6,2.890707
-1.72599,15,2.916244
0.843063,7,2.929209
0.879865,6,2.94018
0.85415,6,2.95115
0.870792,6,2.962122
0.873963,6,2.973093
0.853885,6,2.984062
0.865163,6,2.999022
0.873338,6,3.011987
0.849414,6,3.023956
0.872986,6,3.034959
0.877486,6,3.046328
0.874095,6,3.05866
0.873919,6,3.069623
0.864401,6,3.081561
0.870021,6,3.093096
0.877666,6,3.104415
0.855053,6,3.116239
0.863916,6,3.127684
0.875723,6,3.138767
0.850947,6,3.150764
0.861465,6,3.162017
0.852312,6,3.173737
0.864121,6,3.185754
-1.67424,15,3.212801
0.830683,7,3.22718
0.857794,7,3.240751
0.841297,7,3.253826
0.845518,7,3.266792
0.835608,7,3.27876
0.850506,7,3.292722
0.842707,7,3.306685
0.852807,7,3.318681
0.855769,7,3.331619
0.825587,7,3.344585
-1.698645,16,3.375502
0.815123,8,3.39049
0.776462,9,3.407416
0.762835,9,3.423373
0.783,9,3.441325
0.780144,9,3.45828
0.827311,8,3.473239
0.793851,8,3.488199
0.79562,8,3.50316
0.832273,8,3.518119
0.807275,8,3.53308
0.822242,7,3.546045
0.856893,7,3.558041
0.869429,6,3.56998
0.849521,7,3.583944
0.853871,6,3.594914
0.875885,6,3.605885
0.882276,6,3.616855
0.838427,7,3.629841
0.857307,6,3.642787
0.856338,6,3.654754
0.856569,6,3.666722
-1.729554,15,3.695646
-1.779973,16,3.726563
0.836286,7,3.739528
0.832746,7,3.75349
0.862866,7,3.766457
0.87647,6,3.778423
0.873535,6,3.792418
0.822803,7,3.807347
0.847145,7,3.820311
0.852872,7,3.834275
0.867653,6,3.847264
0.870845,6,3.859208
-1.807086,17,3.89212
0.801627,8,3.907079
0.829642,7,3.921042
0.812744,8,3.937
0.804246,8,3.952957
0.822324,7,3.965922
0.85744,7,3.978887
0.813755,8,3.993848
0.842312,7,4.007269
-1.765319,17,4.038187
0.851713,7,4.050154
0.849101,7,4.06312
0.867339,6,4.07409
0.829379,7,4.08808
0.836943,7,4.10059
0.864639,6,4.111562
0.834148,7,4.124525
0.850147,7,4.136493
0.87166,6,4.147464
0.856969,6,4.159431
-1.736452,16,4.187358
0.872287,6,4.198328
0.860072,6,4.209387
0.851018,6,4.221354
0.866701,6,4.233323
0.884154,6,4.244294
0.865777,6,4.255265
0.881176,6,4.266235
0.872425,6,4.277205
0.875088,6,4.288567
0.867053,6,4.300502
-1.763086,15,4.32743
0.871847,6,4.338401
0.837742,7,4.350369
0.839836,7,4.364361
0.823306,7,4.377297
0.837888,7,4.389266
0.851831,7,4.402231
0.847142,7,4.415195
0.870727,6,4.426167
0.872371,6,4.438134
0.880254,6,4.449104
0.863759,6,4.460075
0.852869,6,4.472044
0.864621,6,4.482548
0.849831,6,4.493518
0.878433,6,4.504488
0.87041,6,4.515459
0.875963,6,4.52643
0.837194,7,4.539423
0.842324,7,4.551389
0.839748,7,4.564329
0.870603,6,4.575299
0.879555,6,4.586785
0.875458,6,4.597756
0.86324,6,4.608726
0.849374,6,4.619697
0.855437,6,4.631687
0.861689,6,4.642635
0.8745,6,4.653607
0.852486,6,4.664577
0.872683,6,4.675547
0.8408,7,4.688545
0.866903,6,4.699517
-1.744481,15,4.725447
0.872996,6,4.736418
0.84446,7,4.749407
0.859109,7,4.762347
0.843005,7,4.775313
0.859535,7,4.788279
0.84308,7,4.801562
0.847169,7,4.813497
0.858619,6,4.82544
0.835747,7,4.837408
0.85795,6,4.849404
0.88463,6,4.860347
0.850483,6,4.871319
0.885264,6,4.88203
0.8673,6,4.893001
0.881093,6,4.902975
0.885442,6,4.913945
0.857157,6,4.927909
0.861162,6,4.939904
0.85953,6,4.950847
0.887776,6,4.961845
-1.789399,15,4.988154
0.874748,6,4.999096
0.866555,6,5.011064
0.846245,6,5.022035
0.848975,7,5.034003
0.874494,6,5.044973
0.857767,6,5.056942
-1.794912,16,5.084891
-1.781861,16,5.112792
0.870272,6,5.12476
0.847742,7,5.136728
0.850474,7,5.148696
0.863947,6,5.159667
0.834198,7,5.172632
0.870851,6,5.183602
0.843078,7,5.1966
0.864541,6,5.207538
0.849145,7,5.220585
0.845913,7,5.232553
0.868991,6,5.243525
0.837291,7,5.257487
0.848958,7,5.269455
0.830281,7,5.28242
0.82442,7,5.295385
0.835998,7,5.307353
0.844587,7,5.320319
0.871357,6,5.331289
0.826125,7,5.343807
0.83532,7,5.356771
0.874343,6,5.367742
0.856611,6,5.378713
0.87284,6,5.389684
0.862582,6,5.400654
-1.780716,16,5.429577
0.849956,7,5.442566
0.840561,7,5.454509
0.861341,7,5.467475
