#{"t_start": 1686117437.4743762, "env_id": null}
r,l,t
0.987337,3,1.861924
0.987468,3,1.868905
0.987616,3,1.875887
0.987591,3,1.881871
0.987541,3,1.887854
0.987641,3,1.893839
0.987617,3,1.898826
0.987165,3,1.914783
0.987018,3,1.921764
0.987003,3,1.927747
0.986878,3,1.933732
0.986913,3,1.939716
0.986898,3,1.9457
0.981278,4,1.953679
0.975089,5,1.962655
0.980357,4,1.970634
0.968322,6,1.981604
0.960922,7,1.99457
0.973967,5,2.003545
0.980231,4,2.011524
0.973918,5,2.022495
0.97395,5,2.031472
0.980615,4,2.03945
0.981281,4,2.047428
0.981349,4,2.05441
0.981727,4,2.062387
0.974809,5,2.071883
0.968344,6,2.082854
0.962284,7,2.095819
0.967918,6,2.10679
0.973559,5,2.117761
0.975089,5,2.126737
0.980921,4,2.134125
0.974273,5,2.143101
0.975121,5,2.152077
0.97474,5,2.16205
0.974997,5,2.171029
0.973576,5,2.181002
0.975096,5,2.189978
0.974788,5,2.198953
0.980502,4,2.206057
0.980413,4,2.214036
0.967999,6,2.225006
0.968165,6,2.236315
0.960878,7,2.24928
0.967498,6,2.2606
0.954536,8,2.276578
0.954877,8,2.290541
0.961341,7,2.303506
0.906867,15,2.331434
0.96061,7,2.3444
0.961308,7,2.357365
0.905166,15,2.384317
0.967927,6,2.395263
0.980208,4,2.403144
0.975007,5,2.412096
0.980259,4,2.419076
0.98041,4,2.427551
0.973631,5,2.436796
0.980362,4,2.444774
0.980732,4,2.452753
0.96805,6,2.463724
0.968367,6,2.474154
0.97379,5,2.483129
0.974777,5,2.492105
0.974852,5,2.501081
0.974076,5,2.510058
0.975015,5,2.521028
0.980724,4,2.529007
0.974989,5,2.537983
0.980457,4,2.544965
0.980803,4,2.552943
0.975084,5,2.561708
0.974613,5,2.570684
0.97454,5,2.580657
0.968794,6,2.590631
0.953391,8,2.605591
0.889321,19,2.6395
0.948135,9,2.656455
0.974308,5,2.665963
0.973827,5,2.674939
0.96864,6,2.68591
0.974244,5,2.694885
0.96843,6,2.705856
0.968674,6,2.717824
0.96762,6,2.728795
0.961879,7,2.741697
0.931918,11,2.761616
0.922691,13,2.786584
0.939673,10,2.805533
0.96026,7,2.818498
0.974381,5,2.827502
0.960918,7,2.8412
0.967193,6,2.852171
0.974624,5,2.862144
0.98068,4,2.870122
0.981367,4,2.877104
0.981529,4,2.884692
0.981846,4,2.891889
0.981455,4,2.898869
