#{"t_start": 1686145505.2398946, "env_id": null}
r,l,t
-1.299914,12,1.792631
-1.575376,16,1.818562
-1.901085,25,1.854465
-1.883375,22,1.887907
-1.89102,23,1.96523
-1.747349,28,2.023605
-1.837396,23,2.356348
0.764,10,2.606705
-1.914086,26,2.806678
-1.915466,23,3.106974
-1.900343,25,3.408486
-1.918054,24,3.752079
-1.885194,21,4.086894
-1.903688,22,4.347131
-1.888754,24,4.608433
-1.912638,22,4.885736
-1.904124,22,5.187961
-1.895127,22,5.46473
-1.887502,25,5.734607
-1.892807,23,6.032043
-1.91834,25,6.359321
-1.908809,23,6.646991
-1.898923,23,6.937233
-1.92219,25,7.217411
-1.921898,25,7.561505
-1.872597,21,7.884895
-1.893091,24,8.141819
-1.892047,25,8.424053
-1.893869,22,8.755796
-1.918493,24,9.034635
-1.906857,23,9.339375
-1.878531,22,9.616862
-1.906253,24,9.927037
-1.901791,22,10.20394
-1.89506,22,10.473586
-1.904173,22,10.744203
-1.906711,24,11.05503
-1.908817,23,11.355253
-1.907568,24,11.644414
-1.918969,24,11.959519
-1.888651,23,12.297645
-1.889351,23,12.602463
-1.886116,24,12.910951
-1.913478,23,13.224137
-1.887948,23,13.577268
-1.9023,25,13.895235
-1.892767,22,14.257658
-1.912962,25,14.568471
-1.875115,25,14.946112
-1.872087,21,15.276729
-1.910081,22,15.56293
-1.895383,25,15.851195
-1.902845,25,16.208151
-1.887677,24,16.534825
-1.889829,23,16.839361
-1.913424,24,17.15636
-1.870726,21,17.47732
-1.905261,22,17.742326
-1.894363,24,18.017032
-1.907784,24,18.327047
-1.909496,24,18.677386
-1.877363,22,18.97038
-1.907494,25,19.266164
-1.913518,25,19.589279
-1.903875,25,19.959397
-1.873208,21,20.277361
-1.89282,24,20.546882
-1.914109,25,20.857624
-1.905833,25,21.215265
-1.896326,22,21.558354
-1.87215,21,21.860657
-1.914737,25,22.14464
-1.896344,25,22.519184
-1.907475,25,22.840904
-1.899366,22,23.1581
-1.900713,23,23.464293
-1.881757,22,23.792304
-1.886474,25,24.084552
-1.895129,22,24.412676
-1.891865,25,24.693948
-1.901153,22,25.033068
-1.903298,24,25.33463
-1.898234,24,25.642905
-1.873165,21,25.948117
-1.912845,23,26.262841
-1.912713,24,26.594355
-1.878643,21,26.908597
-1.907121,24,27.214241
-1.886272,24,27.588192
-1.900025,24,27.918852
-1.891114,24,28.223068
-1.897127,23,28.531404
-1.897249,24,28.860189
-1.888491,25,29.185116
-1.881988,22,29.519613
-1.88763,23,29.819603
-1.886173,24,30.176045
-1.874348,21,30.498256
-1.88852,23,30.787294
-1.886014,22,31.098077
-1.886013,23,31.447022
-1.88693,22,31.753763
-1.879184,21,32.046992
-1.91903,25,32.332319
-1.884383,23,32.728277
-1.912169,24,33.039017
-1.91552,23,33.376281
-1.899435,25,33.684022
-1.902803,24,34.04133
-1.911517,25,34.35705
-1.905651,25,34.705625
-1.873495,21,35.061677
-1.880778,23,35.367859
-1.897099,24,35.694296
-1.904875,22,36.013982
-1.871938,21,36.31007
-1.891708,22,36.616155
-1.869996,21,36.907941
-1.898617,25,37.182318
-1.875434,21,37.526397
-1.903399,22,37.858479
-1.907164,25,38.167976
-1.87602,22,38.504898
-1.883871,22,38.800514
-1.901694,25,39.123434
-1.888797,25,39.45816
-1.892289,23,39.781618
-1.912977,23,40.093398
-1.903389,25,40.447502
-1.871545,25,40.787105
-1.87405,21,41.125918
-1.875466,22,41.407331
-1.880759,22,41.751403
-1.888499,22,42.03925
-1.898096,24,42.335203
-1.888887,23,42.644202
-1.88436,22,42.984308
-1.899574,22,43.292302
-1.898818,25,43.61227
-1.873477,25,43.981929
-1.880092,25,44.338719
-1.876593,21,44.652121
-1.911111,24,44.931151
-1.887089,24,45.261195
-1.898024,25,45.624213
-1.88597,25,45.959165
-1.918407,24,46.309081
-1.879556,21,46.631364
-1.907096,23,46.935243
-1.906675,22,47.231171
-1.879021,21,47.527955
-1.895687,22,47.835667
-1.880202,25,48.157807
-1.908019,22,48.487536
-1.906401,24,48.779169
-1.889925,22,49.090017
-1.899481,25,49.42357
-1.899313,24,49.767715
-1.900989,25,50.096251
-1.895627,22,50.436962
-1.880154,22,50.758689
-1.921986,25,51.058887
-1.884524,22,51.393154
-1.890993,23,51.750764
-1.89785,25,52.110625
-1.891042,23,52.439338
-1.882545,22,52.758586
-1.890896,25,53.071747
-1.883207,23,53.455127
-1.891184,22,53.764451
-1.906505,24,54.056295
-1.868069,25,54.368407
-1.88688,23,54.728971
-1.911169,25,55.041651
-1.883877,23,55.373917
-1.90758,24,55.686343
-1.908728,23,56.052515
-1.910929,23,56.358162
-1.90529,25,56.695242
-1.904377,22,57.012204
-1.897735,23,57.350049
-1.875805,21,57.682711
-1.880583,22,57.982003
-1.916471,24,58.299304
-1.911079,23,58.642488
-1.922463,25,58.951136
-1.909641,25,59.293934
-1.875145,25,59.635681
-1.918,24,60.00042
-1.890337,22,60.318182
-1.898581,23,60.611934
-1.872243,21,60.915033
-1.900295,25,61.220265
-1.887058,24,61.563183
-1.904534,25,61.886863
-1.885168,21,62.218024
-1.900448,22,62.538696
-1.90029,22,62.820736
-1.909217,25,63.134087
-1.87854,25,63.498101
-1.901054,25,63.903632
-1.891465,23,64.231301
-1.908943,22,64.544573
-1.916053,23,64.838016
-1.889873,23,65.188916
-1.887043,24,65.502872
-1.895232,22,65.832952
-1.896519,24,66.128286
-1.883666,21,66.48449
-1.885287,23,66.787858
-1.909215,25,67.110011
-1.891054,25,67.445656
-1.887624,23,67.807971
-1.912523,25,68.115286
-1.881679,22,68.533333
-1.890129,24,68.845947
-1.884271,22,69.185087
-1.916522,23,69.489597
-1.886285,23,69.804371
-1.880707,21,70.118586
-1.875371,22,70.451433
-1.881394,25,70.745662
-1.874241,21,71.06483
-1.896643,25,71.335618
-1.910774,23,71.682519
-1.918584,25,72.007442
-1.882464,25,72.334698
-1.897143,22,72.651445
-1.890853,22,72.978622
-1.899752,22,73.273943
-1.896956,25,73.595682
-1.897387,24,73.919817
-1.893296,24,74.270462
-1.889308,23,74.588611
-1.884094,21,74.894658
-1.891753,22,75.178969
-1.902784,25,75.498123
-1.911131,23,75.846117
-1.90008,22,76.150953
-1.91509,24,76.446736
-1.9204,25,76.786143
-1.912273,23,77.116774
-1.903309,23,77.427691
-1.916483,24,77.747803
-1.885733,21,78.102966
-1.888925,24,78.406794
-1.893411,22,78.738002
-1.906506,24,79.032328
-1.910299,23,79.380738
-1.897764,23,79.685005
-1.882246,25,80.003712
-1.914627,23,80.340815
-1.8888,24,80.684483
-1.880504,22,81.002745
-1.880006,21,81.280032
-1.879001,22,81.58202
-1.88348,23,81.910651
-1.890373,25,82.231964
-1.88208,21,82.568691
-1.87908,21,82.858474
-1.916481,25,83.202436
-1.883854,22,83.54554
-1.897683,24,83.852734
-1.906931,23,84.165898
-1.921901,25,84.512115
-1.900046,24,84.83326
-1.892098,23,85.133463
-1.902266,25,85.44463
-1.886871,24,85.792663
-1.893199,24,86.117666
-1.90286,22,86.447352
-1.903917,22,86.76669
-1.899252,25,87.137704
-1.901747,22,87.480846
-1.889779,24,87.786599
-1.908905,22,88.107774
-1.879514,22,88.451754
-1.897858,24,88.752538
-1.918936,24,89.087656
-1.886511,25,89.417186
-1.909974,23,89.784414
-1.881127,21,90.083657
-1.913956,23,90.387575
-1.876134,21,90.707769
-1.896235,25,91.020383
-1.869917,21,91.357828
-1.867694,25,91.645324
-1.909904,25,91.990498
-1.908327,25,92.366101
-1.887927,22,92.692412
-1.877731,22,92.991286
-1.888163,21,93.288573
-1.872318,21,93.61381
-1.887589,24,93.923981
-1.912993,23,94.269438
-1.899426,25,94.603148
-1.896957,23,94.973311
-1.900337,24,95.280524
-1.905472,22,95.607624
-1.880325,23,95.901433
-1.883236,22,96.233907
-1.880114,22,96.520433
-1.912034,24,96.817142
-1.911637,25,97.136069
-1.88655,25,97.511444
-1.872958,21,97.837649
-1.875788,25,98.13162
-1.890106,23,98.457086
-1.914468,25,98.803985
-1.913349,23,99.135144
-1.903862,23,99.458284
-1.887492,24,99.77295
-1.881345,22,100.126862
-1.909066,22,100.449007
-1.9127,22,100.746794
-1.877235,25,101.065509
-1.88195,21,101.438051
-1.907688,24,101.740514
-1.90127,23,102.060662
-1.875064,22,102.35764
-1.884706,25,102.687271
-1.892358,22,103.022885
-1.900919,23,103.317106
-1.889558,24,103.627305
-1.885523,23,103.984837
-1.891808,22,104.300149
-1.910195,24,104.615108
-1.887163,22,104.929115
-1.899434,23,105.25409
-1.908656,25,105.557299
-1.894036,22,105.890109
-1.900215,23,106.188772
-1.877109,25,106.518427
-1.916624,25,106.841823
