#{"t_start": 1686009102.6132674, "env_id": null}
r,l,t
4999978.0,5,1.770656
4999958.0,9,1.788581
-5000151.0,31,1.847453
-5000253.0,51,1.937243
4999925.0,16,1.966166
-5000315.0,64,2.082507
-5000097.0,20,2.117413
-5000159.0,32,2.174261
4999920.0,17,2.204213
-5000197.0,40,2.276039
-5000164.0,33,2.336458
4999937.0,13,2.360396
-5000155.0,32,2.416798
-5000376.0,76,2.552607
4999805.0,40,2.625388
4999866.0,27,2.673261
-5000152.0,31,2.744076
4999812.0,38,2.812068
-5000308.0,62,2.921863
-5000109.0,22,2.970213
-5000186.0,38,3.039374
-5000129.0,26,3.087184
-5000194.0,39,3.158712
4999778.0,45,3.240648
-5000131.0,27,3.291014
4999844.0,32,3.349496
-5000176.0,36,3.415325
-5000410.0,83,3.56902
-5000165.0,34,3.631992
4999811.0,38,3.700808
-5000317.0,64,3.817262
-5000121.0,25,3.864136
-5000139.0,28,3.915997
-5000209.0,42,3.991797
-5000135.0,28,4.042836
4999815.0,38,4.110612
4999792.0,42,4.18641
-5000897.0,180,4.503867
4999904.0,20,4.540336
-5000214.0,43,4.622118
4999769.0,47,4.720853
-5000124.0,25,4.76923
4999762.0,48,4.858338
-5000376.0,76,4.994634
4999936.0,13,5.019087
4999834.0,34,5.080884
-5000139.0,28,5.131748
-5000131.0,27,5.178623
-5000157.0,32,5.234728
-5000159.0,32,5.293543
-5000161.0,33,5.351387
-5000147.0,30,5.408236
-5000456.0,92,6.480619
4999831.0,34,6.551082
4999900.0,21,6.594965
4999822.0,36,6.660328
4999895.0,22,6.698879
-5000660.0,133,6.936094
-5000100.0,21,6.975969
-5000461.0,93,7.14204
4999817.0,37,7.207864
-5000370.0,75,7.34153
4999872.0,26,7.388382
-5000213.0,43,7.465176
4999769.0,47,7.550478
-5000065.0,14,7.575413
4999877.0,25,7.620291
-5001877.0,376,8.283255
-5000139.0,28,8.332157
-5000148.0,30,8.385703
-5000152.0,31,8.44109
4999731.0,54,8.537789
-5000132.0,27,8.585662
-5000141.0,29,8.637123
-5000166.0,34,8.697938
4999749.0,51,8.788233
-5000244.0,49,8.876074
4999876.0,25,8.920953
4999915.0,18,8.952868
-5000283.0,57,9.055316
-5000249.0,50,9.148664
-5000156.0,32,9.204607
4999896.0,21,9.24464
4999888.0,23,9.287117
4999920.0,17,9.319419
-5000127.0,26,9.367264
4999809.0,39,9.437467
-5000234.0,47,9.524578
-5000175.0,36,9.58869
-5000134.0,27,9.63764
4999822.0,36,9.70713
-5000147.0,30,9.765481
-5000111.0,23,9.815347
-5000347.0,70,9.94453
4999919.0,17,9.978439
-5000135.0,28,10.029303
-5000350.0,71,11.077509
-5000556.0,112,11.304039
4999870.0,27,11.35194
-5000549.0,110,11.548858
-5000143.0,29,11.599724
-5000126.0,26,11.646597
4999884.0,24,11.689482
-5000414.0,83,11.840519
-5000204.0,41,11.913218
-5000739.0,148,12.180153
-5000195.0,40,12.250872
4999792.0,42,12.326307
4999827.0,35,12.387965
-5000997.0,200,12.741379
4999871.0,26,12.788259
-5000324.0,65,12.911483
-5000301.0,61,13.051895
-5000137.0,28,13.123285
-5000215.0,44,13.24426
4999906.0,19,13.291157
-5000173.0,35,13.3691
4999768.0,47,13.476338
-5000311.0,63,13.635451
-5000623.0,125,13.897912
-5000123.0,25,13.951794
-5000245.0,50,14.059994
-5000139.0,28,14.118424
4999888.0,23,14.166296
4999897.0,21,14.209588
-5000158.0,32,14.2761
-5000317.0,64,14.406252
-5000292.0,59,14.526304
4999812.0,38,14.603099
-5000632.0,127,14.881036
4999851.0,30,14.942837
-5000160.0,33,15.010654
-5000142.0,29,15.069498
-5000572.0,115,16.380657
-5000371.0,75,16.528103
4999867.0,27,16.577964
4999750.0,51,16.672657
-5000234.0,47,16.758431
-5000116.0,24,16.8023
-5000318.0,64,16.921529
-5000196.0,40,16.995824
4999881.0,24,17.042561
-5000129.0,26,17.095419
-5000168.0,34,17.161325
-5000123.0,25,17.211186
-5000156.0,32,17.275421
-5000152.0,31,17.335643
-5000154.0,31,17.395483
-5000347.0,70,17.532622
4999759.0,49,17.625376
-5000543.0,109,17.831164
4999835.0,34,17.896989
-5000306.0,62,18.020304
4999787.0,43,18.103113
4999759.0,49,18.196867
-5000166.0,34,18.261161
-5000266.0,54,18.362894
4999918.0,17,18.395782
4999680.0,65,18.520452
-5000310.0,63,18.640293
-5000317.0,64,18.763414
4999898.0,21,18.80364
-5000424.0,85,18.969252
-5000162.0,33,19.032564
-5000203.0,41,19.113354
-5000276.0,56,19.221069
4999828.0,35,19.287206
-5000534.0,107,19.492174
4999791.0,42,19.572683
-5000161.0,33,19.635591
-5000112.0,23,19.681498
4999606.0,79,19.831107
4999761.0,48,19.933599
-5000146.0,30,20.01538
4999867.0,27,20.068222
-5000472.0,95,21.283929
4999671.0,66,21.427589
4999802.0,40,21.5044
4999923.0,16,21.536427
4999855.0,30,21.593464
-5000145.0,30,21.650905
-5000146.0,30,21.709169
-5000142.0,29,21.76502
-5000244.0,49,21.8613
-5000152.0,31,21.921545
-5000156.0,32,21.983378
-5000169.0,34,22.051
4999878.0,25,22.099482
-5000202.0,41,22.180323
-5000181.0,37,22.25195
4999812.0,38,22.327084
-5000159.0,32,22.388768
4999506.0,99,22.576847
4999898.0,21,22.616811
4999794.0,42,22.697593
-5000127.0,26,22.747119
-5000573.0,115,22.964623
4999833.0,34,23.029456
-5000170.0,35,23.099269
-5000240.0,49,23.195014
4999811.0,38,23.267362
-5000186.0,38,23.340019
-5000189.0,38,23.412362
-5000144.0,29,23.468216
-5000240.0,49,23.560088
-5000376.0,76,23.706332
-5000221.0,45,23.792108
-5000155.0,32,23.854941
4999681.0,64,23.979606
-5000281.0,57,24.091062
4999912.0,18,24.126509
-5000130.0,27,24.177344
-5000123.0,25,24.225215
-5000151.0,31,24.283065
-5000128.0,26,24.333489
-5000337.0,68,24.463169
-5000291.0,59,24.575211
4999830.0,35,24.641543
-5000128.0,26,24.692407
-5000118.0,24,24.738718
-5000146.0,30,24.796224
4999927.0,15,24.825146
-5000615.0,124,25.066092
4999928.0,15,25.100786
-5000129.0,26,25.154182
-5000227.0,46,26.292267
-5000743.0,149,26.593017
-5000127.0,26,26.643425
4999898.0,21,26.684319
-5000131.0,27,26.735782
-5000434.0,87,26.903194
4999738.0,53,27.007431
4999885.0,24,27.052923
4999945.0,12,27.076861
-5000320.0,65,27.206603
4999746.0,51,27.305298
4999748.0,51,27.404035
4999764.0,48,27.497136
4999886.0,23,27.542249
-5000248.0,50,27.635998
-5000299.0,60,27.753554
-5000339.0,68,27.883987
4999777.0,45,27.969144
-5001877.0,376,28.685975
-5000103.0,21,28.726874
-5000256.0,52,28.825418
-5000214.0,43,28.910391
4999704.0,60,29.022875
-5000175.0,36,29.093153
-5000458.0,92,29.268089
4999784.0,44,29.351467
4999693.0,62,29.471347
-5000160.0,33,29.536304
-5000120.0,25,29.583151
-5000176.0,36,29.652113
-5000138.0,28,29.706096
-5000203.0,41,29.783916
4999826.0,35,29.852997
-5000383.0,77,29.999092
-5000527.0,106,30.205111
-5000395.0,80,31.389866
-5000195.0,40,31.469485
4999749.0,51,31.569121
