Episode: 0, Total Reward: -0.9830000004294561, Total Length: 171.0 
Episode: 1, Total Reward: -0.9851000003764057, Total Length: 150.0 
Episode: 2, Total Reward: -0.9839000004067202, Total Length: 162.0 
Episode: 3, Total Reward: -0.9890000002778834, Total Length: 111.0 
Episode: 4, Total Reward: -0.9834000004193513, Total Length: 167.0 
Episode: 5, Total Reward: -0.9392000015359372, Total Length: 609.0 
Episode: 6, Total Reward: -0.9924000001919921, Total Length: 77.0 
Episode: 7, Total Reward: -0.966600000843755, Total Length: 335.0 
Episode: 8, Total Reward: -0.9801000005027163, Total Length: 200.0 
Episode: 9, Total Reward: -0.9937000001591514, Total Length: 64.0 
Episode: 10, Total Reward: -0.9861000003511435, Total Length: 140.0 
Episode: 11, Total Reward: -0.998100000047998, Total Length: 20.0 
Episode: 12, Total Reward: -0.9802000005001901, Total Length: 199.0 
Episode: 13, Total Reward: -0.9893000002703047, Total Length: 108.0 
Episode: 14, Total Reward: -0.9564000011014286, Total Length: 437.0 
Episode: 15, Total Reward: -0.9871000003258814, Total Length: 130.0 
Episode: 16, Total Reward: -0.9791000005279784, Total Length: 210.0 
Episode: 17, Total Reward: -0.9825000004420872, Total Length: 176.0 
Episode: 18, Total Reward: -0.9653000008765957, Total Length: 348.0 
Episode: 19, Total Reward: -0.9930000001768349, Total Length: 71.0 
Episode: 20, Total Reward: -0.981200000474928, Total Length: 189.0 
Episode: 21, Total Reward: -0.9908000002324115, Total Length: 93.0 
Episode: 22, Total Reward: -0.9957000001086271, Total Length: 44.0 
Episode: 23, Total Reward: -0.9646000008942792, Total Length: 355.0 
Episode: 24, Total Reward: -0.9891000002753572, Total Length: 110.0 
Episode: 25, Total Reward: -0.9776000005658716, Total Length: 225.0 
Episode: 26, Total Reward: -0.9380000015662517, Total Length: 621.0 
Episode: 27, Total Reward: -0.9855000003663008, Total Length: 146.0 
Episode: 28, Total Reward: -0.9804000004951376, Total Length: 197.0 
Episode: 29, Total Reward: -0.9848000003839843, Total Length: 153.0 
Episode: 30, Total Reward: -0.9815000004673493, Total Length: 186.0 
Episode: 31, Total Reward: -0.980700000487559, Total Length: 194.0 
Episode: 32, Total Reward: -0.9885000002905144, Total Length: 116.0 
Episode: 33, Total Reward: -0.9769000005835551, Total Length: 232.0 
Episode: 34, Total Reward: -0.9945000001389417, Total Length: 56.0 
