#{"t_start": 1686124740.4806159, "env_id": null}
r,l,t
0.700502,13,1.876344
-1.924427,26,1.933746
-1.821069,22,1.972642
-1.658493,18,2.005097
-1.864615,23,2.046497
-1.927401,26,2.093371
-1.816,22,2.13479
-1.546387,16,2.162692
-1.76662,21,2.199621
-1.824744,22,2.238489
-1.91932,26,2.284366
-1.891527,24,2.325765
-1.802398,22,2.364661
-1.808625,22,2.403585
-1.728905,20,2.438708
-1.924655,28,2.487581
-1.825083,22,2.525749
-1.878333,24,2.567638
-1.851278,24,2.610059
-1.922594,25,2.653425
-1.902069,25,2.698329
-1.893042,24,2.740222
-1.907746,24,2.783315
-1.907803,25,2.827185
-1.897354,24,2.869559
-1.931017,27,2.916979
-1.890889,24,2.958391
-1.910368,24,3.000311
-1.601079,17,3.036188
-1.865698,25,3.081677
-1.942836,33,3.142566
-1.922234,25,3.187543
-1.928394,28,3.237909
-1.602724,17,3.268739
-1.671066,18,3.301747
-1.795801,22,3.34164
-1.630609,18,3.37555
-1.820167,22,3.415492
-1.896936,24,3.459387
-1.831836,24,3.502355
-1.701555,19,3.537262
-1.583085,18,3.569177
-1.907708,24,3.612592
-1.867113,23,3.657471
-1.857156,23,3.69866
-1.912167,25,3.743048
-1.92599,26,3.788925
-1.921759,25,3.8358
-1.89423,24,3.877712
-1.898382,24,3.92057
-1.904208,24,3.964476
-1.912485,24,4.007369
-1.642356,18,4.041251
-1.875236,24,4.083139
-1.870965,23,4.1243
-1.86804,23,4.164166
0.287867,32,4.221524
-1.894669,24,4.265404
-1.822783,22,4.303842
-1.729955,20,4.339745
-1.779977,21,4.376646
-1.775574,21,4.41311
-1.892199,24,4.455996
-1.620272,17,4.485915
-1.722757,20,4.520823
-1.889267,24,4.56271
-1.840606,26,4.607614
-1.91194,25,4.651501
-1.740962,21,4.688329
-1.662776,18,4.719245
-1.893097,24,4.761142
-1.901906,24,4.804004
-1.911676,24,4.847886
-1.9112,25,4.89251
-1.768679,21,4.929412
-1.914403,25,4.974201
-1.79035,21,5.010674
-1.917882,28,5.058523
-1.889808,24,5.099675
-1.912867,25,5.143556
-1.904858,25,5.187881
-1.898576,25,5.231763
-1.91253,25,5.275645
-1.89673,24,5.317534
-1.917636,25,5.360449
-1.743891,20,5.396128
-1.856178,23,5.455967
-1.918908,25,5.499984
-1.792635,22,5.717973
-1.892419,24,5.767841
-1.900746,27,5.82418
-1.928891,27,5.878036
-1.70874,20,5.916931
-1.764857,21,5.952836
-1.915579,25,5.996718
-1.812081,22,6.035308
-1.927267,30,6.089109
-1.90993,24,6.133433
-1.902973,24,6.177007
-1.896608,24,6.221318
-1.898698,24,6.28366
-1.926815,27,6.334747
-1.591348,16,6.364669
-1.902503,25,6.409244
-1.786259,21,6.446678
-1.692976,19,6.480587
-1.675406,20,6.51668
-1.903569,25,6.560562
-1.902946,25,6.603955
-1.90055,24,6.646844
-1.902898,25,6.691775
-1.835941,25,6.735638
-1.899609,24,6.778964
-1.912481,26,6.826838
-1.893806,25,6.870768
-1.809807,23,6.912658
-1.831534,24,6.954998
-1.777436,24,6.995554
-1.608237,17,7.025474
-1.842959,23,7.065875
-1.894628,24,7.108223
0.33867,26,7.153103
0.438383,23,7.192767
-1.923979,27,7.24064
-1.856732,23,7.282053
-1.705811,19,7.314995
-1.888721,24,7.356884
-1.902533,24,7.399022
-1.89358,24,7.441882
-1.908343,25,7.486613
-1.903962,25,7.53058
-1.79257,22,7.568478
-1.706192,20,7.60441
-1.793922,21,7.641308
-1.587042,16,7.670207
-1.892119,24,7.711096
-1.674071,19,7.745006
-1.927569,28,7.79353
-1.901052,24,7.836526
-1.628991,17,7.866446
-1.772134,21,7.904461
-1.83808,25,7.947317
-1.78176,23,7.987241
-1.913994,24,8.028666
-1.899567,24,8.071103
-1.897174,24,8.113961
-1.772413,22,8.152857
-1.764441,21,8.190756
-1.888704,24,8.231651
-1.872588,24,8.274535
-1.90243,24,8.317424
-1.806486,22,8.355327
-1.921082,25,8.399851
-1.894704,24,8.440742
-1.947365,38,8.507562
-1.911908,25,8.55066
-1.907242,25,8.594089
-1.579227,18,8.626034
-1.880006,24,8.668919
-1.852812,23,8.708813
-1.898502,25,8.752206
-1.896228,25,8.796113
-1.850477,27,8.843961
-1.888249,24,8.885849
-1.923303,27,8.932724
-1.619995,17,8.962645
-1.903186,25,9.007523
-1.906526,24,9.049427
-1.758026,21,9.086977
-1.907381,24,9.129808
-1.848176,23,9.17196
-1.778109,22,9.209775
-1.916083,24,9.254274
-1.829658,22,9.292893
-1.449654,13,9.317839
-1.948586,37,9.590181
-1.917762,27,9.651988
-1.869844,24,9.707838
-1.92525,30,9.776654
-1.906048,25,9.831017
-1.655466,18,9.869913
-1.920215,25,9.912798
-1.893562,25,9.95668
-1.695757,19,9.989779
-1.903473,24,10.032664
-1.903558,24,10.074415
-1.798353,22,10.114307
-1.870445,23,10.153632
-1.915678,27,10.20112
-1.815629,22,10.24087
-1.915954,25,10.283755
-1.854647,24,10.32467
-1.559836,16,10.354566
-1.904467,25,10.39821
-1.931118,28,10.447079
-1.850198,23,10.48899
-1.808383,24,10.530468
-1.905992,24,10.572582
-1.552857,16,10.601528
-1.925149,28,10.649377
-1.935947,38,10.717196
-1.57,16,10.744811
-1.457663,13,10.767749
-1.821506,22,10.808695
-1.896944,24,10.85083
-1.644831,18,10.882885
-1.937711,35,10.943835
-1.729775,22,10.981739
-1.688369,19,11.015671
-1.893745,25,11.057855
-1.912481,27,11.104756
-1.72535,21,11.141659
-1.904086,24,11.183573
-1.921017,26,11.228454
-1.562802,16,11.25638
-1.841426,23,11.29727
-1.76347,21,11.335168
0.230855,34,11.398001
-1.896682,24,11.440886
-1.919836,27,11.49175
-1.510276,15,11.519703
-1.886685,25,11.564831
-1.942496,35,11.626822
-1.911857,27,11.674695
-1.912135,26,11.719573
-1.841009,23,11.759467
-1.92787,29,11.812445
-1.78955,21,11.84932
-1.876095,24,11.891932
-1.831062,23,11.932823
-1.801101,22,11.970722
-1.578491,17,12.000643
-1.730286,20,12.035554
-1.78354,21,12.07208
-1.707587,19,12.10635
-1.893305,24,12.147242
-1.907216,25,12.191294
-1.906134,26,12.23618
-1.899715,25,12.280151
-1.9153,25,12.32424
-1.590395,17,12.35416
-1.789244,26,12.401063
-1.922197,25,12.443948
-1.898859,24,12.486408
-1.926672,27,12.533899
-1.903211,25,12.577549
-1.906804,24,12.619946
-1.890774,24,12.661838
-1.912221,24,12.704723
-1.58101,16,12.732649
-1.533896,16,12.762628
-1.73786,20,12.797358
-1.776823,21,12.83526
-1.932145,30,12.887657
-1.863172,23,12.927092
-1.898506,24,12.968983
-1.909657,24,13.010902
-1.906974,24,13.052789
-1.734052,20,13.088721
-1.915162,28,13.137232
-1.919474,25,13.181616
-1.906446,24,13.2233
-1.749561,21,13.447723
-1.762335,22,13.493602
-1.925357,31,13.555435
-1.918758,25,13.603809
0.059627,39,13.676612
-1.688849,19,13.709476
-1.864802,23,13.749126
-1.75882,21,13.786493
-1.859702,24,13.829379
-1.782745,24,13.870995
-1.897073,25,13.915395
-1.672375,18,13.947332
-1.929315,33,14.005085
-1.875834,24,14.047999
-1.782587,22,14.088133
-1.497601,14,14.115986
-1.921301,26,14.162249
-1.905296,24,14.203564
-1.917857,26,14.249028
-1.808089,23,14.289366
-1.947666,31,14.343961
-1.903529,26,14.39045
-1.765242,22,14.429346
-1.892944,24,14.473233
0.340028,26,14.519775
-1.809743,22,14.559055
-1.928366,27,14.606124
-1.925537,26,14.652225
-1.749061,21,14.688706
-1.656221,18,14.721606
-1.489371,14,14.745542
-1.576912,17,14.775492
-1.917768,25,14.819406
-1.754403,21,14.85628
-1.909962,24,14.897969
-1.576902,16,14.926866
-1.745576,21,14.963794
-1.927182,28,15.012665
-1.864763,23,15.052534
-1.907093,24,15.094833
-1.854687,23,15.135721
-1.669157,18,15.166618
-1.445033,14,15.19155
-1.817681,25,15.23597
-1.913737,27,15.282817
-1.77174,21,15.318722
-1.892751,24,15.361002
-1.874188,29,15.411867
-1.892759,24,15.453173
-1.90982,26,15.500048
-1.858087,23,15.542149
-1.895,25,15.586492
-1.819847,22,15.625388
-1.774406,21,15.661787
-1.685618,19,15.696029
-1.495064,16,15.724952
-1.852002,23,15.764845
-1.646826,18,15.797734
-1.419049,13,15.821671
-1.60634,20,15.857977
-1.771622,21,15.894599
-1.716342,20,15.92851
-1.801577,23,15.969209
-1.651921,18,15.999852
-1.907344,24,16.042714
-1.92301,27,16.089475
-1.907051,26,16.134355
-1.917338,25,16.177842
-1.746809,20,16.214356
-1.8603,24,16.255622
-1.679387,19,16.290452
-1.705635,19,16.323339
-1.507957,16,16.351426
-1.866374,25,16.39531
-1.86389,23,16.436201
-1.88883,26,16.4821
-1.801248,22,16.521997
-1.917871,27,16.569395
-1.902646,25,16.612278
-1.903392,24,16.656733
-1.866224,24,16.700365
-1.827151,22,16.74088
-1.775806,21,16.778779
-1.686381,20,16.818168
-1.544107,15,16.84659
-1.884282,27,16.89678
-1.535289,15,16.923708
-1.737186,20,16.959611
-1.931728,31,17.013006
-1.923061,25,17.056888
-1.728845,20,17.091794
-1.666197,19,17.292535
-1.898642,25,17.344905
-1.932743,30,17.405226
-1.740303,20,17.446117
-1.596698,17,17.478172
-1.708134,21,17.514792
-1.727948,20,17.549425
-1.917961,28,17.598745
-1.732004,20,17.633652
-1.687323,19,17.667539
-1.91303,26,17.712411
-1.782749,21,17.750273
-1.442342,14,17.77527
-1.780919,39,17.843861
-1.612827,17,17.874288
-1.726867,20,17.908831
-1.756663,21,17.945733
-1.90836,27,17.99268
-1.84297,26,18.037538
-1.725208,20,18.072468
-1.733174,20,18.108064
-1.737278,20,18.142997
-1.923533,29,18.193737
-1.424845,12,18.21568
-1.758495,21,18.251558
-1.845475,24,18.294557
-1.858036,24,18.337379
-1.890334,37,18.400667
-1.89222,24,18.443524
-1.608926,17,18.47397
-1.525286,15,18.500869
-1.83675,23,18.539766
-1.926187,32,18.596322
-1.694619,34,18.655016
-1.914861,28,18.704204
-1.921487,28,18.752291
-1.803717,22,18.791125
-1.64047,19,18.826057
-1.783197,22,18.866217
-1.899514,24,18.907085
-1.907845,25,18.95099
-1.701374,19,18.983422
-1.560656,16,19.011816
-1.91143,28,19.060674
-1.750176,20,19.097204
-1.492722,16,19.125129
-1.921091,25,19.168888
-1.739334,20,19.203938
-1.703159,20,19.238844
-1.820267,22,19.27726
-1.929191,29,19.327972
-1.743484,20,19.363877
-1.600538,20,19.399781
-1.88823,24,19.441694
-1.726672,20,19.477573
-1.83445,24,19.519466
-1.808149,23,19.560356
-1.900138,24,19.603423
-1.91291,26,19.648329
-1.7065,20,19.684259
-1.55721,18,19.715148
-1.850542,23,19.75604
-1.65519,18,19.786983
-1.815276,24,19.8306
-1.913873,27,19.877503
-1.695186,22,19.91637
-1.926639,26,19.96125
-1.895477,24,20.002805
-1.862613,23,20.043695
-1.803772,22,20.082592
-1.85045,23,20.122484
-1.75577,21,20.159386
-1.911489,26,20.204297
-1.783533,23,20.245212
-1.923002,30,20.296657
-1.765816,23,20.337548
-1.646053,19,20.371439
-1.925322,28,20.420307
-1.745439,20,20.455214
-1.548045,16,20.483748
-1.897184,25,20.527928
-1.663083,19,20.55982
-1.805125,22,20.598724
-1.70965,20,20.635626
-1.918872,28,20.684795
-1.893586,24,20.726295
-1.588218,17,20.756214
-1.591698,18,20.787769
-1.816414,23,20.828641
-1.923891,29,20.87956
-1.937988,38,21.141445
-1.874922,23,21.188456
-1.934894,30,21.247298
-1.766544,21,21.286144
-1.796647,22,21.324043
-1.827062,22,21.363228
-1.824168,24,21.406112
-1.643575,18,21.438027
-1.692057,19,21.470939
-1.916547,26,21.517814
-1.348201,11,21.536763
-1.512241,17,21.566683
-1.59936,17,21.596603
-1.894757,24,21.639489
-1.897707,27,21.686364
-1.900701,25,21.731163
-1.897584,25,21.7741
-1.886122,24,21.817858
0.272803,29,21.869396
-1.584773,18,21.901033
-1.6506,18,21.932913
-1.894594,25,21.978791
-1.748963,21,22.017686
-1.948458,36,22.084513
-1.80893,35,22.14934
-1.91025,26,22.196528
-1.86431,24,22.238785
-1.704069,19,22.272662
-1.616981,17,22.301888
0.483264,22,22.341781
-1.381361,12,22.362372
-1.917378,25,22.408427
-1.79455,25,22.452338
-1.621,17,22.48223
-1.46334,14,22.507722
-1.551233,16,22.536645
-1.627287,20,22.571551
-1.418386,13,22.595516
-1.538166,16,22.623412
-1.906989,25,22.66929
-1.744913,21,22.706583
-1.854544,23,22.746478
-1.620688,17,22.776397
-1.560544,16,22.805089
-1.920814,25,22.848972
-1.580823,16,22.876897
-1.902975,24,22.919183
-1.833277,24,22.961047
-1.909574,26,23.005515
-1.894938,24,23.048393
-1.738291,20,23.082824
-1.739988,20,23.118726
-1.692373,19,23.151638
-1.799877,23,23.192044
-1.890065,24,23.233961
-1.820736,22,23.271831
-1.536086,15,23.299314
-1.910641,26,23.344168
-1.552207,15,23.370107
-1.73578,25,23.41398
-1.719045,21,23.450908
-1.425886,14,23.475839
-1.511316,15,23.501833
-1.856489,24,23.544743
-1.912651,25,23.587329
-1.493796,14,23.612262
-1.635604,19,23.64518
-1.927663,33,23.704234
-1.910235,26,23.749142
-1.901515,26,23.79402
-1.905714,24,23.838881
-1.9217,25,23.882975
-1.661501,19,23.916873
-1.540219,15,23.942805
-1.917888,29,23.993175
-1.587703,18,24.025091
-1.758283,21,24.061992
-1.680866,21,24.098442
-1.763679,21,24.136364
-1.788693,22,24.175236
-1.757971,21,24.212161
-1.656176,18,24.243055
-1.571478,16,24.270981
-1.658448,18,24.302649
-1.564773,16,24.330575
-1.938059,29,24.38133
0.326497,27,24.429203
-1.926782,31,24.483059
-1.913253,27,24.531549
-1.915562,26,24.57594
-1.801458,22,24.614867
-1.568754,16,24.642794
-1.882761,26,24.68877
-1.599394,17,24.911376
-1.433217,14,24.941818
0.284051,33,25.010163
-1.787262,21,25.051557
-1.654408,18,25.086463
-1.935823,32,25.144309
