Episode: 0, Total Reward: 1, Total Length: 11.0 
Episode: 1, Total Reward: 1, Total Length: 14.0 
Episode: 2, Total Reward: -1.0, Total Length: 144.0 
Episode: 3, Total Reward: -1.0, Total Length: 125.0 
Episode: 4, Total Reward: -1.0, Total Length: 145.0 
Episode: 5, Total Reward: -1.0, Total Length: 80.0 
Episode: 6, Total Reward: -1.0, Total Length: 200.0 
Episode: 7, Total Reward: -1.0, Total Length: 381.0 
Episode: 8, Total Reward: -1.0, Total Length: 334.0 
Episode: 9, Total Reward: -1.0, Total Length: 604.0 
Episode: 10, Total Reward: -1.0, Total Length: 238.0 
Episode: 11, Total Reward: -1.0, Total Length: 60.0 
Episode: 12, Total Reward: -1.0, Total Length: 309.0 
Episode: 13, Total Reward: -1.0, Total Length: 524.0 
Episode: 14, Total Reward: -1.0, Total Length: 255.0 
Episode: 15, Total Reward: -1.0, Total Length: 271.0 
Episode: 16, Total Reward: -1.0, Total Length: 303.0 
Episode: 17, Total Reward: -1.0, Total Length: 50.0 
Episode: 18, Total Reward: -1.0, Total Length: 268.0 
Episode: 19, Total Reward: -1.0, Total Length: 35.0 
Episode: 20, Total Reward: -1.0, Total Length: 82.0 
Episode: 21, Total Reward: -1.0, Total Length: 209.0 
Episode: 22, Total Reward: -1.0, Total Length: 71.0 
Episode: 23, Total Reward: -1.0, Total Length: 196.0 
Episode: 24, Total Reward: -1.0, Total Length: 721.0 
Episode: 25, Total Reward: -1.0, Total Length: 546.0 
Episode: 26, Total Reward: -1.0, Total Length: 689.0 
Episode: 27, Total Reward: -1.0, Total Length: 117.0 
Episode: 28, Total Reward: -1.0, Total Length: 606.0 
Episode: 29, Total Reward: -1.0, Total Length: 248.0 
Episode: 30, Total Reward: -1.0, Total Length: 277.0 
Episode: 31, Total Reward: -1.0, Total Length: 129.0 
Episode: 32, Total Reward: -1.0, Total Length: 484.0 
Episode: 33, Total Reward: -1.0, Total Length: 146.0 
Episode: 34, Total Reward: -1.0, Total Length: 144.0 
Episode: 35, Total Reward: -1.0, Total Length: 225.0 
Episode: 36, Total Reward: -1.0, Total Length: 251.0 
Episode: 37, Total Reward: 1, Total Length: 135.0 
Episode: 38, Total Reward: -1.0, Total Length: 599.0 
Episode: 39, Total Reward: -1.0, Total Length: 560.0 
Episode: 40, Total Reward: -1.0, Total Length: 147.0 
Episode: 41, Total Reward: -1.0, Total Length: 241.0 
Episode: 42, Total Reward: -1.0, Total Length: 694.0 
Episode: 43, Total Reward: -1.0, Total Length: 390.0 
Episode: 44, Total Reward: -1.0, Total Length: 61.0 
Episode: 45, Total Reward: -1.0, Total Length: 599.0 
Episode: 46, Total Reward: -1.0, Total Length: 274.0 
Episode: 47, Total Reward: -1.0, Total Length: 447.0 
Episode: 48, Total Reward: -1.0, Total Length: 589.0 
Episode: 49, Total Reward: 1, Total Length: 147.0 
Episode: 50, Total Reward: -1.0, Total Length: 366.0 
Episode: 51, Total Reward: -1.0, Total Length: 248.0 
Episode: 52, Total Reward: -1.0, Total Length: 387.0 
Episode: 53, Total Reward: -1.0, Total Length: 315.0 
Episode: 54, Total Reward: -1.0, Total Length: 206.0 
Episode: 55, Total Reward: -1.0, Total Length: 431.0 
Episode: 56, Total Reward: -1.0, Total Length: 217.0 
Episode: 57, Total Reward: -1.0, Total Length: 80.0 
Episode: 58, Total Reward: 1, Total Length: 27.0 
Episode: 59, Total Reward: -1.0, Total Length: 91.0 
Episode: 60, Total Reward: -1.0, Total Length: 98.0 
Episode: 61, Total Reward: -1.0, Total Length: 111.0 
Episode: 62, Total Reward: -1.0, Total Length: 69.0 
Episode: 63, Total Reward: -1.0, Total Length: 345.0 
Episode: 64, Total Reward: -1.0, Total Length: 314.0 
Episode: 65, Total Reward: -1.0, Total Length: 111.0 
Episode: 66, Total Reward: -1.0, Total Length: 124.0 
Episode: 67, Total Reward: -1.0, Total Length: 310.0 
Episode: 68, Total Reward: -1.0, Total Length: 298.0 
Episode: 69, Total Reward: -1.0, Total Length: 264.0 
Episode: 70, Total Reward: -1.0, Total Length: 741.0 
Episode: 71, Total Reward: -1.0, Total Length: 385.0 
Episode: 72, Total Reward: -1.0, Total Length: 132.0 
Episode: 73, Total Reward: -1.0, Total Length: 516.0 
Episode: 74, Total Reward: -1.0, Total Length: 263.0 
Episode: 75, Total Reward: -1.0, Total Length: 525.0 
Episode: 76, Total Reward: -1.0, Total Length: 348.0 
Episode: 77, Total Reward: -1.0, Total Length: 860.0 
Episode: 78, Total Reward: -1.0, Total Length: 491.0 
Episode: 79, Total Reward: -1.0, Total Length: 967.0 
Episode: 80, Total Reward: -1.0, Total Length: 149.0 
Episode: 81, Total Reward: -1.0, Total Length: 540.0 
Episode: 82, Total Reward: -1.0, Total Length: 476.0 
Episode: 83, Total Reward: -1.0, Total Length: 72.0 
Episode: 84, Total Reward: -1.0, Total Length: 183.0 
Episode: 85, Total Reward: -1.0, Total Length: 442.0 
Episode: 86, Total Reward: -1.0, Total Length: 713.0 
Episode: 87, Total Reward: -1.0, Total Length: 513.0 
Episode: 88, Total Reward: -1.0, Total Length: 49.0 
Episode: 89, Total Reward: -1.0, Total Length: 464.0 
Episode: 90, Total Reward: -1.0, Total Length: 163.0 
Episode: 91, Total Reward: -1.0, Total Length: 106.0 
Episode: 92, Total Reward: -1.0, Total Length: 85.0 
Episode: 93, Total Reward: -1.0, Total Length: 329.0 
Episode: 94, Total Reward: -1.0, Total Length: 258.0 
Episode: 95, Total Reward: -1.0, Total Length: 143.0 
Episode: 96, Total Reward: -1.0, Total Length: 77.0 
Episode: 97, Total Reward: -1.0, Total Length: 151.0 
Episode: 98, Total Reward: -1.0, Total Length: 262.0 
Episode: 99, Total Reward: -1.0, Total Length: 380.0 
Final Episode Success Rate: 0.050Episode: 0, Total Reward: 1, Total Length: 11.0 
Episode: 1, Total Reward: -1.9381785281002522, Total Length: 56.0 
Episode: 2, Total Reward: -1.939816283993423, Total Length: 35.0 
Episode: 3, Total Reward: -1.9127176329493523, Total Length: 26.0 
Episode: 4, Total Reward: -1.9297306332737207, Total Length: 48.0 
Episode: 5, Total Reward: -1.9252759981900454, Total Length: 29.0 
Episode: 6, Total Reward: -1.9174893982708454, Total Length: 27.0 
Episode: 7, Total Reward: -1.9121076948940754, Total Length: 26.0 
Episode: 8, Total Reward: -1.9164322055876255, Total Length: 25.0 
Episode: 9, Total Reward: -1.9395849434658885, Total Length: 48.0 
Episode: 10, Total Reward: -1.9158240742981434, Total Length: 27.0 
Episode: 11, Total Reward: -1.921464804559946, Total Length: 41.0 
Episode: 12, Total Reward: -1.930212065577507, Total Length: 32.0 
Episode: 13, Total Reward: -1.9344089962542057, Total Length: 40.0 
Episode: 14, Total Reward: -1.9135298393666744, Total Length: 27.0 
Episode: 15, Total Reward: -1.9276189487427473, Total Length: 34.0 
Episode: 16, Total Reward: -1.9112697914242744, Total Length: 25.0 
Episode: 17, Total Reward: -1.9368128580972552, Total Length: 34.0 
Episode: 18, Total Reward: -1.8972762189805508, Total Length: 25.0 
Episode: 19, Total Reward: -1.9118858706206083, Total Length: 27.0 
Episode: 20, Total Reward: -1.9324031323194504, Total Length: 55.0 
Episode: 21, Total Reward: -1.9263611417263746, Total Length: 29.0 
Episode: 22, Total Reward: -1.894569244235754, Total Length: 24.0 
Episode: 23, Total Reward: -1.9366337899118662, Total Length: 35.0 
Episode: 24, Total Reward: -1.925518387928605, Total Length: 30.0 
Episode: 25, Total Reward: -1.9216213524341583, Total Length: 25.0 
Episode: 26, Total Reward: -1.9275770336389542, Total Length: 30.0 
Episode: 27, Total Reward: -1.9283636957406998, Total Length: 35.0 
Episode: 28, Total Reward: -1.9072744958102703, Total Length: 25.0 
Episode: 29, Total Reward: -1.9109813272953033, Total Length: 24.0 
Episode: 30, Total Reward: -1.8906932026147842, Total Length: 32.0 
Episode: 31, Total Reward: -1.9390502274036407, Total Length: 48.0 
Episode: 32, Total Reward: -1.9227410331368446, Total Length: 27.0 
Episode: 33, Total Reward: -1.9212012514472008, Total Length: 26.0 
Episode: 34, Total Reward: -1.9339862894266844, Total Length: 28.0 
Episode: 35, Total Reward: -1.9387212581932545, Total Length: 42.0 
Episode: 36, Total Reward: -1.9025777615606785, Total Length: 24.0 
Episode: 37, Total Reward: -1.9012348726391792, Total Length: 25.0 
Episode: 38, Total Reward: -1.900767732411623, Total Length: 25.0 
Episode: 39, Total Reward: -1.9325103852897882, Total Length: 33.0 
Episode: 40, Total Reward: -1.9138702638447285, Total Length: 27.0 
Episode: 41, Total Reward: -1.9151827432215214, Total Length: 26.0 
Episode: 42, Total Reward: -1.9086635299026966, Total Length: 29.0 
Episode: 43, Total Reward: -1.9113449975848198, Total Length: 26.0 
Episode: 44, Total Reward: -1.9279079176485538, Total Length: 37.0 
Episode: 45, Total Reward: -1.9286007788032293, Total Length: 30.0 
Episode: 46, Total Reward: -1.9220645017921925, Total Length: 25.0 
