#{"t_start": 1685852382.8628893, "env_id": null}
r,l,t
-31477.58547,164,2.083554
-49586.126332,19,2.117712
-48923.639054,37,2.183454
-49559.822674,23,2.223215
-49567.731871,23,2.263108
-49213.733412,21,2.300463
-49399.638355,28,2.348971
-48982.732223,40,2.418297
-44529.620564,73,2.546077
-49647.346989,24,2.589013
-49105.432214,27,2.637684
-49021.783309,26,2.985844
-48102.335096,51,3.100159
-49747.313176,16,3.137607
-48764.882217,12,3.163538
-48857.036238,11,3.187474
-48169.987031,54,3.296078
-45871.856344,128,3.596877
-48152.988978,62,3.71247
-49681.832536,17,3.744384
-48211.352143,25,3.797777
-49050.992017,23,3.843506
-49213.986173,22,3.885638
-49502.312199,20,3.923569
-49211.147032,31,3.983959
-49546.257712,27,4.295305
-49633.12957,28,4.354481
-49744.180072,24,4.405054
-49569.98899,17,4.440466
-44335.302357,38,4.512274
-49587.52097,26,4.558159
-49816.435355,23,4.599605
-49696.515225,23,4.641086
-49105.444595,26,4.688959
-43956.717237,149,4.950127
-49560.458493,21,4.987433
-49487.826183,24,5.029725
-41596.298108,162,5.591453
-49215.066789,31,5.654523
-48589.608517,26,5.701387
-45628.767704,87,5.855878
-49698.748791,24,5.897767
-48687.373676,24,5.940652
-49497.491111,19,5.974561
-48775.164962,21,6.01246
-49623.241661,19,6.045887
-49546.388253,22,6.084797
-36675.941102,330,6.945229
-49683.355773,21,6.98213
-49500.069654,23,7.022542
-49353.175507,18,7.056092
-49314.213199,27,7.104226
-42983.475406,209,7.478122
-45130.252456,73,7.932958
-48656.819981,21,7.981827
-49378.962376,33,8.05418
-49498.020995,21,8.093075
-49285.751022,35,8.16047
-49692.166638,22,8.200875
-49421.062753,19,8.237298
-49563.115029,25,8.284053
-49438.278977,25,8.331485
-49703.208202,22,8.371985
-49760.37433,21,8.412876
-49493.803655,29,8.475015
-49064.813551,33,8.545825
-49283.67523,17,8.578738
-49537.582143,22,8.618997
-49586.314538,23,8.661883
-49601.391968,28,8.713367
-49550.804458,22,8.754258
-49598.073836,21,8.793541
-49667.99342,25,9.12902
-32553.582855,426,9.914345
-49471.540055,22,9.955235
-49157.709902,28,10.004762
-45056.156484,136,10.529446
-49727.599563,19,10.563582
-49618.68809,26,10.61144
-48385.533958,51,10.700717
-49672.127502,22,10.739615
-49624.706593,23,10.779783
-49315.273206,28,10.829701
-49530.556173,24,10.887177
-49122.247187,28,10.93804
-49402.951117,22,10.977933
-46947.953441,74,11.113047
-49408.562767,31,11.168824
-49708.51309,27,11.219053
-49748.545866,25,11.557679
-48174.107759,30,11.617039
-47817.458564,79,11.768746
-48884.541552,40,11.840854
-48317.220515,64,11.952975
-49623.837653,23,11.993188
-47880.027071,26,12.045579
-46969.201268,98,12.229177
-46217.257656,91,12.400038
-49142.314141,31,12.459881
-49253.918767,21,12.74017
-48542.278261,57,12.855056
-44750.286862,133,13.092868
-49543.395504,23,13.134974
-49244.666673,32,13.190825
-46498.279017,57,13.290558
-47976.083587,61,13.396492
-49693.488462,26,13.441886
-48985.946106,31,13.495741
-49665.634174,26,13.545483
-49746.153998,20,13.588367
-49721.07146,22,13.930749
-48827.426585,20,13.972735
-42025.569976,221,14.379926
-49596.88557,24,14.422155
-49779.668061,28,14.470995
-40808.393403,239,15.211194
-47720.072053,65,15.346815
-46488.322483,49,15.475227
-49582.987442,25,15.539186
-49238.018583,42,15.623959
-45381.775627,190,15.962819
-48883.402691,28,16.012686
-49542.054127,23,16.053089
-49227.644306,22,16.091986
-49471.267222,21,16.370147
-49635.049386,25,16.42314
-48905.822299,19,16.461039
-38580.211942,193,16.809026
-49460.988977,29,16.85989
-47697.66363,34,16.920727
-49405.915647,26,16.967602
-49597.512735,23,17.009002
-49556.590183,23,17.049893
-49751.604011,24,17.09178
-49685.944622,28,17.14165
39992.66383,1592,21.099405
-45746.064758,86,21.26951
-48834.220937,29,21.319379
-48425.575099,30,21.373137
-49558.743853,26,21.418018
-47494.097089,40,21.487831
-49531.163142,21,21.524732
-49198.544508,20,21.559702
-49485.024761,20,21.595051
-40786.337788,172,21.896929
-49087.073469,36,21.959768
-49587.08465,31,22.297309
-49488.305336,20,22.337215
-49667.225527,22,22.381097
-38204.683511,113,22.584193
-38096.434219,155,22.854227
-48396.227412,49,22.938996
-44912.717449,66,23.053903
-48661.778215,44,23.132087
-49410.334478,30,23.431216
-15571.455958,523,24.646371
-49247.605489,22,24.692246
-49642.601104,24,24.740119
-45140.569287,79,24.878234
-48378.582065,16,24.907759
-48494.994606,11,24.927706
-36455.15941,242,25.349877
-48267.19672,22,25.388802
-49488.420511,26,25.433851
-49572.04608,37,25.778515
-49402.303913,36,25.853851
-48584.161312,36,25.925256
-40830.280771,125,26.147038
-49099.223666,22,26.187528
-48902.399062,23,26.229416
-49291.61635,23,26.27203
-47091.279468,82,26.418179
-47308.076575,58,26.522486
-49352.500815,23,26.563549
-49613.93252,24,26.606213
-49699.00717,25,26.908604
-49644.942851,25,26.959469
-49148.483062,32,27.024296
-49793.301818,23,27.071687
-37077.818156,131,27.304602
-37559.783837,226,27.701537
99021.353526,2127,33.187438
-48942.110597,40,33.26176
42276.627895,950,35.751802
-49479.421788,23,35.793315
-33736.412259,235,36.240547
-41114.362969,107,36.432778
-49211.093592,18,36.465131
-44297.176465,79,36.881707
-49667.528972,24,36.931573
-33198.986348,241,37.49086
-49649.938339,27,37.541243
-49452.359615,24,37.585694
-49732.174334,27,37.637994
41513.74724,1191,40.804627
-6111.353048,558,42.126558
-49185.113161,18,42.158474
-49141.223829,32,42.214324
-40434.750084,175,42.534669
-44047.98003,129,42.76772
-47838.141065,52,43.137269
-41363.01342,148,43.430413
-42128.960904,130,43.708164
-48934.805369,44,43.78988
62481.691844,974,46.12531
-45888.645912,19,46.15922
-44342.165039,30,46.213596
-48298.710763,34,46.274841
-49482.076285,24,46.317404
66021.776887,989,48.6046
-49409.993667,12,48.627539
-49347.297544,16,48.666434
-49458.477541,25,48.717297
-49396.473713,25,48.76218
79210.779142,1314,51.96515
-49443.985592,23,52.005025
-49148.970045,21,52.042923
-49495.758543,25,52.086806
-46970.372191,74,52.216023
-45545.409404,60,52.621528
-6782.927207,404,53.352777
-41299.714295,155,53.931171
-46939.66002,63,54.048707
-43404.155787,69,54.171504
-15193.012899,337,55.034128
-49360.360934,26,55.086326
-44435.840376,87,55.24569
-33320.80551,148,55.502763
-39717.84357,152,55.768225
-39620.145324,201,56.394271
-49583.139389,22,56.433139
-36214.797855,189,56.768096
-22638.089408,339,57.687346
-48837.257246,22,57.727631
-49501.345533,22,57.767871
-49350.77416,28,57.817314
-49142.619608,22,57.858205
5908.597239,603,59.228533
-47050.248247,67,59.346483
-45030.758301,39,59.703196
-42709.925913,135,59.967163
-49748.710772,21,60.004256
-41749.270145,198,60.355546
-6186.373186,544,61.615254
-49522.71503,20,61.650161
-47962.009867,36,61.714364
-49275.920898,24,61.757278
-48623.248505,26,62.080194
-49509.342078,15,62.113107
-21633.199054,378,62.792696
-44466.852599,103,63.227869
-48308.722103,41,63.312276
-44881.302822,92,63.486145
-49368.739079,26,63.531026
-49370.88881,28,63.587904
-38857.261036,225,64.043009
-49427.788572,21,64.085602
-48000.685524,33,64.147433
8546.539739,610,65.781191
-44967.93262,112,65.979861
-38484.559916,190,66.308976
-38063.780261,210,66.983359
-36327.586068,206,67.344401
-49642.836631,18,67.375878
-49037.774659,46,67.454728
-43554.547867,153,67.9883
-44753.845231,76,68.144334
-49104.961757,26,68.19074
-4901.911531,444,69.260873
-34244.555307,210,69.635206
-49649.218474,22,69.6762
-48247.919521,33,69.734976
-40963.757992,129,69.958732
-26278.116739,135,70.490937
-35135.973186,221,70.905767
-22548.401582,286,71.68962
-8191.033985,456,72.762859
17679.477337,758,74.442871
-48169.114956,55,74.540097
-39778.305927,160,75.094945
-49219.207975,21,75.137156
-49598.700415,32,75.202981
-48301.102505,37,75.271958
17274.20423,567,76.541716
-49615.275529,21,76.578598
5025.019344,504,77.735812
119339.789902,1032,80.198704
-47014.278493,55,80.293422
-37230.004473,285,81.061095
-49211.024543,34,81.127004
-49468.094474,29,81.177868
-49464.21721,28,81.225739
-48343.897348,34,81.28558
-49571.171839,20,81.320725
-49594.751101,23,81.362935
-48455.34111,16,81.391858
-48435.417755,29,81.442661
-49143.195126,26,81.488539
-49470.77628,18,81.520915
-49033.800391,40,81.591639
-46701.899245,39,81.659462
-38107.810264,141,82.195446
-49384.162126,24,82.244821
-32849.608385,173,82.549403
-49575.67954,27,82.595649
-44150.668531,88,82.748747
-47640.099863,74,82.880974
324052.143657,2196,88.184868
-49246.752935,22,88.224761
-42985.532254,134,88.465567
-49455.578458,29,88.520038
-48078.039502,54,88.618835
-49474.219137,23,88.660631
-49242.043577,21,88.702519
-39232.134119,154,89.309709
-49334.290651,28,89.364598
-49378.105797,28,89.418459
-46848.705999,44,89.499791
-47566.357317,59,89.60727
-49484.5273,22,89.64816
-49435.456709,24,89.694038
-48741.126106,40,89.767842
-48119.392824,29,89.821696
-47549.865484,39,89.894554
-49377.261888,41,89.972132
-49468.317266,23,90.016014
587136.602874,2306,95.696174
-49039.890701,27,95.744845
-32080.637283,161,96.035844
-49365.400769,19,96.071007
206925.909341,841,98.150624
-49635.237209,27,98.197173
-49099.934407,35,98.25801
-48738.529209,23,98.299623
-48872.607453,20,98.335036
-49527.331598,26,98.379916
-49154.972528,25,98.426659
-48827.808321,25,98.471539
-39757.674607,123,98.978754
106755.519324,956,101.225066
-43600.216048,58,101.333902
-44084.589785,105,101.51699
-48994.432406,18,101.548905
-49629.782081,22,101.587801
-49325.035547,30,101.639662
-38832.339763,176,101.960481
-47948.911217,38,102.282424
-49418.793158,25,102.333744
-49595.242309,23,102.382633
-44965.93234,43,102.466917
-44512.064178,43,102.543975
-47179.679861,22,102.583638
-41319.370035,100,102.759852
-19712.154172,337,103.638561
11766.76231,540,104.885581
19239.045771,376,105.806426
152638.257584,1081,108.30574
120486.323736,1026,110.71523
-49589.540829,26,110.76011
-28480.460373,195,111.10424
-48587.73679,62,111.212946
-35844.590799,142,111.731882
-48130.273115,23,111.777759
-38556.695653,158,112.062493
-49088.749015,19,112.096833
-49541.468493,31,112.15368
-47410.731266,24,112.197567
-42977.932786,122,112.415561
-49495.014267,20,112.450498
-48308.222593,33,112.510571
-49649.753089,24,112.806895
-38020.836217,163,113.124424
497022.974581,2171,118.136912
-48491.336162,28,118.186778
-44256.806675,69,118.310447
-28342.663262,184,118.903244
-49351.823844,32,118.962087
323317.862473,1399,122.291688
-49188.859445,24,122.341829
