#{"t_start": 1686144248.723848, "env_id": null}
r,l,t
0.71957,12,1.813513
-1.9048,25,1.868366
-1.911573,24,1.910254
-1.906815,24,1.952142
-1.882154,23,1.993721
-1.880842,23,2.035611
-1.881286,23,2.075474
-1.916441,24,2.11836
-1.883017,23,2.158284
-1.91652,24,2.200166
-1.900514,24,2.243026
-1.902283,24,2.285122
-1.881334,23,2.326012
-1.917701,24,2.368406
-1.919066,24,2.410747
-1.882092,23,2.451356
-1.914803,24,2.493846
-1.918158,24,2.535735
-1.883017,23,2.57712
-1.882094,23,2.618003
-1.9178,24,2.660894
-1.911979,24,2.702792
-1.893186,24,2.744705
-1.917663,24,2.788089
-1.913191,24,2.829977
-1.912722,24,2.872391
-1.899585,24,2.91328
-1.887242,24,2.960738
-1.918146,24,3.00832
-1.916865,24,3.051279
-1.918867,25,3.097217
-1.88286,23,3.137151
-1.901255,24,3.180666
-1.880973,23,3.222598
-1.906378,24,3.265964
-1.900883,24,3.308848
-1.88164,23,3.350986
-1.914083,24,3.394823
-1.8914,24,3.437708
-1.917879,24,3.481391
-1.880175,23,3.522256
-1.883012,23,3.563149
-1.91867,24,3.607066
-1.91486,24,3.649122
-1.880357,23,3.691535
-1.919451,24,3.73385
-1.881447,23,3.775302
-1.880709,23,3.819185
-1.909892,24,3.861998
-1.902703,24,3.904883
-1.882397,23,3.945774
-1.917398,24,3.990056
-1.882214,23,4.029949
-1.89521,24,4.072459
-1.916188,24,4.115344
-1.904745,24,4.157232
-1.881266,23,4.198123
-1.880281,23,4.239013
-1.880424,23,4.279904
-1.919802,24,4.32266
-1.917694,24,4.364556
-1.912791,24,4.407467
-1.903311,24,4.448334
-1.919266,24,4.490225
-1.910224,24,4.532112
-1.918356,24,4.574255
-1.906818,24,4.617141
-1.913478,24,4.659292
-1.880906,23,4.700181
-1.913053,24,4.742089
-1.918356,24,4.786033
-1.918848,24,4.827921
-1.915666,24,4.870392
-1.915134,24,4.913252
-1.91184,24,4.954664
-1.8829,23,4.996391
-1.91444,24,5.038278
-1.915921,24,5.080172
-1.912565,24,5.122084
-1.908774,24,5.164299
-1.882469,23,5.20422
-1.913795,24,5.246081
