#{"t_start": 1686143347.6106515, "env_id": null}
r,l,t
0.613126,21,1.819346
-1.881506,22,1.860237
-1.882004,23,1.901002
-1.874772,21,1.937903
-1.882866,22,1.976571
-1.916921,25,2.020618
-1.884901,23,2.0645
-1.897964,23,2.108383
-1.882595,23,2.149273
-1.915466,23,2.190168
-1.900343,25,2.235305
-1.915986,24,2.28016
-1.885194,21,2.318059
-1.903688,22,2.355985
-1.918468,25,2.400356
-1.912638,22,2.440265
-1.904124,22,2.479248
-1.895127,22,2.519141
-1.887502,25,2.566016
-1.892807,23,2.606907
-1.91834,25,2.652785
-1.90603,23,2.693674
-1.898923,23,2.735079
-1.920035,25,2.780956
-1.921898,25,2.826405
-1.872597,21,2.864303
-1.893091,24,2.906191
-1.892047,25,2.951072
-1.893869,22,2.990997
-1.918493,24,3.035872
-1.906857,23,3.088703
-1.878531,22,3.129898
-1.906253,24,3.17325
-1.901791,22,3.214382
-1.89506,22,3.25543
-1.904173,22,3.296615
-1.906711,24,3.34026
-1.908817,23,3.383146
-1.907568,24,3.42703
-1.918969,24,3.471909
-1.888651,23,3.514149
-1.889351,23,3.560053
-1.886116,24,3.603908
-1.91278,23,3.645798
-1.887948,23,3.688683
-1.9023,25,3.734184
-1.892767,22,3.774755
-1.912962,25,3.822653
-1.875115,25,3.870501
-1.872087,21,3.909136
-1.910081,22,3.950026
-1.895383,25,3.994906
-1.902845,25,4.042017
-1.887677,24,4.087894
-1.889829,23,4.128652
-1.913424,24,4.171566
-1.870726,21,4.20803
-1.905261,22,4.247923
-1.894363,24,4.290808
-1.907784,24,4.334271
-1.909496,24,4.377157
-1.877351,22,4.415952
-1.905605,25,4.460832
-1.913518,25,4.505284
-1.903875,25,4.55188
-1.873208,21,4.5883
-1.89282,24,4.631186
-1.914109,25,4.676065
-1.905833,25,4.720945
-1.896326,22,4.759842
-1.87215,21,4.799237
-1.914737,25,4.84312
-1.896344,25,4.88738
-1.907475,25,4.933258
-1.899366,22,4.972155
-1.900713,23,5.01232
-1.881757,22,5.054184
-1.886474,25,5.100061
-1.891061,22,5.141984
-1.92012,26,5.188867
-1.901153,22,5.230549
-1.903298,24,5.276425
-1.898234,24,5.323299
-1.873165,21,5.362468
-1.911994,23,5.404915
-1.912708,24,5.448326
-1.877202,21,5.486226
-1.907121,24,6.49641
-1.886272,24,6.553258
-1.900025,24,6.603125
-1.891114,24,6.65399
-1.897127,23,6.698655
-1.897249,24,6.746314
-1.919315,26,6.809147
-1.881988,22,6.84979
-1.88763,23,6.89068
-1.886173,24,6.934193
-1.874348,21,6.972463
-1.88852,23,7.013353
-1.87784,22,7.054244
-1.886013,23,7.097129
-1.88693,22,7.137644
-1.879184,21,7.175406
-1.91903,25,7.219313
-1.884383,23,7.2606
-1.912169,24,7.304483
-1.91552,23,7.345398
-1.899435,25,7.389257
-1.902803,24,7.432143
-1.911517,25,7.477023
-1.905651,25,7.521477
-1.873495,21,7.561347
-1.880778,23,7.602238
-1.897099,24,7.645648
-1.904875,22,7.684547
-1.871938,21,7.722062
-1.891708,22,7.761955
