#{"t_start": 1686138836.711105, "env_id": null}
r,l,t
0.706162,12,1.905459
0.598548,16,1.937373
-1.637402,36,2.006189
-1.941795,35,2.068524
-1.916927,27,2.116298
-1.943035,37,2.184614
-1.924082,26,2.231625
-1.948128,66,2.3573
-1.916662,28,2.415145
-1.925876,31,2.490156
-1.902971,26,2.544981
-1.925896,26,2.600855
-1.946354,35,2.678623
-1.948847,74,2.848174
-1.929308,27,2.90106
-1.91765,27,2.956421
-1.907665,25,3.013273
-1.950225,36,3.081132
-1.915629,25,3.134701
-1.91024,26,3.186563
-1.91685,26,3.234435
-1.942682,38,3.308768
-1.94282,59,3.431661
0.085024,37,3.504197
-1.929454,28,3.559078
-1.908819,25,3.610146
0.244008,31,3.6704
-1.904752,25,3.71875
0.305844,28,3.775091
0.106842,39,3.851653
-1.940203,36,3.918757
0.510889,21,3.958817
-1.927955,30,4.01766
-1.723097,20,4.058551
-1.867765,24,4.105425
0.326057,27,4.158284
-1.948973,42,4.237265
-1.887275,24,4.28015
-1.913619,27,4.327992
-1.903917,24,4.371826
-1.945154,47,4.457597
-1.923405,26,4.503475
-1.893983,24,4.549352
-1.929194,28,4.601213
-1.925756,26,4.647091
-1.921733,25,4.689975
-1.932361,30,4.741838
-1.929805,55,4.837264
-1.914532,25,4.881737
-1.930593,33,4.938546
-1.918892,26,4.986411
-1.911361,26,5.03203
-1.933513,31,5.086609
-1.918966,26,5.132487
-1.917993,25,5.1765
-1.913212,29,5.229359
-1.942004,31,5.283215
-1.911571,26,5.329092
-1.914314,28,5.377977
-1.91386,27,5.424306
-1.920559,26,5.470184
-1.918721,27,5.517059
-1.94705,34,5.578893
-1.94059,36,5.641242
-1.918112,27,5.689114
-1.685404,21,5.724661
-1.909705,25,5.76803
-1.89548,24,6.813261
-1.913195,27,6.865824
0.207957,28,6.922673
-1.898342,24,6.96955
-1.92377,28,7.020414
-1.928943,42,7.093569
-1.91743,26,7.14144
-1.915192,25,7.186266
-1.940517,34,7.247228
-1.895257,25,7.291159
-1.94519,40,7.360972
-1.892775,24,7.402889
-1.902932,24,7.444747
-1.93533,38,7.511263
-1.924305,26,7.557415
-1.893341,24,7.599147
-1.909506,25,7.643025
-1.920688,27,7.695412
-1.763366,22,7.738084
-1.912356,26,7.786493
-1.91193,24,7.834243
-1.92631,28,7.892087
-1.946716,35,7.957912
-1.924891,30,8.017752
-1.899087,26,8.072134
-1.920548,30,8.134967
0.259433,33,8.202785
-1.923712,25,8.250658
-1.928527,28,8.304181
0.153045,38,8.372
-1.926844,34,8.432837
0.087577,33,8.49168
-1.923753,25,8.53656
-1.95355,45,8.615894
-1.95224,52,8.707649
-1.904687,25,8.751532
-1.900387,25,8.795539
-1.925013,40,8.868612
-1.925557,27,8.918479
-1.941862,38,8.990287
-1.920281,26,9.037162
-1.916326,27,9.088025
-1.923657,27,9.137892
0.274108,35,9.213267
0.217093,30,9.270272
-1.940704,34,9.334506
-1.89793,25,9.381811
-1.916901,46,9.468278
-1.933046,31,9.525128
-1.910522,24,9.56855
-1.921756,27,9.617419
-1.914419,27,9.666177
0.186282,40,9.736989
-1.705893,19,9.772894
0.411414,22,9.81179
-1.900695,25,9.856575
-1.694204,20,9.893476
-1.904148,25,9.939175
-1.92242,25,9.985998
-1.905577,24,10.028884
-1.919865,25,10.074586
0.299645,36,10.139713
-1.907948,25,10.188582
-1.906931,24,10.233769
-1.905748,25,10.279957
-1.902145,36,10.346665
-1.892513,24,10.390058
-1.910677,25,10.435283
0.376102,23,10.475149
-1.921056,30,10.5272
-1.920154,29,11.660004
-1.911012,27,11.713861
-1.922986,29,11.772718
-1.755754,22,11.817598
-1.927134,27,11.868462
-1.889812,24,11.912345
-1.89989,25,11.956228
-1.901875,25,12.003103
0.383038,29,12.056246
-1.889925,24,12.099131
-1.9062,25,12.143611
-1.894111,24,12.186862
0.268123,33,12.246701
-1.913023,26,12.295143
-1.921909,29,12.347532
-1.920067,29,12.397903
-1.907464,25,12.443255
-1.940032,33,12.500553
-1.928458,31,12.555405
-1.910072,25,12.600125
-1.916796,25,12.645714
0.279595,32,12.70322
-1.896416,24,12.747103
-1.933502,35,12.809125
-1.932531,28,12.858991
-1.921823,31,12.913845
-1.94614,40,12.986445
-1.515587,15,13.01437
-1.924882,27,13.061244
-1.907403,26,13.107122
-1.942399,35,13.168957
-1.930836,30,13.222395
-1.924346,27,13.27326
-1.902289,25,13.321132
-1.907211,24,13.366012
-1.891038,25,13.414458
-1.905601,25,13.461333
0.36464,25,13.506213
-1.919548,25,13.553076
-1.894307,24,13.598035
-1.89779,25,13.656437
-1.922527,28,13.712157
-1.92514,28,13.764018
-1.911784,26,13.814412
-1.936581,36,13.881201
-1.912587,26,13.936055
-1.909526,25,13.9885
-1.896253,24,14.034377
-1.935365,34,14.100201
-1.901936,25,14.150068
-1.904333,24,14.198734
-1.587055,18,14.234228
-1.907707,26,14.283086
-1.950102,43,14.365865
-1.947759,45,14.452349
-1.932198,29,14.507202
-1.928679,31,14.566045
-1.933306,29,14.618931
-1.932359,36,14.686542
-1.924541,27,14.742393
-1.892372,24,14.786294
-1.702781,20,14.824985
-1.905896,24,14.86887
-1.901534,25,14.915237
-1.896919,24,14.959769
-1.930213,32,15.019918
-1.908588,25,15.065794
-1.919774,26,15.113199
-1.92308,25,15.1571
-1.8963,24,15.208962
-1.92302,29,15.284477
-1.613411,19,15.334547
-1.898333,25,15.392431
-1.893106,50,15.511603
-1.898581,25,16.665198
-1.939588,36,16.749971
-1.91663,26,16.812324
-1.926898,30,16.879145
-1.911964,25,16.929231
-1.702034,20,16.972117
-1.923122,25,17.025083
-1.904609,26,17.079937
-1.922091,26,17.133334
-1.895811,25,17.183199
-1.915647,27,17.238054
0.339045,27,17.292907
-1.915779,26,17.345765
-1.820237,29,17.407013
-1.693743,22,17.45289
-1.933212,32,17.519813
-1.927125,27,17.568683
-1.909398,25,17.612087
-1.923865,29,17.664068
-1.946094,38,17.73144
-1.902883,25,17.775672
-1.940495,41,17.847481
-1.908862,25,17.891444
-1.933942,34,17.950287
-1.951934,44,18.028078
-1.904991,25,18.071961
-1.884923,24,18.11411
-1.918958,28,18.162956
-1.911169,26,18.208832
-1.906912,26,18.25471
-1.934163,34,18.315547
-1.899627,24,18.357435
-1.907808,25,18.400928
-1.494328,14,18.426859
-1.863579,38,18.491686
-1.908876,26,18.538129
-1.870466,37,18.60495
-1.922623,34,18.666785
-1.945354,44,18.746488
-1.914721,25,18.791368
-1.909444,26,18.83924
-1.900841,25,18.883122
-1.905336,26,18.929125
-1.934757,30,18.981779
-1.742961,25,19.025621
-1.801389,25,19.069479
-1.837051,24,19.111367
-1.811052,22,19.150262
-1.899357,26,19.195143
-1.936454,29,19.246352
-1.919348,27,19.293762
-1.898046,25,19.337195
-1.939337,45,19.415098
0.312216,27,19.462996
-1.902596,25,19.507789
-1.924028,26,19.55256
-1.906553,25,19.595699
-1.928257,40,19.665296
-1.905051,26,19.71015
-1.899923,26,19.756028
-1.932128,39,19.823269
-1.897019,24,19.864159
-1.914196,27,19.911063
-1.809982,23,19.951924
-1.922216,25,19.995773
-1.950589,35,20.05664
-1.896348,24,20.099501
-1.928884,27,20.147009
-1.939059,40,20.216858
-1.909916,26,20.262404
-1.9274,29,20.312271
-1.913779,27,20.360143
-1.9036,26,20.405023
-1.917183,26,21.380148
-1.937433,30,21.441698
-1.921705,30,21.500259
0.357937,24,21.547135
-1.941672,31,21.601023
-1.913472,26,21.648895
-1.943118,42,21.7217
