#{"t_start": 1685861068.0000076, "env_id": null}
r,l,t
112.0,23,2.029907
121.0,25,2.078982
123.0,25,2.127864
93.0,19,2.163954
390.0,79,2.317544
127.0,26,2.367913
90.0,19,2.403918
108.0,22,2.450826
106.0,22,2.498176
326.0,66,2.628111
106.0,22,2.673987
103.0,21,2.714882
145.0,30,2.775718
129.0,26,2.826582
117.0,24,2.874022
142.0,29,2.93666
131.0,27,2.990515
123.0,25,3.042377
129.0,26,3.097852
148.0,30,3.169908
141.0,29,3.259668
88.0,18,3.301063
126.0,26,3.361168
114.0,23,3.412867
103.0,21,3.459743
105.0,22,3.50978
90.0,19,3.550702
102.0,21,3.592625
164.0,33,3.658707
166.0,34,3.725353
101.0,21,3.769236
98.0,20,3.809045
120.0,25,3.859934
57.0,12,3.884842
114.0,23,3.932714
282.0,57,4.047407
322.0,65,4.180735
115.0,24,4.23562
143.0,29,4.297061
102.0,21,4.352906
101.0,21,4.396384
557.0,112,4.612861
132.0,27,4.664696
324.0,65,4.79172
111.0,23,4.835603
480.0,97,5.023991
106.0,22,5.06588
173.0,35,5.132685
182.0,37,5.205949
131.0,27,5.262797
89.0,18,5.299698
612.0,123,5.557185
139.0,28,5.616134
106.0,22,5.656029
159.0,32,5.722849
90.0,19,5.75975
286.0,58,5.875476
591.0,119,6.11595
102.0,21,6.157839
102.0,21,7.178725
546.0,110,7.397083
95.0,20,7.433197
112.0,23,7.47708
1297.0,260,8.03011
104.0,21,8.070005
2410.0,483,8.965825
552.0,111,9.204189
155.0,32,9.271599
121.0,25,9.32397
1560.0,313,10.19119
3234.0,647,12.892929
126.0,26,12.948942
269.0,54,13.060922
244.0,49,13.150721
129.0,26,13.200592
2191.0,439,14.009165
122.0,25,14.056446
452.0,91,14.219035
85.0,18,14.250917
634.0,127,14.483933
139.0,28,14.538665
1463.0,293,15.068727
95.0,20,15.105674
2975.0,596,16.261285
128.0,26,16.307067
1479.0,296,17.90065
119.0,24,17.949519
85.0,18,17.981724
431.0,87,18.133368
129.0,26,18.180218
1593.0,319,18.734326
164.0,33,18.793169
113.0,23,18.834059
145.0,30,18.886589
869.0,174,19.187648
237.0,48,19.270512
145.0,30,19.32337
169.0,34,19.381737
1604.0,342,19.974296
3916.0,784,21.327794
113.0,23,22.366167
289.0,58,22.486209
5877.0,1176,24.785081
3244.0,649,25.975347
293.0,59,26.14259
679.0,136,27.433154
357.0,72,27.579609
747.0,150,27.864143
943.0,189,28.203928
200.0,41,28.278285
143.0,29,28.329885
175.0,36,28.395234
122.0,25,28.440331
247.0,50,28.535077
2266.0,454,29.342296
99.0,20,29.3777
140.0,29,29.427725
430.0,87,29.5863
161.0,33,29.645327
275.0,56,29.744885
102.0,21,29.781787
482.0,97,29.953509
107.0,22,29.995958
117.0,24,30.038844
1435.0,288,30.584587
177.0,36,30.650414
357.0,72,30.804002
120.0,25,30.857859
4221.0,845,33.456355
552.0,111,33.65679
1326.0,266,34.12999
563.0,113,34.327192
449.0,90,34.483763
862.0,173,34.783184
378.0,76,34.918713
205.0,42,34.994
375.0,76,35.131451
3866.0,774,37.511465
542.0,109,37.703217
574.0,115,37.904461
164.0,33,37.9663
758.0,152,38.237559
1122.0,225,38.637693
410.0,83,38.787293
366.0,74,38.919717
101.0,21,38.95662
433.0,87,39.111271
126.0,26,39.157733
160.0,33,39.215579
5667.0,1134,42.239735
2632.0,527,43.206361
121.0,25,43.29048
1745.0,350,43.949084
4558.0,912,46.709821
1202.0,241,47.143439
349.0,70,47.352165
787.0,158,47.725527
1338.0,268,48.296917
1299.0,260,48.844087
1806.0,362,49.613727
736.0,148,49.927422
533.0,107,50.15607
1409.0,282,51.775933
5177.0,1036,53.969032
2689.0,538,54.974053
576.0,116,55.257787
1258.0,252,55.828138
3005.0,602,58.2684
727.0,146,58.557269
1105.0,222,59.007082
4924.0,985,60.987025
2784.0,557,63.421303
135.0,28,63.478503
118.0,24,63.529178
516.0,104,63.733073
154.0,31,63.794452
233.0,47,63.885656
185.0,38,63.966238
119.0,24,64.023877
583.0,117,64.252326
966.0,194,64.64439
2094.0,419,65.496046
1501.0,301,66.18189
1851.0,371,68.231851
1190.0,239,68.692216
11011.0,2203,73.824626
132.0,27,73.872134
825.0,166,74.17153
137.0,28,74.22011
651.0,131,74.45274
1987.0,398,75.170834
163.0,33,75.259733
177.0,36,75.33187
400.0,81,75.475213
3840.0,769,78.159543
1231.0,247,78.702365
922.0,185,79.09479
2150.0,431,79.899609
792.0,159,80.204974
124.0,25,80.251981
1455.0,292,80.817193
813.0,163,81.13332
1921.0,385,81.879384
380.0,77,82.026518
1295.0,260,83.667603
1915.0,384,84.418939
1514.0,303,85.013646
333.0,67,85.143861
88.0,18,85.17777
1616.0,324,85.833081
2426.0,486,86.773523
297.0,60,86.889317
1123.0,225,88.385063
2248.0,450,89.278393
3198.0,640,90.514878
125.0,26,90.567204
144.0,29,90.622768
1188.0,238,91.087034
1397.0,280,91.650343
247.0,50,91.748179
2862.0,573,93.894925
1246.0,250,94.377043
2761.0,553,95.439898
4319.0,864,97.147099
2248.0,450,99.106458
3016.0,604,100.286682
1644.0,329,100.924713
123.0,25,100.976575
2961.0,593,102.122531
178.0,36,102.193371
2453.0,491,104.241992
1652.0,331,104.892446
77.0,16,104.924209
10011.0,2003,109.918884
737.0,148,110.183358
541.0,109,110.382437
341.0,69,110.50904
669.0,134,110.755988
418.0,84,110.909724
182.0,37,110.97854
5660.0,1133,114.078078
216.0,44,114.160225
2653.0,531,115.135647
9029.0,1806,119.474635
130.0,27,119.524531
2913.0,583,120.592612
504.0,101,120.778325
938.0,188,121.121438
2549.0,510,123.077184
1889.0,378,123.78937
1206.0,242,124.236963
267.0,54,124.335353
532.0,107,124.533191
502.0,101,124.719031
2781.0,557,125.736185
3690.0,739,128.133169
477.0,96,128.311343
1005.0,202,128.693337
2071.0,415,129.452253
988.0,198,129.823683
960.0,193,130.173772
850.0,171,130.4842
847.0,170,130.795522
341.0,69,130.919974
1147.0,230,131.341621
219.0,44,131.421408
1049.0,210,132.814337
631.0,127,133.048128
2924.0,585,134.150899
2343.0,469,135.006208
604.0,121,135.227994
1060.0,213,135.614922
1408.0,282,136.131034
1875.0,376,137.828959
663.0,133,138.071282
860.0,173,138.390263
1014.0,203,138.77168
1583.0,317,139.348927
1698.0,340,139.970263
3278.0,656,142.166028
4600.0,921,143.910135
2520.0,505,144.795339
184.0,37,144.863185
620.0,125,145.082481
1097.0,220,145.461908
168.0,34,145.52244
2834.0,567,147.640071
2139.0,428,148.39661
245.0,50,148.485888
2006.0,402,149.219395
994.0,199,149.575135
858.0,172,149.875691
1076.0,216,150.253885
706.0,142,150.502
483.0,97,151.69115
2585.0,518,152.652079
428.0,86,152.810847
2165.0,434,153.630852
2040.0,409,154.339419
145.0,30,154.392131
618.0,124,154.607757
364.0,73,154.737566
413.0,83,154.880266
1863.0,373,156.560693
853.0,171,156.862004
341.0,69,156.984028
2071.0,415,157.704035
176.0,36,157.768289
1629.0,326,158.332723
1124.0,225,158.737253
1030.0,207,159.160762
2230.0,447,160.086195
841.0,169,161.697159
508.0,102,161.922885
1902.0,464,162.919361
452.0,91,163.099345
152.0,31,163.157191
146.0,30,163.213042
646.0,130,163.457599
4400.0,953,165.310133
2222.0,445,167.229788
3873.0,775,168.738147
2513.0,503,169.718927
74.0,15,169.74777
659.0,132,170.007268
494.0,99,170.200129
345.0,70,170.338984
703.0,141,171.694122
810.0,163,172.03262
756.0,152,172.333519
1184.0,237,172.805986
539.0,108,173.014337
2256.0,452,173.898258
473.0,95,174.080043
1087.0,218,174.502107
3223.0,645,176.838028
779.0,156,177.150461
975.0,196,177.536962
114.0,23,177.584942
3527.0,706,178.966536
1087.0,218,179.395318
222.0,45,179.4833
238.0,48,179.616944
667.0,134,179.886739
5755.0,1152,183.220849
802.0,161,183.54251
312.0,63,183.666435
2546.0,510,184.660556
1817.0,364,185.397682
409.0,82,185.560004
708.0,142,185.835467
947.0,190,187.279046
3508.0,702,188.632808
6281.0,1257,192.102873
2162.0,433,192.963066
6123.0,1225,195.326358
595.0,120,195.559519
422.0,85,195.729449
1656.0,332,197.458797
1468.0,294,198.03602
587.0,118,198.265939
283.0,57,198.3745
162.0,33,198.440631
276.0,56,198.550166
1479.0,296,199.126713
1468.0,294,199.69504
3156.0,632,200.959373
311.0,63,201.081137
238.0,48,202.190789
1273.0,255,202.695177
4604.0,921,204.481174
3558.0,712,205.878983
157.0,32,205.943127
795.0,160,207.298432
507.0,102,207.497319
306.0,62,207.62329
3393.0,679,208.955664
332.0,67,209.084949
900.0,181,209.442627
498.0,100,209.633944
376.0,76,209.783645
168.0,34,209.854455
295.0,60,209.96951
702.0,141,210.245015
725.0,146,210.52656
283.0,57,210.638264
779.0,156,210.946663
1120.0,225,212.50128
236.0,48,212.604361
223.0,45,212.69104
190.0,39,212.767862
129.0,26,212.820721
525.0,106,213.028635
301.0,61,213.149554
362.0,73,213.300343
211.0,43,213.381143
465.0,94,213.570995
155.0,32,213.633358
299.0,60,213.748953
1984.0,397,214.524938
305.0,62,214.64921
174.0,35,214.718915
279.0,56,214.834605
689.0,138,215.099564
2881.0,577,216.215704
383.0,77,217.426689
1329.0,266,217.959412
177.0,36,218.032245
335.0,68,218.165138
403.0,81,218.323953
2232.0,447,219.198245
874.0,175,219.545242
440.0,89,219.717945
454.0,91,219.944151
2047.0,410,220.745173
1217.0,265,221.279426
4345.0,870,224.139577
1567.0,314,224.754079
469.0,94,224.934489
512.0,103,225.135714
1392.0,279,225.675122
727.0,146,225.960194
1779.0,356,227.708019
935.0,188,228.093065
1889.0,378,228.830349
129.0,26,228.882211
938.0,188,229.248034
306.0,62,229.369699
356.0,72,229.509204
772.0,168,229.8345
151.0,31,229.895903
138.0,28,229.949276
1314.0,263,230.459173
292.0,59,230.574439
198.0,40,230.650765
499.0,100,230.844862
1626.0,422,232.698282
188.0,38,232.785517
942.0,189,233.165835
4322.0,865,234.848489
251.0,51,234.946721
635.0,128,235.193758
1964.0,493,236.15407
1696.0,340,237.887348
7827.0,1566,240.913359
922.0,185,241.269289
348.0,70,241.405365
1082.0,217,242.879621
1400.0,281,243.439063
134.0,27,243.492345
783.0,157,243.805553
177.0,36,243.875366
528.0,106,244.121929
151.0,31,244.181226
3021.0,605,245.355521
747.0,150,245.646778
652.0,131,245.899165
424.0,85,246.062996
3250.0,753,248.638576
519.0,104,248.843607
3297.0,660,250.121601
1087.0,218,250.540377
272.0,55,250.652201
459.0,92,250.831614
1662.0,333,251.475697
1709.0,342,253.238796
365.0,74,253.379543
397.0,80,253.542158
347.0,70,253.679699
3852.0,771,255.192206
934.0,187,255.556603
582.0,117,255.788203
3515.0,704,258.200415
1923.0,385,258.96541
135.0,28,259.018811
382.0,77,259.169539
136.0,28,259.224392
1383.0,277,259.765806
922.0,185,260.122767
74.0,15,260.150668
161.0,33,260.215497
211.0,43,260.299864
2252.0,458,261.19131
745.0,150,261.480668
2792.0,559,263.617259
2711.0,543,264.676292
1630.0,327,265.361158
2049.0,410,266.179901
73.0,15,266.21256
908.0,182,266.575971
11117.0,2224,272.05655
6993.0,1399,275.999368
644.0,129,276.283221
85.0,18,276.323113
4328.0,866,279.178861
100.0,21,279.226734
1015.0,204,279.615108
7719.0,1544,282.610771
3441.0,689,284.839881
113.0,23,284.88177
501.0,101,285.061697
113.0,23,285.102589
269.0,54,285.197586
115.0,24,285.239474
551.0,111,285.433113
979.0,196,285.77511
123.0,25,285.8189
3486.0,698,287.048599
365.0,74,287.180338
1025.0,206,288.503018
1606.0,322,289.092973
522.0,105,289.291618
141.0,29,289.344202
585.0,118,289.553115
118.0,24,289.596006
242.0,49,289.683224
220.0,45,289.762501
586.0,118,289.967512
2283.0,457,290.78247
1409.0,282,291.27128
147.0,30,291.323742
126.0,26,291.369129
711.0,143,291.618244
691.0,139,291.856631
106.0,22,291.895558
361.0,73,293.028238
850.0,171,293.3346
136.0,28,293.384467
142.0,29,293.43458
135.0,28,293.485444
131.0,27,293.533148
120.0,25,293.577936
307.0,62,293.686201
140.0,29,293.739059
140.0,29,293.789474
872.0,175,294.095235
1224.0,245,294.51987
