#{"t_start": 1685854714.5312827, "env_id": null}
r,l,t
-50043789.617188,12,1.793628
-50124946.73584,29,1.853304
-50255095.60498,65,1.968766
-50306214.73999,86,2.122313
-50182497.212891,49,2.20912
-50097886.976562,23,2.249678
-50110787.557129,27,2.298155
-50108321.043457,26,2.343035
-50080417.318359,20,2.377969
-50052631.526367,13,2.400908
-50056520.818359,14,2.426839
-50108102.171387,25,2.472716
-52702972.520386,576,3.812693
-50049736.848145,12,3.835631
-50100912.240723,24,4.161843
-50089531.172119,22,4.209254
-50088966.785645,21,4.252815
-50125714.764648,30,4.313652
-50085654.592773,20,4.354543
-50103662.206543,25,4.397428
-50082945.429199,20,4.434109
-50087461.973389,24,4.476791
-50110463.264404,27,4.524662
-50099886.058594,24,4.568547
-50102543.788574,24,4.609715
-50110621.254883,26,4.65562
-50090330.054199,21,4.693162
-50113505.999512,27,4.743338
-50079412.731689,21,4.780218
-50091751.783203,22,4.822756
-50124197.116699,30,4.876821
-50276085.930664,72,5.004604
-50085732.479004,20,5.040509
-50079729.871094,19,5.07552
-50081410.67334,19,5.37779
-50121866.899414,29,5.437631
-50135960.972656,33,5.505451
-50118221.091797,29,5.560696
-50377461.246826,121,5.77169
-50100332.377441,24,5.818564
-50096751.783691,23,5.85897
-50081944.214355,20,5.895872
-50095967.858398,23,5.936762
-50105139.916504,25,5.981698
-50104015.874023,25,6.036551
-50196164.485352,49,6.128581
-50093171.018066,22,6.167913
-50526860.401123,169,6.760864
-50264373.306885,92,6.919493
-50089629.919434,21,6.958496
-50179454.628174,50,7.04861
-50211873.785645,53,7.144431
-50092284.03418,22,7.183942
-50245892.26355,76,7.318585
-50110843.266113,26,7.36493
-50083948.457031,20,7.401807
-50095194.432617,23,7.442698
-50133942.366699,32,7.758693
-50111519.132324,26,7.812549
-50109231.302734,26,7.86519
-50092989.080078,23,7.91007
-50104249.091797,25,7.952866
-50102947.275391,24,7.995091
-50164245.651367,40,8.067194
-50093212.092285,22,8.106089
-50066916.294434,16,8.13559
-50163947.326416,40,8.207926
-50123423.123535,29,8.258176
-50085593.91626,21,8.29807
-50084699.5,20,8.333974
-50175709.459961,43,8.408856
-50104696.54541,25,8.453709
-50131229.625244,32,8.509397
-50095001.144043,22,8.547831
-50082604.493652,22,8.58713
-50081930.895996,19,8.621075
-50082400.834961,20,8.923798
-50080774.297852,19,8.963076
49620745.925301,172,9.295131
-50088785.732422,21,9.33347
-50100671.064453,24,9.377009
-50138810.533691,33,9.436468
-50116416.234863,27,9.485516
-50091156.680664,21,9.525156
-50105530.866211,25,9.569747
-50126420.571777,30,9.624601
-50120895.921387,29,9.67698
-50078539.966064,19,9.711792
-50086380.522461,20,9.748693
-50112011.008301,26,9.795567
-50104066.517578,25,10.103487
-50093747.878906,22,10.147369
-50127160.795898,31,10.212701
-50482302.358582,264,10.680434
-50086691.508789,20,10.716201
-50095568.14502,23,10.756094
-50080000.628418,19,10.790004
-50110774.763672,26,10.834886
-50132974.432129,31,10.889771
-50094522.449219,23,10.930684
-50101520.032715,25,10.975456
-50069810.506348,17,11.273666
-50163955.406738,52,11.380381
-50178996.827637,48,11.477698
-50087640.142578,21,11.516283
-50123750.800537,30,11.568661
-51771761.137604,616,12.929191
-51051877.599976,409,13.926717
-50125900.376709,30,13.979086
-50158254.019531,38,14.045909
-50092601.754883,23,14.085824
-51415512.916748,356,15.011471
-50112804.182129,27,15.059343
-50145684.953857,35,15.122686
-50322456.707718,190,15.451369
-50498320.592896,180,16.03816
-50107880.127197,27,16.091019
-50119981.205078,30,16.145873
-50095512.80542,24,16.187762
-50109740.739258,26,16.243134
-50126175.335938,30,16.299982
-50098700.579102,23,16.339262
-50102056.782227,24,16.382175
-50117605.874512,28,16.432203
-50113651.229004,27,16.480075
-50101684.480957,24,16.525038
-50109638.439697,28,16.575907
-50127631.243896,31,16.63076
-50271260.808105,81,16.770391
-50110509.100586,26,16.816805
-50095608.572754,23,17.150741
-50108514.604492,26,17.204598
-50088918.663086,21,17.247954
-50096828.029297,23,17.292834
-50131734.291748,32,17.351006
-50091037.050781,22,17.389903
-50074642.580566,18,17.42082
-50099605.886719,24,17.462881
-50141456.164307,34,17.523723
-50104242.094238,24,17.566608
-50265101.325928,73,17.695094
-50090665.70752,21,17.732067
-50089392.996582,21,17.769964
-50082732.847656,20,17.804432
-50098147.621582,23,17.845887
-50116281.141357,28,17.893728
-50077948.35498,20,17.929946
-50096818.914062,23,17.971833
-50120290.643311,31,18.027937
-50112752.850098,26,18.338161
-50097560.71875,23,18.386032
-50095746.243164,22,18.43191
-50118997.624756,28,18.486763
-50115223.649414,27,18.533638
-50090058.753418,21,18.570813
-50101599.375488,24,18.613698
-50391923.019531,155,18.882012
-50093265.969727,22,18.921533
-50108814.536133,25,18.966101
-50092522.332031,22,19.004997
-50116960.662598,28,19.054353
-50072814.31543,18,19.086268
-50285871.354248,75,19.469752
-50133880.056641,31,19.5331
-50089853.761719,21,19.577487
-50199467.208008,61,19.689729
-50110964.65625,32,19.746966
-50094072.74707,23,19.786836
-50097931.409668,23,19.827728
-50089665.994141,21,19.864629
-50135241.857422,32,19.919505
-50190524.623291,45,19.997526
-50133496.526367,33,20.055407
-50115798.162109,27,20.10527
-50110237.242188,26,20.150664
-50077712.20459,19,20.184573
-50126149.930176,30,20.23746
-50092647.093262,22,20.276355
-50110246.410645,26,20.323924
-50090447.241699,21,20.607445
-50095053.234863,22,20.654107
-50240253.890381,59,20.770886
-50204949.427734,51,20.859649
-50079258.98584,19,20.893558
-50113643.988281,27,20.94143
-50097269.725098,23,20.981323
-50110490.121094,26,21.027806
-50075349.106934,18,21.059721
-50098183.367676,23,21.10061
-50082515.51123,20,21.136545
-50095147.275879,22,21.175441
-50077892.127686,20,21.210139
-50082958.967285,20,21.247013
-50098186.04248,23,21.287904
-50097149.873535,23,21.336777
-50115899.363281,27,21.391631
-50097338.483398,23,21.433099
-50074706.540527,18,21.464989
-50059637.777832,14,21.489922
-50102729.98291,24,21.827752
-50112569.945312,26,21.882606
-50075446.80249,19,21.922026
-50119661.856445,29,21.98087
-50103305.009277,24,22.025951
-50092185.464355,22,22.06385
-50104433.130371,25,22.107732
-50214132.651611,72,22.235688
-50081159.48291,20,22.269597
-50112537.779297,26,22.315474
-50090499.410645,21,22.353374
-50105961.521973,25,22.398252
-50108275.003906,25,22.442484
-50058276.641602,14,22.467416
-50090284.230957,21,22.50332
