#{"t_start": 1685854230.286453, "env_id": null}
r,l,t
-5029787.816803,19,1.830935
-5078116.22168,19,1.876313
-5103714.762207,25,1.920339
-5103913.987305,25,1.964223
-5086871.689453,21,2.001527
-5087080.062988,21,2.038917
-132258.858398,20,2.07557
-106854.754395,14,2.101067
-5089624.13916,22,2.14096
-5085508.233398,22,2.179856
-5206668.199219,52,2.272276
-5084248.744141,20,2.310379
-5102420.256104,26,2.355486
-5084260.655273,20,2.391389
-5114836.236328,27,2.439636
-5107573.448242,26,2.485517
-5111205.292969,27,2.533416
-5116424.816895,28,2.582969
-115120.976562,16,2.611892
-5071524.285889,18,2.645802
-5119221.150391,29,2.697937
-297349.318604,67,3.099441
-5106590.754883,26,3.151303
-5064965.899658,16,3.18284
-141019.047363,24,3.224728
-5105834.688477,25,3.271217
-126013.34668,19,3.306795
-153294.001465,26,3.353211
-5138820.456299,34,3.41282
-5090806.487305,22,3.451401
-5122409.306152,30,3.504185
-5090847.427734,22,3.543125
-5087494.109375,21,3.588082
-5093555.057129,23,3.631181
-5095497.0354,25,3.678487
-128217.852783,20,3.715519
-5094619.007812,23,3.758564
-5099586.09668,24,3.804442
-5244207.313477,60,4.198098
-5058290.573486,15,4.231009
-5065970.751221,17,4.266917
-5109372.167969,27,4.325269
-5162534.048096,44,4.412039
-5084408.260254,22,4.461906
-5100920.476074,24,4.510775
-5088871.396973,21,4.548735
-114586.231445,16,4.577654
-5087095.12207,22,4.620056
-5104704.030273,25,4.664936
-5116976.841797,28,4.714803
-5095154.554443,24,4.758369
-5112627.713867,27,4.808237
-5097354.214355,23,4.850126
-5116717.467285,29,4.929911
-5106656.33252,26,4.979808
-130415.996094,20,5.017676
-5097640.180664,23,5.062459
-5108037.991699,26,5.110331
-5111359.37793,27,5.160269
-5098256.502441,25,5.535675
-5141043.64624,34,5.610282
-171118.415039,29,5.672121
-130309.067139,20,5.714008
-5096912.682617,24,5.758021
-5101586.012207,24,5.80444
-150998.157959,25,5.853311
-135033.624512,21,5.891914
-5072028.247803,18,5.924826
-5074181.85498,18,5.957738
-5076638.356934,19,5.991828
-5082424.549561,20,6.029727
-244432.598389,51,6.122068
-213433.594727,42,6.19839
-87623.819336,10,6.216342
-5089198.165527,22,6.257506
-165481.864258,28,6.308338
-5194632.992432,50,6.400098
-5118034.591797,30,6.456136
-5108589.80957,26,6.778697
-5083954.935547,20,6.826572
-5093933.445801,23,6.874955
-122739.14209,18,6.91137
-5159288.490479,45,6.992408
-5175311.396484,47,7.076298
-5098922.354004,27,7.124699
-5085797.658936,21,7.168154
-5137942.020508,34,7.232854
-5077086.6875,19,7.26876
-5071786.842773,18,7.304662
-5095963.894287,24,7.34719
-155833.815918,26,7.396087
-5124186.417969,32,7.453905
-5115566.04834,28,7.504279
-5087161.945801,22,7.543174
-5091797.898438,22,7.583215
