#{"t_start": 1685859926.7832637, "env_id": null}
r,l,t
-358.0,3501,10.1566
-158.0,4041,20.158538
-1089.0,4038,30.160331
-1165.0,4067,40.162926
-864.0,4068,50.164891
-933.0,4100,60.166817
-2179.0,4139,70.167954
-12194.0,4119,80.169085
-1064.0,4090,90.170213
-1120.0,3963,100.17208
-1865.0,3776,110.173879
-7327.0,3741,120.175046
-2340.0,3934,130.176486
-2960.0,3508,140.178946
-2378.0,3573,150.180955
-2146.0,4097,160.18266
-7448.0,4165,170.183221
-123.0,4075,180.185443
-106.0,4006,190.357179
-3387.0,4023,200.358375
-878.0,3914,210.360636
-112.0,3864,220.362484
-106.0,4007,230.363859
404.0,20,230.403291
-1136.0,3918,240.404502
-1120.0,3969,250.406356
-914.0,3285,260.416574
-3656.0,3915,270.418671
-4406.0,3995,280.420851
-322.0,3996,290.422258
-685.0,3896,300.423836
-120.0,3995,310.424971
-1067.0,3999,320.426613
277.0,45,320.508903
254.0,50,320.599044
-430.0,3954,330.601726
-1564.0,3892,340.604405
-7793.0,4045,350.605636
-816.0,4048,360.606326
-4705.0,4039,370.608356
-370.0,4048,380.610038
-1114.0,3959,390.612486
-1431.0,4028,400.615339
-1010.0,3983,410.617657
-195.0,3976,420.619721
260.0,49,420.709484
-5976.0,4066,430.711619
-112.0,3984,440.713268
353.0,30,440.770088
-58.0,3957,450.770982
-174.0,3937,460.772921
-2458.0,4031,470.773959
-55.0,3921,480.777078
-2676.0,4007,490.777899
-2413.0,4005,500.779919
-5004.0,4051,510.781503
-4080.0,3999,520.782273
-2889.0,3879,530.785543
-2737.0,4076,540.78707
-715.0,4037,550.790062
-359.0,4028,560.791383
-283.0,4013,570.793458
-2676.0,3995,580.79395
-996.0,3944,590.796526
302.0,40,590.872686
121.0,76,591.012289
-268.0,3851,601.013183
-7556.0,4161,611.162636
-2944.0,4258,621.164055
-2699.0,4183,631.165288
-125.0,4059,641.173255
-7393.0,4243,651.175582
-77.0,4151,661.176806
-194.0,3921,671.178063
-4536.0,4185,681.268407
324.0,36,681.343175
-45.0,110,681.547692
-244.0,4240,691.548631
-740.0,4114,701.67265
-562.0,4177,711.674145
-67.0,4211,721.675701
-67.0,4112,731.722414
-366.0,4221,741.724351
-45.0,4224,751.726271
-3081.0,4055,761.950469
-55.0,4075,771.951242
-84.0,4252,781.953891
