#{"t_start": 1686132449.025777, "env_id": null}
r,l,t
-0.9861,140,2.053407
-0.9858,143,2.304515
-0.9932,69,2.424256
-0.9912,89,2.577845
-0.9977,24,2.621728
-0.9779,222,3.008664
-0.9891,110,3.199395
-0.9689,312,3.752065
-0.9939,62,3.862126
-0.9799,202,4.243059
-0.9866,135,4.484414
-0.9844,157,4.762571
-0.9819,182,5.079724
-0.9696,305,5.862669
-0.9309,692,7.103866
-0.9939,62,7.220567
-0.9764,237,7.700013
-0.9504,497,8.619041
-0.9959,42,8.693602
-0.9846,155,8.970515
-0.982,181,9.297533
-0.9725,276,10.021904
-0.9791,210,10.416847
-0.9816,185,10.761318
-0.9923,78,10.904556
-0.9869,132,11.15788
-0.9771,230,11.56672
-0.9981,20,11.602718
-0.9974,27,11.651586
-0.9873,128,11.878675
-0.9875,126,12.108437
-0.9824,177,12.423761
-0.9817,184,12.746574
-0.9774,227,13.142724
-0.9938,63,13.252735
-0.9777,224,13.847673
-0.9712,289,14.357254
-0.9876,125,14.583819
-0.9826,175,14.910182
-0.9751,250,15.368017
-0.9787,214,15.748771
-0.9451,550,16.710853
-0.9871,130,16.93724
-0.9901,100,17.11585
-0.9831,170,17.614472
-0.9881,120,17.828565
-0.9669,332,18.423402
-0.9869,132,18.654912
-0.9837,164,18.956974
-0.9705,296,19.503324
-0.9872,129,19.73094
-0.9866,135,19.988379
-0.974,261,20.475033
-0.9818,183,20.810128
-0.9801,200,21.380999
-0.965,351,22.020541
-0.9874,127,22.242946
-0.9634,367,22.888098
-0.9627,374,23.563478
-0.99,101,23.743028
-0.9546,455,24.562418
-0.9829,172,24.862607
-0.9819,182,25.390457
-0.9915,86,25.549037
-0.9926,75,25.68767
-0.9716,285,26.197703
-0.9787,214,26.577521
-0.9913,88,26.730382
-0.9827,174,27.037584
-0.946,541,28.037381
-0.9913,88,28.200165
-0.9843,158,28.492539
-0.9844,157,28.771684
-0.97,301,29.525654
-0.9854,147,29.79145
-0.9624,377,30.463903
-0.9744,257,31.065432
-0.9856,145,31.386155
-0.963,371,32.194389
-0.9829,172,32.563403
-0.9908,93,32.766557
-0.9682,319,33.656227
-0.9821,180,33.994323
-0.9697,304,34.541297
-0.9543,458,35.366811
-0.943,571,36.389301
-0.9578,423,37.245266
-0.9977,24,37.288448
-0.9649,352,38.123412
-0.9864,137,38.373742
-0.9966,35,38.43458
-0.992,81,38.578196
-0.9781,220,39.032979
-0.9519,482,39.900185
-0.9877,124,40.12841
-0.9152,849,41.919666
-0.9822,179,42.265135
-0.9443,558,43.296681
-0.9914,87,43.453351
