#{"t_start": 1685857434.5301917, "env_id": null}
r,l,t
440552.523376,26,1.799215
-624006.230469,30,1.85502
-551530.697266,13,1.877958
-607276.495361,28,1.925359
-589012.304199,21,1.962693
-612931.84668,26,2.009903
-573051.01709,17,2.04082
-592517.600098,22,2.078719
-609361.776855,26,2.124597
-672054.752686,41,2.196003
-562809.75,15,2.22183
-595176.380371,22,2.260727
-654719.458496,40,2.333533
-599946.78125,24,2.375419
-2176550.252686,436,3.442057
-613834.447754,27,3.492906
-671704.516113,46,3.575276
-924787.787598,198,4.203116
-624341.165771,30,4.262487
-582760.304688,20,4.29801
-618653.152832,28,4.349537
-572042.755859,17,4.380454
-590672.772705,23,4.420866
-570513.315918,17,4.451478
-783528.699951,79,4.587636
-581933.631348,19,4.622152
-742194.695068,66,4.738022
-654509.09668,36,4.799853
-607411.971191,25,4.845255
-665805.556641,40,4.915269
-616516.153076,28,4.964019
-598578.878418,24,5.252469
-596648.755859,23,5.299289
-597928.841797,23,5.347162
-600935.569824,25,5.399023
-577747.717285,18,5.450415
-593717.498047,22,5.502828
-582654.104004,20,5.544716
-613941.992676,27,5.596577
-649487.810791,36,5.664605
-602566.586914,24,5.711285
-650529.800781,36,5.778106
-606012.293457,25,5.826975
-604016.814453,25,5.874849
-646928.761719,35,5.937833
-584595.205566,20,5.998636
-754205.119873,67,6.142967
-589452.049316,22,6.184855
-573872.892822,18,6.22086
-604494.927246,25,6.545835
-569497.181396,17,6.58267
-585974.577881,21,6.627102
-1112611.144897,363,7.290867
-613104.804688,27,7.338766
-591309.138184,21,7.379633
-585158.601562,20,7.416027
-648997.608398,35,7.797608
-597600.11084,23,7.843372
-575855.263184,18,7.881272
-582326.890625,20,7.920065
-609559.007324,26,7.972852
-605427.503418,25,8.018803
-608297.394531,26,8.065678
-612256.716309,27,8.128938
-574628.418457,18,8.168833
-620694.349121,28,8.240703
-628177.500488,30,8.295557
-627247.039551,30,8.349421
-578666.384521,19,8.386334
-576811.49292,19,8.419246
-557121.082764,14,8.446174
-776829.374268,72,8.602763
-587973.887695,21,8.64269
-584957.553955,20,8.679267
-645948.374268,35,8.741847
-594508.679932,23,8.785733
-598119.314941,23,9.083229
-650920.748047,36,9.193251
-630748.251465,31,9.257081
-609670.210449,26,9.302958
-593471.029785,22,9.34385
-852524.275146,98,9.521374
-611498.418457,27,9.578972
-572828.781738,18,9.621858
-670315.073975,41,9.701517
-603121.337158,25,9.7454
-688122.382324,49,9.832168
-577309.70752,18,9.864083
-594586.005859,22,9.902275
-596627.267578,23,9.944165
-581331.140137,19,9.978631
-617046.744629,27,10.319941
-615795.984863,27,10.376608
-775389.653076,72,10.520225
-596146.762207,23,10.561115
-594527.396484,22,10.599014
-606940.446289,26,10.644891
-592870.972656,22,10.68333
-604686.842773,25,10.732988
-631153.889893,36,10.808329
-764914.63623,79,10.999278
-598403.246582,23,11.041166
-2097868.273804,470,12.148534
-598863.525391,24,12.191558
-622912.973145,29,12.243418
-596113.475098,23,12.285189
-598827.878418,23,12.327287
-603631.675781,24,12.370122
-1773836.831055,425,13.419291
-610413.257812,26,13.46469
-592898.919434,22,13.502588
-581852.605469,19,13.536498
-800427.422607,74,13.916317
-595499.235352,22,13.961197
-739106.523926,65,14.09165
-606359.249512,25,14.13683
-598615.371338,24,14.178334
-635613.671387,32,14.23557
-598815.527344,23,14.279451
-573620.603027,18,14.312005
-609277.140625,26,14.356948
-736012.377441,58,14.45739
-597799.519531,23,14.499407
-612375.524414,27,14.548276
-713842.17749,59,14.652001
-905416.411133,113,15.108108
-631787.868652,31,15.171936
-562883.15918,15,15.20236
-624219.120605,29,15.255723
-594880.762939,23,15.295617
-632816.97998,31,15.350471
-594800.209961,25,15.394353
-574501.41626,19,15.427166
-611692.98291,30,15.479029
-598195.084473,23,15.517925
-595786.851074,23,15.558816
-607433.742188,25,15.602562
-550542.746094,12,15.627496
-747585.572876,80,15.769568
-561368.898438,16,15.797494
-595904.885742,23,15.838384
-616189.843018,28,15.889249
-601723.258789,24,15.932277
-626722.990234,32,16.237539
-578656.783691,19,16.277433
-601866.37793,24,16.328876
-599891.323242,24,16.376748
-577610.106445,18,16.411825
-661954.731201,38,16.479644
-566826.510254,16,16.509566
-591166.918945,22,16.549458
-583298.864746,20,16.585362
-627904.773193,31,16.641689
-598246.712402,23,16.682579
-659225.150879,40,16.751807
-599459.974609,23,16.793695
-604170.299805,24,16.835185
-657659.057373,40,16.904
-602162.444336,24,16.945891
-603277.348145,24,16.987778
-556703.849121,14,17.01371
-604216.365723,25,17.05859
-609021.073242,26,17.104467
-622436.54834,29,17.413829
-912125.546631,115,17.634241
-635764.168945,36,17.69807
-621993.239258,29,17.749931
-632275.428955,33,17.808774
-620694.505371,29,17.860638
-647265.069336,35,17.92251
-580868.506348,20,17.958984
-714072.475586,56,18.06171
-619726.289062,28,18.112573
-586378.99707,21,18.149475
-599226.107422,23,18.190847
-605103.729004,26,18.236827
-600940.90918,24,18.544798
-660575.185303,38,18.622711
-592415.096191,22,18.666596
-602733.05127,25,18.717579
