#{"t_start": 1685853791.8431737, "env_id": null}
r,l,t
-142283.66272,34,1.833766
-147743.06543,23,1.875423
-152029.710449,24,1.921301
-121888.626465,18,1.953215
-163897.141357,28,2.004595
-273870.340088,58,2.105237
-98120.303223,12,2.12955
-184236.373047,33,2.186995
-199433.248535,36,2.249865
-160205.385254,27,2.298319
-131382.038574,19,2.332407
-89613.516602,10,2.350904
-153566.758789,24,2.392605
-209989.339111,40,2.462759
-153444.501953,24,2.505649
-127481.229492,19,2.53841
-146761.953613,23,2.579391
-123158.050293,17,2.611279
-122688.18335,18,2.644127
-115322.168945,16,2.951432
-136396.59082,20,2.99337
-194768.522461,35,3.065192
-131869.791504,20,3.106707
-144319.435303,23,3.152105
-143307.177246,22,3.190967
-152185.110107,25,3.239173
-183189.830078,32,3.299373
-158747.12793,26,3.34613
-149561.669434,24,3.389803
-415752.036133,102,3.572054
-145382.458984,22,3.612419
-128100.845703,19,3.646329
-118443.85791,17,3.676809
-207621.40625,41,3.753049
-118551.47998,17,3.783905
-138073.179932,22,3.823796
-106168.020996,14,3.851695
-147403.631348,23,4.174227
-347047.616821,94,4.36701
-156429.871094,25,4.411164
-159463.068848,26,4.456946
-106845.475098,14,4.481093
-131928.208984,20,4.516835
-153783.963379,25,4.559719
-136823.993164,21,4.596851
-144067.847656,23,4.636765
-151511.935059,24,4.678783
-207949.280029,40,4.750889
-124645.686523,18,4.782835
-198171.884521,36,4.846668
-198444.500488,36,4.911324
-292325.179688,66,5.028031
-127605.910889,20,5.069485
-146379.343262,23,5.406938
-150062.829102,24,5.455391
-193406.818604,38,5.531151
-146575.902344,23,5.5759
-145883.717773,23,5.615797
-172005.108887,29,5.667793
-126014.314453,18,5.700705
-210852.154053,43,5.776022
-172575.310303,30,5.82888
-140376.65625,22,5.866973
-160344.928711,26,5.913739
-87636.902344,10,5.931692
-156362.647705,26,5.976962
-148930.606445,24,6.019816
-140184.763672,21,6.056052
-194846.766602,35,6.120107
