#{"t_start": 1685853222.051607, "env_id": null}
r,l,t
-82893.108638,106,2.036146
-81333.07312,25,2.088015
-73825.654541,20,2.130901
-74809.293335,20,2.168799
-74021.207031,20,2.205701
-72937.246094,19,2.241606
-81234.529541,25,2.286487
-72048.191284,18,2.3187
-69906.334229,17,2.349617
-61770.913818,10,2.369565
-87354.999146,31,2.425416
-76418.512817,23,2.466306
-83483.174194,26,2.515175
-76352.991577,22,2.554776
-151271.569397,98,2.732363
-108629.632324,50,3.095088
-81568.416748,25,3.150447
-73246.161133,20,3.195328
-82183.53479,25,3.250143
-69767.81311,16,3.282058
-78021.051514,22,3.323947
-77308.054321,22,3.370825
-83877.771973,27,3.423683
-77022.79834,21,3.462569
-75238.245483,20,3.501467
-78708.937378,23,3.545469
-61644.140991,10,3.565417
-71453.680054,18,3.60132
-81650.387329,25,3.649768
-120034.333191,73,3.806021
-86303.129883,29,3.859406
-82939.477783,26,3.908281
-90777.327759,33,3.970624
-78499.495117,24,4.015538
-71809.196899,18,4.401667
-83074.824707,27,4.472182
-78400.386841,23,4.530689
-78410.070312,23,4.581553
-112960.74469,59,4.692466
-85760.161377,29,4.746876
-76425.646484,21,4.787766
-78425.10376,22,4.83157
-84264.691833,32,4.89141
-70365.296387,17,4.922333
-80974.800171,25,4.966846
-156939.410034,104,5.153386
-140410.132935,75,5.290558
-82130.185913,25,5.336945
-77401.977417,22,5.653927
-78931.233276,23,5.705787
-76396.498657,22,5.756159
-84891.386108,28,5.820617
-77281.883789,22,5.861015
-80108.294189,24,5.905325
-88106.321289,31,5.961766
-90948.233643,33,6.020608
-80420.1073,24,6.062496
-72292.585693,18,6.096406
-100271.698853,41,6.16729
-84044.149536,27,6.21568
-73654.845581,19,6.251584
-72852.681641,18,6.283499
-66049.472168,14,6.308877
-79432.861328,24,6.352061
-81770.529663,25,6.418761
-80221.120483,25,6.498546
-140236.600037,81,6.965778
-83477.322144,27,7.027518
-80819.684448,24,7.080377
-95283.314209,40,7.163661
-74099.09729,19,7.199765
-71155.71875,18,7.234809
-68040.754639,15,7.264731
-77903.844849,22,7.307607
-78891.998169,23,7.355613
-74384.279541,20,7.394511
-82249.46228,25,7.443628
-111204.408386,68,7.579475
-67668.716553,15,7.6099
-109228.849609,54,7.71952
-81340.012817,26,7.771381
-75470.57959,20,7.81039
-79350.249146,24,7.857782
-84462.397949,32,7.924601
-99998.775513,49,8.35409
-78954.631226,26,8.416921
-82582.365601,26,8.468782
-73327.793457,19,8.504576
-71636.494263,19,8.539477
-96447.667358,40,8.612537
-96771.716431,38,8.683348
-84624.485962,27,8.747246
-68214.398438,15,8.797113
-78667.572998,23,8.840093
-83327.066406,26,8.888963
-77532.094727,22,8.929683
-74530.095459,20,8.966176
-75310.640869,21,9.006459
-90213.991577,32,9.063793
-77391.302002,22,9.104684
-83539.304199,28,9.155549
-70222.864502,17,9.186466
-78318.740723,22,9.228354
-72820.473755,19,9.264257
-80777.723267,24,9.611353
-89232.178345,35,9.700335
-85712.733398,30,9.821428
-74706.44812,21,9.87285
-78001.672485,22,9.919725
-90297.589722,32,9.989538
-63178.049561,11,10.012476
-77518.943237,22,10.059879
-87141.699341,29,10.11972
-79162.077515,23,10.16759
-74873.820312,20,10.210476
-86574.37793,30,10.300532
-78854.998535,24,10.352394
-87753.263062,30,10.411236
-81165.648438,25,10.456805
-67064.040894,14,10.483735
-155177.455444,107,10.682731
-154184.165649,97,11.146414
-92128.609863,35,11.210749
-89619.889404,32,11.270589
-77661.35376,22,11.309484
-96956.154175,39,11.379298
-147733.670288,102,11.565561
-70356.397217,17,11.595482
-80036.199829,24,11.637436
-83474.859131,26,11.701771
-92129.553589,39,11.771585
-80607.039795,25,11.818977
-82889.25708,27,11.870839
-74651.877686,20,11.90774
-84687.972046,28,12.226487
-80952.220825,24,12.279346
-79705.270996,24,12.329893
-83925.536621,28,12.387739
-76758.765381,22,12.426749
-76047.067383,21,12.466643
-85194.055176,28,12.517562
-83969.824707,27,12.569395
-115758.499023,54,12.671683
-87434.381348,31,12.730526
-78635.912476,23,12.775406
-79855.919189,24,12.821866
-61560.794067,10,12.841815
-74621.938843,21,12.884698
-81298.186768,25,12.930379
-81162.276367,25,12.977254
-80159.897461,24,13.02465
-76694.638306,22,13.06554
-82605.368774,26,13.113921
-102642.715088,48,13.543363
-94564.880371,37,13.623839
-75753.088135,20,13.666726
-93826.068115,35,13.731553
-146171.37854,100,13.914768
-75098.250732,20,13.952667
-77368.880737,23,14.000538
-78181.626831,22,14.044199
-81871.545288,25,14.09207
-68555.850342,17,14.123986
-98112.472656,40,14.19679
-76271.407349,22,14.239201
-87919.30188,33,14.29902
-80165.048462,25,14.346891
-73745.120728,19,14.387783
-74023.57312,21,14.439644
-64185.715332,12,14.776813
-78514.211792,23,14.824685
-78136.265137,22,14.870563
-66049.252441,14,14.901479
-84725.177124,28,14.963314
-79869.636963,23,15.009193
-74876.150879,20,15.046398
-93172.524536,36,15.111219
-65408.746826,13,15.135155
-77085.500244,22,15.175048
-88150.09021,31,15.235035
-73118.08728,19,15.271934
-113118.790955,64,15.394608
-87121.270508,29,15.448463
-76049.216309,21,15.489355
-113041.763794,53,15.586628
-70240.75415,18,15.619537
-101513.444763,44,15.714885
-80033.288452,24,16.086509
-78464.776611,23,16.137981
-128392.857239,77,16.297734
-102631.021851,43,16.375556
-85421.289307,28,16.426423
-75312.304688,22,16.467314
-76981.121704,22,16.507208
-80022.641113,24,16.55109
-80823.845825,25,16.59597
-78607.564453,24,16.637401
-64048.834167,13,16.661338
-90479.832825,45,16.743351
-78688.011597,23,16.784242
-80128.795166,25,16.838096
-67424.19043,15,16.869014
-73309.895752,19,16.903921
-83145.412231,26,16.951374
-92457.042114,34,17.012214
-80780.603271,25,17.313376
-84953.784058,29,17.374102
-76922.626831,21,17.416987
-86906.880615,30,17.476827
-76248.723022,21,17.514725
-80930.157959,25,17.559394
-81648.269653,26,17.605271
-82849.487183,27,17.656135
-71983.100464,18,17.68805
-83329.925171,29,17.739912
-180330.645935,142,17.994111
-155888.283875,104,18.180859
-67697.299194,15,18.474054
-91182.877075,33,18.543375
-85941.404175,29,18.606715
-80504.999634,24,18.65658
-84400.897461,27,18.706451
-66816.362549,14,18.732381
-74053.280457,21,18.770777
-82655.048462,27,18.819165
-65547.671265,13,18.843101
-73988.041992,20,18.880002
-75646.320007,25,18.925932
-89463.00354,31,18.980788
-83341.488037,27,19.02966
-76289.430908,21,19.066746
-70543.438599,17,19.096666
-71195.034302,17,19.127472
-70534.17041,16,19.156396
-74935.858032,21,19.194298
-74765.092896,20,19.233197
-77594.329346,22,19.271668
-74782.146606,20,19.310296
-109550.878052,54,19.660049
-76456.208618,22,19.70785
-73060.806641,19,19.747744
-78405.89624,23,19.797124
-82500.721069,28,19.856303
-174161.459961,134,20.095221
-79867.086548,24,20.137622
-72463.832153,20,20.173747
-147078.962585,117,20.401009
-82063.750854,29,20.46085
-79253.20813,23,20.509718
-80665.084229,25,20.555904
-114397.027649,65,20.922292
-96043.346924,40,21.014069
-79481.014404,24,21.064015
-77325.023926,22,21.103908
-76841.317749,22,21.14351
-76399.361816,21,21.181406
-83081.168823,26,21.227489
-170174.144196,119,21.438923
-68111.928223,17,21.469841
-99648.630005,42,21.543643
-86867.111572,30,21.595508
-88682.325806,30,21.652081
-83358.380981,27,21.701674
