#{"t_start": 1685852795.541651, "env_id": null}
r,l,t
-41602.064337,78,1.92824
-48897.786337,41,2.008594
-49559.22703,19,2.0421
-49729.313189,27,2.089998
-49583.056675,23,2.131994
-49436.864462,21,2.169893
-48812.832348,17,2.201491
-49728.442831,28,2.251359
-49194.639251,19,2.286266
-49824.115723,12,2.308207
-49405.378439,23,2.350095
-49512.94703,23,2.393978
-48641.086478,32,2.451856
-49638.847688,20,2.48776
-49656.13015,25,2.532351
-49749.605782,22,2.580224
-49096.868624,22,2.62184
-49544.799365,25,2.66615
-49652.497659,22,2.707602
-49463.552977,30,3.035261
-49640.271203,24,3.095283
-48553.431335,47,3.190166
-48415.513645,16,3.220105
-49895.021972,14,3.245819
-47977.093233,59,3.353164
-49723.300214,22,3.39279
-48325.974902,55,3.494008
-49728.347461,22,3.533892
-49400.992978,16,3.564867
-48089.500974,39,3.635187
-49694.074736,23,3.676076
-49431.141227,18,3.712436
-49768.187159,22,3.754555
-49513.534597,24,3.798439
-49908.166908,12,3.820407
-45399.667584,122,4.326642
-49728.688803,23,4.375512
-49237.5004,26,4.422386
-49613.398217,21,4.459804
-46903.739014,76,4.594955
-49525.32861,14,4.623724
-48808.629901,24,4.666115
-49248.716383,32,4.722315
-49063.730039,27,4.773002
-48607.781278,21,4.810852
-46165.171303,33,4.868617
-49193.233224,36,4.93299
-49455.507854,20,4.969815
-49462.95318,17,5.001307
-49393.928418,22,5.041447
-49391.664137,25,5.084845
-49790.944513,23,5.384992
-49219.764267,21,5.431865
-49237.976641,25,5.485355
-49891.439227,10,5.505302
-49449.863165,18,5.544198
-49372.622422,27,5.594987
-49888.6785,15,5.621915
-49362.030733,21,5.658816
-49797.958451,11,5.678763
-49673.804603,11,5.698709
-49053.10216,34,5.760035
-49926.221212,14,5.786086
-48792.488663,22,5.824982
-49077.389598,31,5.88086
-49562.607013,23,5.921726
-49801.426397,24,5.964614
-48678.980474,25,6.010491
-49635.04534,31,6.063723
-49738.837132,15,6.09162
-44101.727316,144,6.617798
-49399.050011,22,6.66168
-49338.400234,27,6.717532
-49471.137381,20,6.758422
-49261.070599,21,6.79732
-49764.119933,18,6.829239
-49448.949214,28,6.879106
-49740.124808,18,6.912018
-49595.028316,26,6.957895
-49543.344041,30,7.01228
-48998.031474,24,7.055359
-49592.535592,21,7.092264
-48697.128379,20,7.128135
-49172.140441,33,7.187002
-49903.233733,11,7.207921
-48838.643743,25,7.252903
-48917.520648,27,7.300805
-47791.07543,43,7.377128
-49550.32135,27,7.424999
-49767.453092,21,7.462898
-49529.246972,23,7.792345
-49565.048881,21,7.837732
-48528.812029,42,7.923226
-49047.513638,24,7.971369
-49547.56763,22,8.009817
-49707.548371,25,8.055035
-48759.294359,58,8.157417
-45727.755251,60,8.26619
-49422.05337,22,8.304064
-43624.719683,129,8.532381
-49202.822964,39,8.601197
-49254.303005,25,8.645618
-48930.682496,24,8.963416
-49344.059613,28,9.021435
-49770.902585,27,9.07529
-48646.623645,27,9.129682
-47106.163201,71,9.262396
-49089.442348,22,9.301309
-49615.600354,15,9.328466
-49669.595106,21,9.366665
-49165.062154,23,9.409743
-46717.9837,32,9.468149
-49280.855765,24,9.510755
-48403.039626,33,9.571537
-44706.1455,62,9.682242
-49656.746091,21,9.719566
-49770.117371,22,9.758017
-46006.153086,109,10.21168
-49570.180977,27,10.267545
-49926.906225,10,10.288489
-48930.30184,38,10.360297
-49423.505876,30,10.412159
-49621.22334,17,10.444073
-48207.627781,46,10.524664
-45179.950772,74,10.65474
-49698.815769,23,10.713747
-48860.739907,30,10.767
-49771.275256,24,10.809546
-47499.985372,38,10.87489
-48880.789183,26,10.92363
-44869.14002,94,11.373006
-47784.486815,65,11.506156
-49024.731202,26,11.554555
-48985.841815,22,11.59268
-49521.415149,21,11.63082
-49702.7454,26,11.6757
-49092.885934,29,11.727076
-48106.409353,49,11.814845
-49447.445315,25,11.858728
-49644.951031,29,11.910598
-49537.2233,17,11.941555
-47829.761996,66,12.057806
-49737.972256,29,12.108675
-49382.151119,25,12.153364
-45826.604083,81,12.561137
-48171.243007,59,12.679347
-49232.320677,21,12.719241
-49709.042468,25,12.762821
-48789.231495,33,12.820417
-49257.577632,15,12.847665
-48568.384449,20,12.884589
-49696.584998,23,12.925306
-47855.200588,51,13.022866
-49114.898187,28,13.074844
-48210.177893,43,13.154634
-47105.188944,72,13.287901
-49551.057948,24,13.331088
-49806.788034,25,13.376521
-49649.712947,24,13.421949
-49397.031638,28,13.748156
-49228.895394,23,13.803515
-49693.722045,22,13.853431
-49684.030133,20,13.901303
-48735.396308,25,13.948181
-49773.901173,17,13.986247
-49558.4144,22,14.03213
-48935.889738,37,14.109174
-48488.849299,46,14.207235
-48823.018957,15,14.238188
-49765.870205,15,14.266124
-49445.399494,23,14.314234
-49045.077556,24,14.360301
-48719.366336,26,14.412983
-49632.496655,12,14.436919
-49584.351341,18,14.472853
-48951.985635,50,14.576563
-49365.571122,29,14.633411
-47081.588596,39,14.70821
-48745.076108,39,15.057015
-49500.52603,18,15.097245
-49835.970604,14,15.127166
-49561.205742,26,15.183016
-49586.607517,32,15.245329
-48810.923726,18,15.278265
-49445.520674,17,15.308805
-48538.211781,24,15.355191
-49695.878735,26,15.402699
-49376.985122,21,15.443124
-49425.972957,26,15.490444
-49095.516159,15,15.51705
-49226.835983,15,15.543783
-46596.929166,64,15.663231
-48873.964891,34,15.72307
-49022.83887,24,15.764986
-48761.313638,38,15.833298
-47705.121877,56,15.930941
-47747.500275,34,16.285419
-49797.405011,26,16.343283
-49929.541731,14,16.373203
-49595.46655,26,16.432045
-48082.088126,48,16.522389
-49040.959218,18,16.556272
-49129.16399,26,16.60514
-47242.389146,44,16.685968
-49482.884552,21,16.743326
-49445.754665,26,16.797184
-47987.052126,27,16.847596
-43567.548794,128,17.073845
-48749.971054,60,17.180561
-48823.361478,17,17.499733
-49377.736232,25,17.552306
-47231.950364,53,17.660522
-47975.061564,36,17.727293
-45965.273863,115,17.928289
-48058.833002,27,17.975408
-44160.552968,60,18.083171
-48858.165195,22,18.12223
-49437.820372,24,18.166114
-46288.983976,59,18.288788
-44877.542229,65,18.405598
-49612.18582,24,18.715571
-49565.516385,24,18.765306
-47193.0372,40,18.849081
-49625.486514,27,18.900942
-49231.140544,30,18.952808
-46564.926624,41,19.025613
-47338.37773,48,19.110703
-49558.644831,26,19.157602
-49473.645217,18,19.190514
-48309.753006,29,19.240403
-49587.065901,20,19.278302
-48484.537866,35,19.33998
-49421.046365,30,19.392815
-47980.728178,38,19.459674
-48938.494161,38,19.529495
-49181.190065,35,19.591329
-49068.87102,20,19.937497
-49336.508998,24,19.986365
-49800.081291,13,20.014291
-49529.16729,25,20.065661
-49294.870252,16,20.100567
-48449.171047,17,20.134145
-49492.748296,17,20.164065
-49029.376421,20,20.200993
-48767.97068,24,20.242221
-49178.303638,17,20.273116
-49368.865399,18,20.306027
-49442.087034,23,20.347545
-48768.574098,43,20.422059
-49178.333185,21,20.459967
-49218.142866,29,20.511457
-48681.150249,34,20.571265
-49561.498969,23,20.611158
-49286.306731,27,20.660027
-49663.668535,28,20.709893
-49892.731285,12,20.731724
-48055.852241,68,21.129678
-49008.221179,33,21.201487
-49888.732152,14,21.230594
-47768.467915,30,21.289436
-49927.373337,10,21.308386
-49529.84559,24,21.351472
-49570.713632,27,21.399343
-48615.486817,31,21.451422
-44852.835217,127,21.673629
-46562.444843,41,21.746256
-47909.731614,31,21.801109
-49541.970543,27,21.849051
-46645.414766,73,21.975781
-47871.914637,50,22.336349
-49080.929183,32,22.409539
-49685.098216,21,22.454925
-48964.662638,21,22.496462
-47552.483516,77,22.634562
-48580.865873,34,22.695399
-49927.778527,7,22.709006
-43969.771238,76,22.851352
-49678.657951,26,22.900225
-48235.526535,49,23.005921
-48351.074053,37,23.07374
-49221.702559,19,23.112636
-48661.057586,48,23.205158
-47247.506822,37,23.529619
-49695.280993,20,23.571508
-48863.22015,43,23.659273
-49678.543983,20,23.699166
-49652.768692,21,23.738063
-48709.151196,24,23.781946
-49642.609411,25,23.82984
-49177.402211,16,23.85874
-49490.985225,24,23.90362
-49079.980649,23,23.946056
-49010.644836,29,23.999884
-49385.673848,21,24.037783
-47562.721526,69,24.163833
-49478.455463,24,24.209711
-49653.334595,32,24.269551
-45732.776235,65,24.39085
-49655.826726,23,24.433734
-49760.734996,24,24.764361
-48188.688919,60,24.889833
-46601.348896,77,25.033407
-49080.534029,19,25.067924
-46016.228075,91,25.228662
-48341.344536,48,25.31438
-46755.827576,57,25.416309
-49586.737125,25,25.460689
-45248.206816,64,25.573862
-49114.390062,24,25.617745
-49375.142236,30,25.936975
-49392.928884,27,25.996815
-49055.11565,26,26.055191
-48751.050126,35,26.129934
-48886.279223,25,26.181942
-47386.874104,54,26.28361
-49412.103275,30,26.341939
-49806.088067,24,26.387842
-48932.942584,34,26.452648
-48488.669989,40,26.526962
-40853.850125,92,26.698753
-49315.005997,11,26.719696
-49369.594798,20,26.757769
-49038.522748,29,26.812622
-48123.127091,44,27.199593
-49421.00168,23,27.24758
-49058.015182,25,27.298444
-48676.514566,33,27.369259
-49733.333264,26,27.421291
-49655.265218,23,27.461181
-47129.423474,44,27.539982
-47143.186769,60,27.652729
-46567.682362,81,27.803809
-47091.42963,66,27.927986
-49866.891596,16,27.958904
-44948.90091,39,28.035343
-49923.181353,10,28.055288
-46023.979461,51,28.149062
-49912.350719,14,28.458557
-48943.072373,41,28.542982
-49738.996868,26,28.594843
-49041.85077,23,28.638726
-40737.193864,34,28.697569
-45437.650161,96,28.864894
-49181.160708,22,28.903815
-49485.854375,19,28.939695
-47068.884725,53,29.034172
-45876.707983,38,29.098974
-49907.548828,15,29.126926
-47852.018445,27,29.173522
-48226.551985,38,29.24071
-46341.472783,60,29.613243
-40347.087924,116,29.837269
-48680.841259,18,29.869121
-49435.965533,29,29.922977
-49427.647104,23,29.965388
-49781.433371,19,30.003287
-49276.516742,25,30.049165
-48441.663568,22,30.090054
-45226.318902,72,30.226209
-49495.016518,17,30.259122
-49961.984174,8,30.275103
-49688.503043,22,30.314972
-49728.818688,21,30.355742
-49863.424653,15,30.382671
-49512.136643,27,30.435529
-48605.007648,49,30.526313
-49608.636744,17,30.813655
-49047.33988,30,30.87848
-46056.020918,41,30.983691
-47871.032143,33,31.055445
-40360.280319,117,31.274844
-48520.270841,42,31.355628
-43197.006483,42,31.441429
-49815.607857,16,31.4741
-45461.552752,84,31.629683
-47638.162484,56,31.728338
-44651.587401,77,32.155226
-49226.865409,33,32.222046
-49644.529973,25,32.272911
-49896.829719,9,32.289866
-49556.259353,25,32.332752
-47573.434922,80,32.475318
-49822.29392,23,32.51644
-47766.603956,82,32.660279
-48841.876823,59,32.762403
-48174.014544,49,32.848683
-48958.079846,32,32.906527
-45801.126034,48,33.238867
-49280.056183,26,33.291234
-49108.165929,31,33.353596
-45976.130499,56,33.460322
-49243.000015,14,33.486242
-49756.466267,29,33.538102
-49556.879888,25,33.58099
-49600.577461,20,33.616896
-49040.398153,39,33.685712
-48844.79079,34,33.745862
-49480.621871,22,33.785745
-49449.272654,19,33.819656
-47535.889602,45,33.899443
-49272.097451,26,33.944801
-49736.296759,16,33.97346
-48524.687757,29,34.025299
-49617.189218,26,34.071177
-43676.084706,118,34.558566
-49414.707794,19,34.596465
-49082.594776,28,34.647332
-48906.575659,41,34.719879
-46102.922015,62,34.827602
-49706.772872,29,34.878465
-49932.243068,12,34.900406
-49962.972495,11,34.919405
-47084.297259,89,35.079818
-43666.739051,127,35.302511
-44625.917778,106,35.798251
-49132.83815,26,35.844061
-49943.686893,8,35.858531
-48700.594666,24,35.900418
-48678.938806,16,35.929341
-49256.124327,28,35.97772
-48891.148589,27,36.02674
-40359.45854,37,36.09159
-48577.309123,31,36.146448
-49051.15601,27,36.195294
-42203.295164,104,36.378445
-49249.194246,16,36.406394
-48135.528317,35,36.467902
-49694.609988,19,36.788696
-49663.92834,25,36.839559
-44415.570639,65,36.969086
-47771.198172,51,37.060348
-49409.120548,18,37.091266
-48051.049091,32,37.147644
-49447.706864,29,37.198509
-49755.131296,26,37.244382
-49364.354531,27,37.292254
-48602.338422,25,37.337064
-49253.709458,27,37.384936
-49564.60739,21,37.422362
-45075.37889,58,37.523799
-45209.34975,69,37.64668
-47925.53466,37,37.968889
-47393.618615,34,38.036784
-48591.879373,62,38.158963
-47733.200177,52,38.250835
-46330.861659,60,38.354579
-49627.592575,24,38.397465
-49829.927308,17,38.427385
-49571.151278,22,38.466409
-48617.409671,19,38.501316
-47926.020458,27,38.550728
-46507.983279,92,38.711393
-49666.443003,17,38.741314
-48818.313328,37,38.806723
-48540.347178,26,39.101052
-48896.97204,18,39.13895
-47704.704695,24,39.190321
-49165.937555,29,39.24889
-48513.466966,53,39.347133
-49062.003805,26,39.392014
-48281.982757,31,39.44587
-49160.934288,22,39.485688
-49790.645874,23,39.526578
-48851.064444,32,39.583427
-49725.595356,14,39.60836
-47920.231292,29,39.660221
-49047.612682,23,39.701112
-48762.393251,39,39.770231
-49743.421278,23,39.810124
-49515.749691,28,39.859242
-49797.869851,25,39.903125
-41898.30329,146,40.433052
-49946.970684,11,40.454993
-47634.405378,51,40.542806
-49699.583477,25,40.58766
-49863.703449,9,40.603644
-48827.917007,42,40.679788
-44707.765848,114,40.89853
-49292.340644,33,40.955377
-49406.313986,31,41.011232
-49651.500369,26,41.05711
-44733.728539,81,41.448712
-48669.745149,24,41.499081
-49602.439946,24,41.547951
-49249.091757,20,41.586847
-49707.404462,27,41.638708
-49040.531074,33,41.698117
-46170.746269,53,41.791496
-47142.837323,57,41.891069
-49847.111784,11,41.912039
-46496.837724,75,42.046637
-49105.563875,20,42.082538
-49001.426743,26,42.128416
-48994.088894,34,42.188257
-49275.445435,33,42.246834
-49398.165742,33,42.306673
-48978.562966,32,42.622339
-49680.254592,22,42.666224
-49767.222575,17,42.701129
-48530.969694,51,42.800863
-46531.478817,19,42.832778
-49302.203921,16,42.861701
-48924.851156,24,42.90459
-47942.672078,40,42.974409
-44188.851548,68,43.095085
-47254.457485,26,43.140994
-44987.072828,108,43.331323
-49647.063412,26,43.377206
-49494.54691,20,43.412022
-49252.206461,31,43.46676
-41406.226504,107,43.927861
-46193.411562,48,44.01569
-39827.925747,140,44.260453
-49793.684544,19,44.293388
-48259.682384,43,44.368678
-49361.090141,25,44.41288
-49782.578686,21,44.448846
-45748.590521,76,44.584379
-41491.502649,189,45.289477
-41410.454576,169,45.586376
-47048.377924,61,45.693667
-46380.571232,59,45.79839
-48944.166474,33,45.856235
-48955.103408,22,45.895132
-49476.815561,11,46.156217
-49378.877952,34,46.227547
-49855.183605,12,46.252868
-49084.961007,20,46.293327
-49682.827484,17,46.327237
-49591.851598,21,46.366132
-49519.8051,29,46.418162
-49550.569176,33,46.477325
