#{"t_start": 1686074050.4246552, "env_id": null}
r,l,t
0.0,1,0.026978
0.0,1,0.031462
0.0,1,0.036539
0.0,1,0.041404
-10.0,3,0.053132
0.0,1,0.057121
0.0,1,0.061029
0.0,1,0.064969
-5.0,2,0.072216
0.0,1,0.076044
-5.0,2,0.083088
0.0,1,0.08794
0.0,1,0.092971
0.0,1,0.097289
-5.0,2,0.105717
0.0,1,0.110243
-5.0,2,0.118497
-5.0,2,0.127033
0.0,1,0.131459
0.0,1,0.135896
-5.0,2,0.143878
0.0,1,0.148254
-5.0,2,0.155812
0.0,1,0.159691
0.0,1,0.163467
0.0,1,0.167256
-5.0,2,0.190615
0.0,1,0.195721
0.0,1,0.199916
0.0,1,0.204301
-10.0,3,0.214373
0.0,1,0.218252
0.0,1,0.222132
-5.0,2,0.229118
0.0,1,0.232836
0.0,1,0.23662
0.0,1,0.240558
0.0,1,0.245064
0.0,1,0.249439
0.0,1,0.25362
-5.0,2,0.260557
0.0,1,0.264596
0.0,1,0.268395
0.0,1,0.272137
0.0,1,0.275986
0.0,1,0.279726
0.0,1,0.284411
0.0,1,0.288414
0.0,1,0.292772
0.0,1,0.297295
0.0,1,0.301508
0.0,1,0.305422
0.0,1,0.309134
-5.0,2,0.315858
0.0,1,0.319971
-15.0,4,0.334454
-5.0,2,0.342344
0.0,1,0.346605
0.0,1,0.350658
0.0,1,0.354787
-5.0,2,0.362135
0.0,1,0.365988
0.0,1,0.370087
-5.0,2,0.378312
0.0,1,0.382649
-5.0,2,0.390309
-5.0,2,0.39762
0.0,1,0.401733
0.0,1,0.405677
0.0,1,0.409441
0.0,1,0.413364
0.0,1,0.417314
-10.0,3,0.428604
0.0,1,0.43307
0.0,1,0.437819
0.0,1,0.442065
0.0,1,0.446283
0.0,1,0.450413
0.0,1,0.454959
0.0,1,0.459349
0.0,1,0.464374
-5.0,2,0.471809
-5.0,2,0.479505
0.0,1,0.483654
0.0,1,0.487782
0.0,1,0.491822
0.0,1,0.495931
0.0,1,0.500115
-5.0,2,0.507285
0.0,1,0.511002
0.0,1,0.514833
0.0,1,0.518937
0.0,1,0.523182
-5.0,2,0.530557
-5.0,2,0.538033
0.0,1,0.542345
0.0,1,0.546466
0.0,1,0.550452
0.0,1,0.554949
-5.0,2,0.56183
0.0,1,0.56574
0.0,1,0.569765
0.0,1,0.573944
-5.0,2,0.581536
0.0,1,0.585856
0.0,1,0.589874
0.0,1,0.594824
-5.0,2,0.604
0.0,1,0.608493
-10.0,3,0.621242
0.0,1,0.626318
-5.0,2,0.63465
0.0,1,0.639541
0.0,1,0.644862
-5.0,2,0.655065
0.0,1,0.660105
0.0,1,0.664746
0.0,1,0.670786
-10.0,3,0.683222
0.0,1,0.689719
0.0,1,0.694937
0.0,1,0.699384
0.0,1,0.705213
