#{"t_start": 1686085341.527071, "env_id": null}
r,l,t
-1.095365,44,0.286554
-1.16492,63,0.527151
-1.06209,21,0.603147
-1.069575,23,0.699318
-1.071193,24,0.781126
-1.063439,21,0.854534
-1.104238,35,0.973992
-1.071978,24,1.059255
-1.071916,24,1.151452
-1.088236,30,1.260417
-1.046877,16,1.322903
-1.064024,23,1.39939
-1.1041,37,1.51948
-1.071144,24,1.60778
-1.066617,22,1.695479
-1.102522,34,1.827528
-1.068926,23,1.912257
-1.058693,20,1.98024
-1.058503,21,2.050538
-1.915704,344,3.32264
-1.278786,116,3.740358
-1.066826,22,3.827475
-1.092412,32,3.953421
-1.060941,21,4.043378
-1.101489,37,4.183409
-1.088087,29,4.289322
-1.083656,28,4.400818
-1.077559,26,4.506343
-1.069561,23,4.603728
-1.064929,22,4.678668
-1.075756,25,4.759493
-1.174523,71,5.00013
-1.055609,19,5.062608
-1.068934,23,5.136994
-1.070578,24,5.222878
-1.062678,21,5.29
-1.068491,23,5.365205
-1.08257,30,5.457689
-1.056785,19,5.525452
-1.069003,24,5.604991
-1.068903,23,5.685541
-1.072748,24,5.766052
-1.078034,26,5.853265
-1.079406,26,5.938593
-1.132791,65,6.170389
-1.059888,20,6.240081
-1.078287,26,6.332144
-1.079269,27,6.430485
-1.272723,133,6.939735
-1.072697,25,7.036177
-1.046103,16,7.098343
-1.077235,27,7.195254
-1.062746,21,7.275232
-1.063456,21,7.356816
-1.069372,23,7.528304
-1.043671,15,7.582572
-1.083637,28,7.942991
-1.062592,21,8.012817
-1.148043,60,8.224287
-1.103531,41,8.369379
-1.063259,23,8.446621
-1.0599,20,8.519751
-1.087117,29,8.620914
-1.074604,25,8.707181
-1.088658,31,8.817996
-1.060898,21,8.893069
-1.062927,21,8.966116
-1.050562,17,9.026409
-1.063381,22,9.103581
-1.059165,20,9.176259
-1.078737,26,9.271578
-1.071127,24,9.375499
-1.066556,22,9.458982
-1.094304,34,9.585778
-1.066644,22,9.661492
-1.068976,23,9.745802
-1.084399,28,9.83818
-1.072895,26,9.925019
-1.086845,29,10.023234
-1.078251,26,10.107737
-1.073014,24,10.189051
-1.062598,21,10.260074
-1.255647,126,10.731779
-1.06316,21,10.81316
-1.088549,30,10.919877
-1.075217,25,11.01637
-1.00041,310,12.127613
-1.081358,27,12.223213
-1.074775,26,12.316852
-1.078705,26,12.404188
-1.096413,33,12.523784
-1.0705,24,12.60312
-1.064703,22,12.684946
-1.056366,19,12.750534
