Episode: 0, Total Reward: -1.7377902801381424, Total Length: 346.0 
Episode: 1, Total Reward: -0.9994897660799325, Total Length: 286.0 
Episode: 2, Total Reward: -1.216951374313794, Total Length: 110.0 
Episode: 3, Total Reward: -1.6150633115321398, Total Length: 186.0 
Episode: 4, Total Reward: -0.9995971049647778, Total Length: 236.0 
Episode: 5, Total Reward: -1.733784835319966, Total Length: 210.0 
Episode: 6, Total Reward: -0.9994724588468671, Total Length: 324.0 
Episode: 7, Total Reward: -1.1043384298682213, Total Length: 34.0 
Episode: 8, Total Reward: -1.0815997226163745, Total Length: 27.0 
Episode: 9, Total Reward: -1.306243494618684, Total Length: 131.0 
Episode: 10, Total Reward: -1.7869217761326581, Total Length: 282.0 
Episode: 11, Total Reward: -1.2537060437025502, Total Length: 147.0 
Episode: 12, Total Reward: -1.347059692023322, Total Length: 120.0 
Episode: 13, Total Reward: -1.1701541556976736, Total Length: 63.0 
Episode: 14, Total Reward: -1.3710235019680113, Total Length: 121.0 
Episode: 15, Total Reward: -1.2089584528002888, Total Length: 70.0 
Episode: 16, Total Reward: -1.7540288851596415, Total Length: 203.0 
Episode: 17, Total Reward: -1.578655920457095, Total Length: 212.0 
Episode: 18, Total Reward: -1.4221675088629127, Total Length: 136.0 
Episode: 19, Total Reward: -1.2279749598819762, Total Length: 80.0 
Episode: 20, Total Reward: -1.3561044642701745, Total Length: 129.0 
Episode: 21, Total Reward: -0.9998968036961742, Total Length: 359.0 
Episode: 22, Total Reward: -1.5605486368294805, Total Length: 198.0 
Episode: 23, Total Reward: -1.3560770181939006, Total Length: 113.0 
Episode: 24, Total Reward: -1.8825473154429346, Total Length: 287.0 
Episode: 25, Total Reward: -1.199981682235375, Total Length: 77.0 
Episode: 26, Total Reward: -1.774498826242052, Total Length: 308.0 
Episode: 27, Total Reward: -1.0714570337440819, Total Length: 24.0 
Episode: 28, Total Reward: -1.0858672973699868, Total Length: 28.0 
Episode: 29, Total Reward: -1.7049948561470956, Total Length: 218.0 
Episode: 30, Total Reward: -1.315230241511017, Total Length: 115.0 
Episode: 31, Total Reward: -1.346845197957009, Total Length: 123.0 
Episode: 32, Total Reward: -1.0751277380622923, Total Length: 25.0 
Episode: 33, Total Reward: -1.2035121722146869, Total Length: 75.0 
Episode: 34, Total Reward: -1.4405428362078965, Total Length: 147.0 
Episode: 35, Total Reward: -1.1493125585839152, Total Length: 51.0 
Episode: 36, Total Reward: -1.4921169651206583, Total Length: 152.0 
Episode: 37, Total Reward: -1.2419095910154283, Total Length: 83.0 
Episode: 38, Total Reward: -0.9995599860558286, Total Length: 338.0 
Episode: 39, Total Reward: -0.9997285379795358, Total Length: 258.0 
Episode: 40, Total Reward: -0.9994691667379811, Total Length: 429.0 
Episode: 41, Total Reward: -1.0880044177174568, Total Length: 29.0 
Episode: 42, Total Reward: -1.402999366633594, Total Length: 129.0 
Episode: 43, Total Reward: -1.1979985616635531, Total Length: 72.0 
Episode: 44, Total Reward: -1.6068846844136715, Total Length: 181.0 
Episode: 45, Total Reward: -1.127076002303511, Total Length: 42.0 
Episode: 46, Total Reward: -1.393247666535899, Total Length: 124.0 
Episode: 47, Total Reward: -1.106692855246365, Total Length: 35.0 
Episode: 48, Total Reward: -1.3722471651853994, Total Length: 169.0 
Episode: 49, Total Reward: -0.9995908499695361, Total Length: 353.0 
Episode: 50, Total Reward: -1.1177712469361722, Total Length: 40.0 
Episode: 51, Total Reward: -1.484336097491905, Total Length: 191.0 
Episode: 52, Total Reward: -1.0971168659161776, Total Length: 35.0 
Episode: 53, Total Reward: -1.474525802070275, Total Length: 174.0 
Episode: 54, Total Reward: -1.1373726970050484, Total Length: 50.0 
Episode: 55, Total Reward: -1.2471608475316316, Total Length: 85.0 
Episode: 56, Total Reward: -1.3880297545110807, Total Length: 166.0 
Episode: 57, Total Reward: -1.1823863751487806, Total Length: 91.0 
Episode: 58, Total Reward: -1.0970053274650127, Total Length: 32.0 
Episode: 59, Total Reward: -1.5895536330062896, Total Length: 300.0 
Episode: 60, Total Reward: -1.584176413132809, Total Length: 227.0 
Episode: 61, Total Reward: -1.6161920160520822, Total Length: 238.0 
Episode: 62, Total Reward: -1.5565649212803692, Total Length: 199.0 
Episode: 63, Total Reward: -1.852486708201468, Total Length: 251.0 
Episode: 64, Total Reward: -1.202681698370725, Total Length: 78.0 
Episode: 65, Total Reward: -1.4038545766379684, Total Length: 130.0 
Episode: 66, Total Reward: -1.697903866879642, Total Length: 223.0 
Episode: 67, Total Reward: -1.4840110645163804, Total Length: 162.0 
Episode: 68, Total Reward: -1.2919078534469008, Total Length: 111.0 
Episode: 69, Total Reward: -1.3873795410618186, Total Length: 161.0 
Episode: 70, Total Reward: -1.09915292263031, Total Length: 34.0 
Episode: 71, Total Reward: -1.0819618834648281, Total Length: 27.0 
Episode: 72, Total Reward: -1.394645057269372, Total Length: 211.0 
Episode: 73, Total Reward: -1.2551975203678012, Total Length: 86.0 
Episode: 74, Total Reward: -0.9997429323848337, Total Length: 335.0 
Episode: 75, Total Reward: -1.9682195358909667, Total Length: 261.0 
Episode: 76, Total Reward: -1.112881323788315, Total Length: 37.0 
Episode: 77, Total Reward: -0.9997682833345607, Total Length: 398.0 
Episode: 78, Total Reward: -1.4461878060828894, Total Length: 146.0 
Episode: 79, Total Reward: -1.2118321023881435, Total Length: 74.0 
Episode: 80, Total Reward: -1.098354013869539, Total Length: 32.0 
Episode: 81, Total Reward: -0.999638847366441, Total Length: 434.0 
Episode: 82, Total Reward: -1.0917234427761286, Total Length: 31.0 
Episode: 83, Total Reward: -1.6612100095953792, Total Length: 187.0 
Episode: 84, Total Reward: -1.6114128013141453, Total Length: 185.0 
Episode: 85, Total Reward: -1.3980459335725754, Total Length: 167.0 
Episode: 86, Total Reward: -1.4590074813459069, Total Length: 164.0 
Episode: 87, Total Reward: -1.679141478613019, Total Length: 201.0 
Episode: 88, Total Reward: -1.2454854416428134, Total Length: 108.0 
Episode: 89, Total Reward: -1.6142381983809173, Total Length: 271.0 
Episode: 90, Total Reward: -1.2530157888540998, Total Length: 102.0 
Episode: 91, Total Reward: -0.9995602658600546, Total Length: 306.0 
Episode: 92, Total Reward: -1.4508367888629436, Total Length: 159.0 
Episode: 93, Total Reward: -1.45227814395912, Total Length: 152.0 
Episode: 94, Total Reward: -1.3171949706738815, Total Length: 172.0 
Episode: 95, Total Reward: -0.9995933203026652, Total Length: 296.0 
Episode: 96, Total Reward: -1.380862986203283, Total Length: 137.0 
Episode: 97, Total Reward: -1.0855188886635005, Total Length: 28.0 
Episode: 98, Total Reward: -1.5635690093040466, Total Length: 174.0 
Episode: 99, Total Reward: -1.097069950774312, Total Length: 32.0 
