#{"t_start": 1686088851.914009, "env_id": null}
r,l,t
-30.867146,16,0.155652
-53.541045,22,0.258888
-54.555051,21,0.340286
-65.080239,25,0.432826
-60.778389,24,0.516391
-35.409703,14,0.56387
-48.306099,19,0.636549
-73.420664,32,0.750739
-53.711789,21,0.822707
-103.531382,44,0.979364
-59.230724,23,1.056333
-56.645475,22,1.133947
-67.786765,26,1.232489
-64.748571,25,1.319188
-662.290961,264,2.296564
-55.880133,22,2.372848
-57.322609,22,2.448692
-57.201699,23,2.53638
-69.169024,28,2.661386
-61.884322,24,2.740708
-81.378753,33,2.853136
-64.9727,25,2.9405
-53.650375,21,3.015228
-119.21237,50,3.185378
-106.35696,44,3.341329
-74.236864,30,3.44
-48.82666,21,3.510384
-135.038545,65,3.722397
-65.381612,25,3.803912
-59.264323,23,3.877981
-218.590222,113,4.256798
-53.852625,21,4.326276
-56.953122,22,4.398647
-51.610918,20,4.464552
-56.003514,22,4.537508
-53.606514,21,4.606213
-53.123661,21,4.674219
-64.195102,25,4.754934
-54.530685,21,4.824742
-61.834944,24,4.905056
-515.812179,261,5.757333
-32.577661,13,5.800537
-80.852998,31,5.901928
-62.443062,24,5.976768
-35.366006,14,6.023127
-65.247304,25,6.108938
-57.393098,22,6.184382
-53.768987,22,6.256073
-280.217659,144,6.732214
-64.024837,25,6.81404
-138.959758,63,7.012423
-61.766301,24,7.096396
-65.464084,25,7.43306
-62.231962,24,7.506226
-69.50116,28,7.596255
-51.712318,20,7.660432
-62.87584,25,7.742316
-175.184079,97,8.054413
-59.840971,23,8.132627
-65.406301,25,8.212845
-61.299308,24,8.307894
-56.667618,22,8.384775
-56.107945,22,8.462615
-396.098689,228,9.210099
-87.095311,40,9.338602
-66.798916,26,9.420943
-70.756194,28,9.512801
-53.997267,21,9.580028
-69.665649,28,9.670681
-220.653742,104,10.007437
-62.267121,24,10.087731
-49.795604,21,10.156141
-70.355675,27,10.245956
-151.930704,67,10.465971
-56.513954,22,10.541721
-49.294311,19,10.603066
-467.631696,241,11.374913
-53.16449,21,11.440642
-66.318907,26,11.523208
-61.842443,24,11.602218
-112.800804,50,11.756665
-56.884068,22,11.828508
-48.107603,19,11.892166
-44.392422,19,11.957264
-60.691565,24,12.033086
-67.48996,27,12.120693
-95.975069,40,12.252905
-58.574501,23,12.326066
-65.085287,25,12.404161
-63.222292,25,12.487454
-98.97893,45,12.631394
-70.560948,27,12.720022
-395.879045,254,13.545831
-68.060331,28,13.633912
-78.507567,32,13.738949
-71.474748,28,13.827066
-53.292938,21,13.891887
-64.907605,25,13.972952
-64.102934,25,14.052248
-62.04407,24,14.353018
-57.453343,22,14.426065
-47.814632,19,14.523648
-52.157106,20,14.592908
-54.774307,21,14.662045
-48.321453,19,14.727164
-54.226443,21,14.794143
-54.489197,21,14.863382
-46.49019,18,14.925639
-43.787334,17,14.981148
-42.713658,17,15.03536
-40.916439,16,15.086822
-54.505438,21,15.158343
-54.34048,21,15.240213
-49.198291,19,15.300108
-52.12974,20,15.369252
-51.905955,20,15.436087
-56.652064,22,15.515834
-59.572927,23,15.595898
-54.5106,21,15.664257
-54.010665,21,15.734575
-46.493538,18,15.799157
-40.388372,16,15.85132
-51.989116,20,15.915997
-54.700808,21,15.989189
-51.735523,20,16.056018
-62.513111,24,16.16568
-43.97244,17,16.231112
-48.804882,19,16.299755
-49.270799,19,16.404301
-57.068249,22,16.484304
-43.632836,17,16.545859
