Episode: 0, Total Reward: -1.1771352011710405, Total Length: 7.0 
Episode: 1, Total Reward: -1.149559624493122, Total Length: 6.0 
Episode: 2, Total Reward: -1.1499013435095549, Total Length: 6.0 
Episode: 3, Total Reward: -1.1495456974953413, Total Length: 6.0 
Episode: 4, Total Reward: -1.1490257177501917, Total Length: 6.0 
Episode: 5, Total Reward: -1.1475945077836514, Total Length: 6.0 
Episode: 6, Total Reward: -1.1213272139430046, Total Length: 5.0 
Episode: 7, Total Reward: -1.1210102029144764, Total Length: 5.0 
Episode: 8, Total Reward: -1.1209214124828577, Total Length: 5.0 
Episode: 9, Total Reward: -1.1481754630804062, Total Length: 6.0 
Episode: 10, Total Reward: -1.1210520006716251, Total Length: 5.0 
Episode: 11, Total Reward: -1.1462581939995289, Total Length: 6.0 
Episode: 12, Total Reward: -1.120043508708477, Total Length: 5.0 
Episode: 13, Total Reward: -1.1195798311382532, Total Length: 5.0 
Episode: 14, Total Reward: -1.1193540878593922, Total Length: 5.0 
Episode: 15, Total Reward: -1.1195217072963715, Total Length: 5.0 
Episode: 16, Total Reward: -1.1193611454218626, Total Length: 5.0 
Episode: 17, Total Reward: -1.1191345490515232, Total Length: 5.0 
Episode: 18, Total Reward: -1.1189215630292892, Total Length: 5.0 
Episode: 19, Total Reward: -1.1195974592119455, Total Length: 5.0 
Episode: 20, Total Reward: -1.1197507996112108, Total Length: 5.0 
Episode: 21, Total Reward: -1.1192243751138449, Total Length: 5.0 
Episode: 22, Total Reward: -1.1188852470368147, Total Length: 5.0 
Episode: 23, Total Reward: -1.1197246462106705, Total Length: 5.0 
Episode: 24, Total Reward: -1.1196909192949533, Total Length: 5.0 
Episode: 25, Total Reward: -1.1193441096693277, Total Length: 5.0 
Episode: 26, Total Reward: -1.1199222411960363, Total Length: 5.0 
Episode: 27, Total Reward: -1.1198324635624886, Total Length: 5.0 
Episode: 28, Total Reward: -1.119519043713808, Total Length: 5.0 
Episode: 29, Total Reward: -1.1437153667211533, Total Length: 6.0 
Episode: 30, Total Reward: -1.1192235592752695, Total Length: 5.0 
Episode: 31, Total Reward: -1.1186071038246155, Total Length: 5.0 
Episode: 32, Total Reward: -1.118627056479454, Total Length: 5.0 
Episode: 33, Total Reward: -1.118329269811511, Total Length: 5.0 
Episode: 34, Total Reward: -1.1186311393976212, Total Length: 5.0 
Episode: 35, Total Reward: -1.1188741475343704, Total Length: 5.0 
Episode: 36, Total Reward: -1.1192518845200539, Total Length: 5.0 
Episode: 37, Total Reward: -1.119890647009015, Total Length: 5.0 
Episode: 38, Total Reward: -1.1194772031158209, Total Length: 5.0 
Episode: 39, Total Reward: -1.1191656589508057, Total Length: 5.0 
Episode: 40, Total Reward: -1.1189962979406118, Total Length: 5.0 
Episode: 41, Total Reward: -1.119213430210948, Total Length: 5.0 
Episode: 42, Total Reward: -1.1194192860275507, Total Length: 5.0 
Episode: 43, Total Reward: -1.1193813551217318, Total Length: 5.0 
Episode: 44, Total Reward: -1.1194323915988207, Total Length: 5.0 
Episode: 45, Total Reward: -1.1197217218577862, Total Length: 5.0 
Episode: 46, Total Reward: -1.1194616090506315, Total Length: 5.0 
Episode: 47, Total Reward: -1.1191706899553537, Total Length: 5.0 
Episode: 48, Total Reward: -1.1189057398587465, Total Length: 5.0 
Episode: 49, Total Reward: -1.1193946450948715, Total Length: 5.0 
Episode: 50, Total Reward: -1.119200861081481, Total Length: 5.0 
Episode: 51, Total Reward: -1.1191783044487238, Total Length: 5.0 
Episode: 52, Total Reward: -1.119368426501751, Total Length: 5.0 
Episode: 53, Total Reward: -1.1195267345756292, Total Length: 5.0 
Episode: 54, Total Reward: -1.1190804094076157, Total Length: 5.0 
Episode: 55, Total Reward: -1.1190166175365448, Total Length: 5.0 
Episode: 56, Total Reward: -1.1193413902074099, Total Length: 5.0 
Episode: 57, Total Reward: -1.1195153873413801, Total Length: 5.0 
Episode: 58, Total Reward: -1.1192414332181215, Total Length: 5.0 
Episode: 59, Total Reward: -1.1190254725515842, Total Length: 5.0 
Episode: 60, Total Reward: -1.11844221688807, Total Length: 5.0 
Episode: 61, Total Reward: -1.1183852590620518, Total Length: 5.0 
Episode: 62, Total Reward: -1.118272814899683, Total Length: 5.0 
Episode: 63, Total Reward: -1.1180354207754135, Total Length: 5.0 
Episode: 64, Total Reward: -1.1184663474559784, Total Length: 5.0 
Episode: 65, Total Reward: -1.1183416098356247, Total Length: 5.0 
Episode: 66, Total Reward: -1.1185177098959684, Total Length: 5.0 
Episode: 67, Total Reward: -1.1188217177987099, Total Length: 5.0 
Episode: 68, Total Reward: -1.1186877079308033, Total Length: 5.0 
Episode: 69, Total Reward: -1.1185312420129776, Total Length: 5.0 
Episode: 70, Total Reward: -1.1179699152708054, Total Length: 5.0 
Episode: 71, Total Reward: -1.1177687849849463, Total Length: 5.0 
Episode: 72, Total Reward: -1.1176556516438723, Total Length: 5.0 
Episode: 73, Total Reward: -1.117710467427969, Total Length: 5.0 
Episode: 74, Total Reward: -1.117142466828227, Total Length: 5.0 
Episode: 75, Total Reward: -1.1170226279646158, Total Length: 5.0 
Episode: 76, Total Reward: -1.1168002653867006, Total Length: 5.0 
Episode: 77, Total Reward: -1.116458561271429, Total Length: 5.0 
Episode: 78, Total Reward: -1.1169860754162073, Total Length: 5.0 
Episode: 79, Total Reward: -1.1170780584216118, Total Length: 5.0 
Episode: 80, Total Reward: -1.1172956805676222, Total Length: 5.0 
Episode: 81, Total Reward: -1.1180037446320057, Total Length: 5.0 
Episode: 82, Total Reward: -1.1177786346524954, Total Length: 5.0 
Episode: 83, Total Reward: -1.1179950591176748, Total Length: 5.0 
Episode: 84, Total Reward: -1.1182787027209997, Total Length: 5.0 
Episode: 85, Total Reward: -1.118238715454936, Total Length: 5.0 
Episode: 86, Total Reward: -1.1180827468633652, Total Length: 5.0 
Episode: 87, Total Reward: -1.1178680323064327, Total Length: 5.0 
Episode: 88, Total Reward: -1.118458529934287, Total Length: 5.0 
Episode: 89, Total Reward: -1.118033803999424, Total Length: 5.0 
Episode: 90, Total Reward: -1.1177510023117065, Total Length: 5.0 
Episode: 91, Total Reward: -1.1173794735223055, Total Length: 5.0 
Episode: 92, Total Reward: -1.1169699989259243, Total Length: 5.0 
Episode: 93, Total Reward: -1.1420188304036856, Total Length: 6.0 
Episode: 94, Total Reward: -1.1184517852962017, Total Length: 5.0 
Episode: 95, Total Reward: -1.119255818426609, Total Length: 5.0 
Episode: 96, Total Reward: -1.1197132784873247, Total Length: 5.0 
Episode: 97, Total Reward: -1.1192790735512972, Total Length: 5.0 
Episode: 98, Total Reward: -1.1187817081809044, Total Length: 5.0 
Episode: 99, Total Reward: -1.1189168896526098, Total Length: 5.0 
